,Open,High,Low,Close,Volume
2017-10-25 16:00:00,33.98,33.99,33.53,33.95,2170549
2017-10-26 16:00:00,34.0,34.0339,33.56,33.67,4313543
2017-10-27 16:00:00,31.98,32.51,31.23,32.18,10642562
2017-10-30 16:00:00,31.0,31.6822,30.3032,31.16,8391715
2017-10-31 16:00:00,31.04,31.05,30.47,30.59,4097932
2017-11-01 16:00:00,30.18,30.73,30.14,30.23,3880914
2017-11-02 16:00:00,30.22,30.22,29.38,29.94,4525543
2017-11-03 16:00:00,29.91,30.07,29.395,29.45,2612526
2017-11-06 16:00:00,29.45,29.5761,29.05,29.29,3862437
2017-11-07 16:00:00,29.23,29.7622,29.16,29.59,3161164
2017-11-08 16:00:00,29.54,29.71,29.08,29.24,3718133
2017-11-09 16:00:00,29.08,29.3298,29.02,29.15,2156617
2017-11-10 16:00:00,29.18,29.27,28.81,29.07,2806832
2017-11-13 16:00:00,29.04,29.433,29.0,29.23,2379492
2017-11-14 16:00:00,29.15,29.5,29.02,29.36,2270155
2017-11-15 16:00:00,29.28,29.37,28.96,29.06,2542758
2017-11-16 16:00:00,29.22,29.35,29.1,29.31,1526642
2017-11-17 16:00:00,29.48,29.995,29.45,29.94,4275583
2017-11-20 16:00:00,30.08,30.93,30.05,30.65,4771579
2017-11-21 16:00:00,30.66,31.0,30.55,30.82,2044162
2017-11-22 16:00:00,30.71,30.89,30.55,30.69,2759693
2017-11-24 13:00:00,30.72,30.73,30.41,30.67,1065714
