,Open,High,Low,Close,Volume
2017-10-25 16:00:00,197.07,197.5,192.64,197.13,1994934
2017-10-26 16:00:00,197.88,205.17,195.07,201.18,1486468
2017-10-27 16:00:00,200.35,201.31,197.77,199.76,999411
2017-10-30 16:00:00,200.04,203.56,199.32,199.39,1024991
2017-10-31 16:00:00,200.54,202.53,197.51,197.7,766880
2017-11-01 16:00:00,199.75,200.75,194.29,195.58,928051
2017-11-02 16:00:00,196.23,199.23,193.07,199.03,978221
2017-11-03 16:00:00,199.03,201.32,198.01,200.01,722234
2017-11-06 16:00:00,199.32,204.765,199.29,203.58,842132
2017-11-07 16:00:00,204.0,206.0,201.41,205.18,858330
2017-11-08 16:00:00,205.16,210.31,203.8,208.13,1068467
2017-11-09 16:00:00,205.84,209.02,200.08,206.07,1762740
2017-11-10 16:00:00,204.01,214.5,202.36,203.48,2440187
2017-11-13 16:00:00,203.2,203.2,194.21,195.79,1298795
2017-11-14 16:00:00,194.5,196.32,191.39,195.58,1028901
2017-11-15 16:00:00,194.63,198.24,193.5,195.73,880357
2017-11-16 16:00:00,195.92,200.61,195.73,198.5,581242
2017-11-17 16:00:00,198.205,200.72,196.78,197.82,589006
2017-11-20 16:00:00,197.72,199.77,196.94,199.62,650595
2017-11-21 16:00:00,200.0,201.95,198.07,199.63,822364
2017-11-22 16:00:00,200.43,204.7599,200.16,200.4,378631
2017-11-24 13:00:00,201.93,202.0,198.25,200.15,219031
