,Open,High,Low,Close,Volume
2017-09-14 16:00:00,42.025,42.695,41.95,42.18,10483980
2017-09-15 16:00:00,42.09,42.34,41.86,42.31,8173031
2017-09-18 16:00:00,42.4,42.91,42.105,42.62,6479032
2017-09-19 16:00:00,42.82,42.925,42.3699,42.81,7023888
2017-09-20 16:00:00,42.9,43.78,42.86,43.61,12057125
2017-09-21 16:00:00,43.5,43.7,43.11,43.48,9634317
2017-09-22 16:00:00,43.48,44.32,43.47,44.25,9209116
2017-09-25 16:00:00,44.51,45.11,44.4,44.69,11540118
2017-09-26 16:00:00,44.5,44.87,44.24,44.64,6066963
2017-09-27 16:00:00,44.74,45.72,44.54,45.58,11182001
2017-09-28 16:00:00,45.7,46.08,45.55,45.83,12198121
2017-09-29 16:00:00,45.61,46.18,45.49,46.03,6683345
2017-10-02 16:00:00,45.23,45.73,45.02,45.53,7408862
2017-10-03 16:00:00,45.42,45.51,44.785,44.93,8635491
2017-10-04 16:00:00,45.05,45.42,44.84,45.18,7061099
2017-10-05 16:00:00,45.36,45.39,44.94,45.09,5485834
2017-10-06 16:00:00,44.86,45.05,44.23,44.75,11162207
2017-10-09 16:00:00,44.76,45.19,44.73,44.93,3709065
2017-10-10 16:00:00,45.34,45.87,44.98,45.03,6521962
2017-10-11 16:00:00,44.93,45.28,44.71,44.83,494409
2017-10-12 16:00:00,45.02,45.2,44.69,44.76,5783495
2017-10-13 16:00:00,45.21,45.36,44.67,44.72,4730045
2017-10-16 16:00:00,44.98,45.17,44.58,44.61,4114196
2017-10-17 16:00:00,44.6,44.66,44.145,44.46,7556586
2017-10-18 16:00:00,44.48,44.8,43.59,43.77,7481729
2017-10-19 16:00:00,43.55,43.82,43.08,43.42,9024572
2017-10-20 16:00:00,43.56,43.7,43.01,43.33,10522555
2017-10-23 16:00:00,42.51,43.61,42.15,42.24,12842922
2017-10-24 16:00:00,42.43,42.65,41.28,41.37,14280545
2017-10-25 16:00:00,41.4,41.74,41.0,41.46,8965249
2017-10-26 16:00:00,41.53,41.91,40.96,41.24,8211259
2017-10-27 16:00:00,41.04,42.58,40.99,42.43,12555732
2017-10-30 16:00:00,42.49,43.07,42.15,42.93,7615647
2017-10-31 16:00:00,42.8,42.97,42.42,42.74,6243398
2017-11-01 16:00:00,43.15,43.93,43.03,43.05,7257574
2017-11-02 16:00:00,43.16,43.52,42.29,42.69,6218183
2017-11-03 16:00:00,42.55,43.48,42.53,43.23,9575044
2017-11-06 16:00:00,43.39,45.305,43.32,45.08,10277403
2017-11-07 16:00:00,45.34,45.9299,45.05,45.27,9507093
2017-11-08 16:00:00,45.02,45.6012,44.67,45.12,6728855
2017-11-09 16:00:00,44.9,45.13,44.5647,45.01,5760737
2017-11-10 16:00:00,44.9,45.02,44.39,44.58,4565226
2017-11-13 16:00:00,44.29,44.49,43.98,44.21,5350462
2017-11-14 16:00:00,43.96,44.14,42.84,42.94,7938412
2017-11-15 16:00:00,42.48,42.69,41.51,41.69,10470451
2017-11-16 16:00:00,41.57,41.92,41.415,41.51,5721218
2017-11-17 16:00:00,41.65,41.98,41.31,41.77,5902502
2017-11-20 16:00:00,41.76,41.88,41.36,41.57,5806082
2017-11-21 16:00:00,41.87,41.93,40.98,41.17,11601638
2017-11-22 16:00:00,41.52,41.6,41.3,41.43,4915973
2017-11-24 13:00:00,41.66,41.905,41.46,41.58,3352660
2017-11-27 16:00:00,41.35,41.65,40.89,41.07,5376413
2017-11-28 16:00:00,41.02,41.17,40.72,41.02,8102814
2017-11-29 16:00:00,41.07,41.57,40.86,41.3,7383593
2017-11-30 16:00:00,41.48,42.24,41.36,41.78,13390356
2017-12-01 16:00:00,41.87,43.57,41.85,43.06,18066381
2017-12-04 16:00:00,43.16,45.21,43.06,43.89,13897200
2017-12-05 16:00:00,44.02,44.35,43.55,43.63,8993046
2017-12-06 16:00:00,43.37,43.555,42.71,43.38,8807665
2017-12-07 16:00:00,43.38,43.86,43.17,43.46,6269352
2017-12-08 16:00:00,43.78,44.26,43.63,43.99,8178176
2017-12-11 16:00:00,44.08,45.2499,44.05,45.16,11262885
2017-12-12 16:00:00,45.24,45.8,44.995,45.24,9823464
2017-12-13 16:00:00,45.2,45.4,44.49,44.76,7717137
