,Open,High,Low,Close,Volume
2017-10-25 16:00:00,92.88,94.4428,92.6,94.4,2730294
2017-10-26 16:00:00,94.94,95.46,94.23,94.93,2011365
2017-10-27 16:00:00,94.85,97.3,94.0,97.14,2576174
2017-10-30 16:00:00,96.96,96.96,95.4,95.47,2131861
2017-10-31 16:00:00,94.65,94.752,92.19,92.59,1944474
2017-11-01 16:00:00,92.9,93.33,90.32,90.47,1854222
2017-11-02 16:00:00,91.07,91.1,89.29,89.61,1403183
2017-11-03 16:00:00,89.15,91.01,89.1,90.69,1066255
2017-11-06 16:00:00,90.67,91.26,90.35,91.01,704526
2017-11-07 16:00:00,90.76,91.13,89.16,89.89,1362032
2017-11-08 16:00:00,89.82,89.9,88.21,89.01,1630737
2017-11-09 16:00:00,88.32,89.89,87.92,88.69,1637910
2017-11-10 16:00:00,88.83,91.59,88.76,91.45,1421909
2017-11-13 16:00:00,94.75,99.17,94.75,96.83,5588213
2017-11-14 16:00:00,96.22,97.3,95.64,95.98,2382967
2017-11-15 16:00:00,95.6,95.89,94.02,94.75,1424399
2017-11-16 16:00:00,93.91,96.335,93.501,95.9,967253
2017-11-17 16:00:00,96.07,96.9,95.7,95.89,1080805
2017-11-20 16:00:00,95.54,95.97,94.46,95.02,966871
2017-11-21 16:00:00,95.68,96.1,94.88,95.05,717510
2017-11-22 16:00:00,95.17,95.53,94.835,95.03,471770
2017-11-24 13:00:00,95.31,95.46,94.59,94.65,294009
