,Open,High,Low,Close,Volume
2017-10-25 16:00:00,14.17,14.17,13.7639,13.88,12205442
2017-10-26 16:00:00,13.8,13.97,13.72,13.91,12749488
2017-10-27 16:00:00,13.85,14.02,13.84,13.94,8316092
2017-10-30 16:00:00,13.87,13.94,13.75,13.77,6403344
2017-10-31 16:00:00,13.78,13.98,13.74,13.8,7376224
2017-11-01 16:00:00,13.94,13.995,13.77,13.81,7642754
2017-11-02 16:00:00,13.8,13.9,13.6699,13.87,9130713
2017-11-03 16:00:00,13.78,13.84,13.69,13.78,7819886
2017-11-06 16:00:00,13.78,13.86,13.74,13.78,5686020
2017-11-07 16:00:00,13.76,13.82,13.39,13.4,9368967
2017-11-08 16:00:00,13.41,13.43,13.24,13.29,8270395
2017-11-09 16:00:00,13.2,13.37,13.09,13.21,10764909
2017-11-10 16:00:00,13.25,13.31,13.14,13.14,8767553
2017-11-13 16:00:00,13.09,13.38,13.04,13.36,8477144
2017-11-14 16:00:00,13.28,13.64,13.2734,13.61,11459218
2017-11-15 16:00:00,13.47,13.64,13.36,13.51,8393963
2017-11-16 16:00:00,13.58,13.64,13.4,13.4,8297239
2017-11-17 16:00:00,13.32,13.55,13.32,13.54,6074660
2017-11-20 16:00:00,13.56,13.64,13.515,13.57,4565510
2017-11-21 16:00:00,13.61,13.65,13.5,13.55,5714175
2017-11-22 16:00:00,13.59,13.66,13.5,13.54,5127960
2017-11-24 13:00:00,13.6,13.635,13.46,13.46,2257258
