,Open,High,Low,Close,Volume
2017-10-25 16:00:00,22.53,23.01,22.38,22.78,8175212
2017-10-26 16:00:00,22.83,22.88,22.56,22.82,4970059
2017-10-27 16:00:00,22.79,22.79,22.29,22.52,7203551
2017-10-30 16:00:00,22.44,22.71,22.24,22.66,5307929
2017-10-31 16:00:00,22.59,22.59,22.3,22.5,6274784
2017-11-01 16:00:00,22.58,22.59,21.68,22.01,10759028
2017-11-02 16:00:00,20.9,21.22,19.2725,20.08,20509841
2017-11-03 16:00:00,20.08,20.09,19.26,19.36,10645985
2017-11-06 16:00:00,19.36,19.52,19.18,19.34,11385435
2017-11-07 16:00:00,19.4,19.5,18.98,19.08,8110903
2017-11-08 16:00:00,19.12,19.945,19.065,19.69,13026754
2017-11-09 16:00:00,19.69,19.9,19.37,19.47,5842085
2017-11-10 16:00:00,19.52,19.67,19.28,19.29,4610035
2017-11-13 16:00:00,19.12,19.25,19.0,19.23,4679180
2017-11-14 16:00:00,19.11,19.34,18.95,19.25,4785118
2017-11-15 16:00:00,19.25,19.28,18.9,19.19,5089813
2017-11-16 16:00:00,19.18,19.23,18.9,19.22,7612025
2017-11-17 16:00:00,19.35,19.63,19.33,19.5,4823974
2017-11-20 16:00:00,19.48,19.81,19.45,19.75,4366687
2017-11-21 16:00:00,19.7,19.75,19.44,19.51,6068154
2017-11-22 16:00:00,19.5,20.09,19.47,19.82,6322435
2017-11-24 13:00:00,19.84,19.99,19.75,19.82,1619696
