,Open,High,Low,Close,Volume
2017-10-25 16:00:00,166.11,166.95,165.3803,166.07,4189398
2017-10-26 16:00:00,166.39,167.94,166.1068,167.65,3750464
2017-10-27 16:00:00,166.8,167.75,166.46,167.34,3720385
2017-10-30 16:00:00,166.99,166.99,164.88,165.31,3906265
2017-10-31 16:00:00,165.4,166.34,165.1,165.78,2922416
2017-11-01 16:00:00,166.42,166.74,165.12,165.38,3568321
2017-11-02 16:00:00,165.01,165.01,160.53,162.71,6518907
2017-11-03 16:00:00,163.01,164.99,162.68,164.39,3080941
2017-11-06 16:00:00,164.8,164.88,163.01,164.22,3275469
2017-11-07 16:00:00,164.09,164.4,162.83,163.66,3198129
2017-11-08 16:00:00,163.34,164.68,163.27,164.05,2912866
2017-11-09 16:00:00,164.1,164.135,162.28,163.27,3405186
2017-11-10 16:00:00,163.34,164.58,162.93,164.11,3554945
2017-11-13 16:00:00,164.64,166.64,164.25,165.35,7189270
2017-11-14 16:00:00,163.62,168.14,163.15,168.06,10284002
2017-11-15 16:00:00,167.44,167.44,165.35,165.47,5534520
2017-11-16 16:00:00,166.68,167.76,166.06,167.5,4587949
2017-11-17 16:00:00,167.0,168.43,166.06,167.74,4530127
2017-11-20 16:00:00,168.14,170.69,167.8,170.45,4699894
2017-11-21 16:00:00,170.53,172.86,170.15,172.86,6229029
2017-11-22 16:00:00,172.89,172.94,172.04,172.06,4133497
2017-11-24 13:00:00,172.11,173.1,171.7425,172.33,1853587
