,Open,High,Low,Close,Volume
2017-10-25 16:00:00,54.76,55.41,54.495,54.84,2202702
2017-10-26 16:00:00,55.2,55.575,54.86,55.56,2800376
2017-10-27 16:00:00,55.42,55.445,55.04,55.2,2175157
2017-10-30 16:00:00,55.09,55.58,55.065,55.18,1366109
2017-10-31 16:00:00,55.12,55.3,54.72,55.05,1933140
2017-11-01 16:00:00,55.3,55.78,55.14,55.25,2234296
2017-11-02 16:00:00,55.3,56.045,55.16,55.71,1679098
2017-11-03 16:00:00,55.32,55.84,55.21,55.84,1544313
2017-11-06 16:00:00,55.85,55.97,55.49,55.89,1337219
2017-11-07 16:00:00,56.0,56.24,55.21,55.34,1701450
2017-11-08 16:00:00,55.36,55.47,55.1,55.2,1560756
2017-11-09 16:00:00,55.02,55.365,54.835,55.25,1675776
2017-11-10 16:00:00,55.19,55.61,55.08,55.52,1281366
2017-11-13 16:00:00,55.43,55.81,55.26,55.69,1721095
2017-11-14 16:00:00,55.43,56.26,55.43,56.22,1820227
2017-11-15 16:00:00,55.88,56.97,55.79,56.67,2386725
2017-11-16 16:00:00,56.75,57.08,55.88,56.01,2145292
2017-11-17 16:00:00,55.78,56.515,55.55,56.14,1443313
2017-11-20 16:00:00,56.08,56.46,55.82,55.85,2225820
2017-11-21 16:00:00,56.0,56.26,55.94,56.09,1320952
2017-11-22 16:00:00,56.13,56.21,55.65,55.78,1129181
2017-11-24 13:00:00,56.06,56.13,55.61,55.64,435642
