,Open,High,Low,Close,Volume
2017-10-25 16:00:00,36.84,37.11,36.75,37.03,1742814
2017-10-26 16:00:00,37.12,37.525,36.91,37.13,1978342
2017-10-27 16:00:00,37.13,37.43,36.89,37.24,2953423
2017-10-30 16:00:00,37.05,37.27,36.7,37.21,2666134
2017-10-31 16:00:00,37.27,37.87,37.15,37.85,2933471
2017-11-01 16:00:00,37.99,38.52,37.87,38.2,3508930
2017-11-02 16:00:00,38.14,38.5,38.0,38.42,3227532
2017-11-03 16:00:00,38.75,39.89,38.72,39.56,5262471
2017-11-06 16:00:00,39.4,39.47,38.81,39.06,2687413
2017-11-07 16:00:00,38.93,39.52,38.77,39.5,2970636
2017-11-08 16:00:00,39.29,39.75,38.96,39.54,3995572
2017-11-09 16:00:00,37.48,39.76,36.5941,39.65,5799335
2017-11-10 16:00:00,39.53,39.85,38.58,38.97,4908600
2017-11-13 16:00:00,38.8,40.7,38.8,40.64,4259656
2017-11-14 16:00:00,40.34,40.55,39.32,39.62,4083943
2017-11-15 16:00:00,39.6,39.78,39.22,39.25,2598589
2017-11-16 16:00:00,39.29,39.8,38.836,39.72,1472641
2017-11-17 16:00:00,39.62,40.2,39.17,39.96,2092406
2017-11-20 16:00:00,39.84,40.23,39.77,40.19,2200825
2017-11-21 16:00:00,40.32,40.95,40.03,40.6,2693622
2017-11-22 16:00:00,40.59,41.06,39.87,40.88,3276286
2017-11-24 13:00:00,40.92,40.98,40.31,40.87,1036963
