,Open,High,Low,Close,Volume
2017-09-14 16:00:00,137.76,137.76,136.86,137.21,3422475
2017-09-15 16:00:00,137.87,139.4939,137.62,138.95,4594069
2017-09-18 16:00:00,139.3,139.34,137.29,137.67,2879676
2017-09-19 16:00:00,137.88,138.08,137.18,137.75,3421514
2017-09-20 16:00:00,138.06,138.82,137.82,138.69,3644382
2017-09-21 16:00:00,138.88,141.335,138.81,140.86,3914594
2017-09-22 16:00:00,140.61,142.06,140.51,141.75,2917230
2017-09-25 16:00:00,141.75,141.91,140.48,140.81,2943608
2017-09-26 16:00:00,141.06,141.41,140.15,140.24,2361761
2017-09-27 16:00:00,140.55,140.583,139.48,139.57,3014582
2017-09-28 16:00:00,139.52,140.58,139.29,140.58,2082563
2017-09-29 16:00:00,139.77,141.77,139.2,141.74,3673617
2017-10-02 16:00:00,141.81,142.6697,141.74,142.66,2522096
2017-10-03 16:00:00,142.7,143.15,142.23,142.67,2240867
2017-10-04 16:00:00,142.87,143.06,142.09,142.55,1787426
2017-10-05 16:00:00,142.95,143.75,142.42,143.07,2245549
2017-10-06 16:00:00,142.81,143.66,142.65,143.62,2165613
2017-10-09 16:00:00,145.17,145.3,143.3683,143.6,2423348
2017-10-10 16:00:00,144.01,144.2,140.2,143.31,4096764
2017-10-11 16:00:00,143.11,143.74,142.95,142.95,363484
2017-10-12 16:00:00,142.69,143.42,142.69,143.19,3004010
2017-10-13 16:00:00,144.34,144.55,143.27,143.37,2157642
2017-10-16 16:00:00,143.37,143.88,143.01,143.75,2001855
2017-10-17 16:00:00,143.5,143.89,142.51,143.43,2435622
2017-10-18 16:00:00,143.39,143.71,143.1,143.44,1734079
2017-10-19 16:00:00,143.41,143.83,142.62,143.62,2623096
2017-10-20 16:00:00,145.14,145.959,143.38,145.35,3369519
2017-10-23 16:00:00,146.02,146.49,145.34,145.92,2892166
2017-10-24 16:00:00,146.59,147.0,145.88,146.12,3319174
2017-10-25 16:00:00,146.46,146.5,145.35,145.99,2780388
2017-10-26 16:00:00,146.5,146.5,145.19,145.84,2146669
2017-10-27 16:00:00,145.86,146.4,145.53,146.2,1869458
2017-10-30 16:00:00,145.68,145.75,144.53,144.64,1805574
2017-10-31 16:00:00,144.35,145.07,144.09,144.16,2443231
2017-11-01 16:00:00,144.59,145.19,144.23,144.93,2161710
2017-11-02 16:00:00,144.72,145.41,143.86,145.41,1944234
2017-11-03 16:00:00,145.4,145.47,144.78,144.97,1424239
2017-11-06 16:00:00,145.49,146.06,145.145,145.6,2038885
2017-11-07 16:00:00,145.81,147.045,145.71,146.97,2613930
2017-11-08 16:00:00,146.81,147.51,146.54,146.86,2514718
2017-11-09 16:00:00,146.27,146.45,144.62,145.44,2354096
2017-11-10 16:00:00,144.84,146.63,144.4,145.75,2908163
2017-11-13 16:00:00,145.67,146.989,145.25,146.72,2014222
2017-11-14 16:00:00,146.1,147.6,145.75,147.32,2312041
2017-11-15 16:00:00,146.68,147.43,146.21,146.37,2521544
2017-11-16 16:00:00,146.32,147.19,146.01,146.88,2209322
2017-11-17 16:00:00,146.38,146.999,146.2,146.49,1637380
2017-11-20 16:00:00,146.42,148.3,146.42,147.94,3554257
2017-11-21 16:00:00,148.25,149.68,148.25,149.35,3028251
2017-11-22 16:00:00,149.49,149.81,148.78,148.99,1815445
2017-11-24 13:00:00,149.37,150.43,149.285,149.66,1196256
2017-11-27 16:00:00,149.91,151.1,149.71,150.43,2284568
2017-11-28 16:00:00,151.07,153.13,151.02,152.76,3656581
2017-11-29 16:00:00,153.05,153.56,152.39,153.24,3346194
2017-11-30 16:00:00,153.93,156.7,153.43,155.96,5681093
2017-12-01 16:00:00,155.7,156.28,152.88,154.4,3013488
2017-12-04 16:00:00,155.82,156.19,153.77,153.77,3250407
2017-12-05 16:00:00,153.83,154.82,153.02,153.06,2582492
2017-12-06 16:00:00,153.29,153.74,152.81,153.0,2896520
2017-12-07 16:00:00,153.0,153.79,152.83,153.28,2044929
2017-12-08 16:00:00,153.91,154.11,153.07,153.66,1482434
2017-12-11 16:00:00,152.98,153.92,152.94,153.21,3623697
2017-12-12 16:00:00,153.74,154.62,153.0,153.74,2959288
2017-12-13 16:00:00,153.45,156.53,153.12,155.8,5064191
