,Open,High,Low,Close,Volume
2017-09-14 16:00:00,19.2,19.49,19.12,19.46,9665604
2017-09-15 16:00:00,19.45,19.55,19.32,19.47,12790686
2017-09-18 16:00:00,19.52,19.71,19.43,19.59,6414807
2017-09-19 16:00:00,19.61,19.62,19.35,19.49,5527704
2017-09-20 16:00:00,19.48,19.6,19.42,19.6,7007734
2017-09-21 16:00:00,19.55,19.78,19.536,19.77,7539375
2017-09-22 16:00:00,19.68,19.95,19.65,19.94,6778176
2017-09-25 16:00:00,19.84,19.97,19.6833,19.85,9338989
2017-09-26 16:00:00,19.77,20.125,19.77,19.88,16565020
2017-09-27 16:00:00,19.89,20.025,19.76,19.87,10940178
2017-09-28 16:00:00,19.87,20.04,19.87,19.97,8095156
2017-09-29 16:00:00,20.0,20.11,19.94,19.96,6704565
2017-10-02 16:00:00,19.94,20.23,19.94,20.12,8307946
2017-10-03 16:00:00,20.05,20.21,20.02,20.09,6592771
2017-10-04 16:00:00,20.06,20.34,20.03,20.26,7003391
2017-10-05 16:00:00,20.17,20.42,20.17,20.35,11265286
2017-10-06 16:00:00,20.2,20.61,20.2,20.58,10614209
2017-10-09 16:00:00,20.64,20.73,20.55,20.57,5614559
2017-10-10 16:00:00,20.6165,20.6165,20.4195,20.57,6676468
2017-10-11 16:00:00,20.57,20.64,20.49,20.615,544107
2017-10-12 16:00:00,20.35,20.47,20.25,20.4,9084871
2017-10-13 16:00:00,20.95,22.0,20.945,21.71,27016737
2017-10-16 16:00:00,21.77,21.87,21.68,21.79,9645875
2017-10-17 16:00:00,21.77,21.85,21.46,21.55,7137030
2017-10-18 16:00:00,21.74,22.08,21.67,21.72,7610570
2017-10-19 16:00:00,21.64,21.97,21.51,21.96,10247749
2017-10-20 16:00:00,22.03,22.16,21.895,22.02,8621009
2017-10-23 16:00:00,22.15,22.3059,22.1,22.12,8678423
2017-10-24 16:00:00,22.11,22.21,21.935,21.95,8225955
2017-10-25 16:00:00,21.87,21.935,21.65,21.67,13377955
2017-10-26 16:00:00,21.78,21.91,21.47,21.52,17010037
2017-10-27 16:00:00,21.61,21.66,21.32,21.5,20420567
2017-10-30 16:00:00,21.47,21.53,21.32,21.39,7459770
2017-10-31 16:00:00,21.43,21.705,21.43,21.55,9732527
2017-11-01 16:00:00,21.6,21.64,21.39,21.47,8813665
2017-11-02 16:00:00,21.38,21.56,21.07,21.44,14764943
2017-11-03 16:00:00,21.5,21.55,21.33,21.47,7709902
2017-11-06 16:00:00,21.47,21.53,21.38,21.44,13309582
2017-11-07 16:00:00,21.47,21.47,21.32,21.38,6245536
2017-11-08 16:00:00,21.34,21.47,21.24,21.42,6061868
2017-11-09 16:00:00,21.27,21.4,21.15,21.34,5844935
2017-11-10 16:00:00,21.25,21.31,21.14,21.23,6276650
2017-11-13 16:00:00,21.23,21.33,21.15,21.17,4921924
2017-11-14 16:00:00,21.1,21.445,20.99,21.36,11628055
2017-11-15 16:00:00,21.31,21.53,21.24,21.36,12655183
2017-11-16 16:00:00,21.43,21.75,21.41,21.57,9562176
2017-11-17 16:00:00,21.51,21.87,21.4502,21.75,10639895
2017-11-20 16:00:00,21.81,22.275,21.77,22.12,11871818
2017-11-21 16:00:00,22.34,22.68,22.3,22.46,17552913
2017-11-22 16:00:00,21.0,21.53,20.59,21.34,28424717
2017-11-24 13:00:00,21.44,21.52,20.99,21.24,9657949
2017-11-27 16:00:00,21.17,21.33,20.955,21.25,15350089
2017-11-28 16:00:00,21.27,21.68,21.15,21.66,10376726
2017-11-29 16:00:00,21.74,21.97,21.35,21.43,12113450
2017-11-30 16:00:00,21.49,21.775,21.31,21.45,13922768
2017-12-01 16:00:00,21.38,21.59,20.965,21.41,9909907
2017-12-04 16:00:00,21.46,21.73,21.04,21.08,12975547
2017-12-05 16:00:00,21.18,21.25,21.02,21.07,9209152
2017-12-06 16:00:00,21.08,21.15,20.88,21.02,10032072
2017-12-07 16:00:00,21.04,21.14,20.92,20.97,8450918
2017-12-08 16:00:00,21.05,21.12,20.855,21.07,13821971
2017-12-11 16:00:00,20.97,21.36,20.93,21.3,7730577
2017-12-12 16:00:00,20.98,21.2,20.87,20.98,7174807
2017-12-13 16:00:00,20.94,20.98,20.76,20.85,9156695
