,Open,High,Low,Close,Volume
2017-10-25 16:00:00,30.26,30.35,29.75,30.32,2962028
2017-10-26 16:00:00,30.39,30.61,30.21,30.37,2043750
2017-10-27 16:00:00,30.33,30.445,30.1,30.38,1817559
2017-10-30 16:00:00,30.27,30.38,30.1047,30.15,2156583
2017-10-31 16:00:00,30.52,31.2,30.44,31.16,4948645
2017-11-01 16:00:00,30.97,31.46,30.9,31.21,3326212
2017-11-02 16:00:00,31.04,31.62,31.0,31.51,3135220
2017-11-03 16:00:00,31.29,31.56,31.1401,31.32,2761308
2017-11-06 16:00:00,31.09,31.14,30.69,30.77,2832056
2017-11-07 16:00:00,30.81,31.51,30.8,31.5,3022416
2017-11-08 16:00:00,31.65,32.19,31.55,32.15,2539972
2017-11-09 16:00:00,32.06,32.35,31.7686,31.95,2247104
2017-11-10 16:00:00,31.92,32.43,31.86,32.33,1839522
2017-11-13 16:00:00,32.33,32.7,32.25,32.45,1882252
2017-11-14 16:00:00,32.38,33.08,32.35,32.98,2778332
2017-11-15 16:00:00,32.83,33.17,32.72,33.08,3200306
2017-11-16 16:00:00,33.1,33.26,32.85,32.93,3107591
2017-11-17 16:00:00,32.86,33.26,32.83,33.12,1987315
2017-11-20 16:00:00,33.21,33.42,33.07,33.4,3317822
2017-11-21 16:00:00,34.48,35.69,34.29,34.52,6793994
2017-11-22 16:00:00,34.32,34.66,34.08,34.27,3144027
2017-11-24 13:00:00,34.4,34.5,34.29,34.41,1035377
