,Open,High,Low,Close,Volume
2017-10-25 16:00:00,137.0,137.44,136.08,136.56,444080
2017-10-26 16:00:00,136.88,137.39,135.53,135.86,401311
2017-10-27 16:00:00,136.46,137.06,136.11,136.53,296330
2017-10-30 16:00:00,136.7,136.84,135.16,135.64,705620
2017-10-31 16:00:00,135.65,139.53,135.21,139.32,830011
2017-11-01 16:00:00,140.86,141.97,136.79,137.15,1037164
2017-11-02 16:00:00,137.16,137.27,135.95,137.1,610748
2017-11-03 16:00:00,137.87,139.75,137.26,139.41,994006
2017-11-06 16:00:00,139.56,139.56,138.35,138.99,844837
2017-11-07 16:00:00,139.03,139.72,138.34,139.37,511430
2017-11-08 16:00:00,139.29,141.54,139.0,141.29,600963
2017-11-09 16:00:00,140.46,140.81,136.77,137.56,672147
2017-11-10 16:00:00,136.93,138.88,136.93,138.76,591805
2017-11-13 16:00:00,138.22,139.48,137.86,138.97,392211
2017-11-14 16:00:00,138.55,139.37,137.25,139.34,462807
2017-11-15 16:00:00,139.13,139.2,137.82,138.97,413558
2017-11-16 16:00:00,139.27,140.48,139.26,140.35,502545
2017-11-17 16:00:00,140.09,141.12,139.73,139.84,611433
2017-11-20 16:00:00,140.37,142.04,140.25,141.92,571381
2017-11-21 16:00:00,142.98,144.75,142.51,144.0,1053482
2017-11-22 16:00:00,144.0,144.0,142.52,142.52,596370
2017-11-24 13:00:00,142.77,144.24,142.35,143.94,310691
