,Open,High,Low,Close,Volume
2017-10-25 16:00:00,19.62,19.68,19.27,19.35,6733950
2017-10-26 16:00:00,19.46,19.48,19.24,19.4,4283057
2017-10-27 16:00:00,19.39,19.55,19.255,19.44,6068729
2017-10-30 16:00:00,19.43,19.51,19.26,19.3,7293120
2017-10-31 16:00:00,19.37,19.57,19.285,19.56,6994151
2017-11-01 16:00:00,19.66,19.88,19.58,19.73,7492053
2017-11-02 16:00:00,19.43,19.51,19.06,19.46,10004833
2017-11-03 16:00:00,19.42,19.88,19.35,19.63,5002474
2017-11-06 16:00:00,19.79,19.975,19.64,19.79,4930994
2017-11-07 16:00:00,19.78,20.03,19.62,19.79,5915504
2017-11-08 16:00:00,19.79,20.19,19.75,20.19,8692219
2017-11-09 16:00:00,20.1,20.23,19.74,20.0,9878554
2017-11-10 16:00:00,19.93,20.06,19.86,19.99,7205588
2017-11-13 16:00:00,19.92,20.09,19.82,20.03,4283844
2017-11-14 16:00:00,19.92,19.995,19.8,19.97,3209092
2017-11-15 16:00:00,19.85,19.95,19.75,19.76,4459021
2017-11-16 16:00:00,19.78,20.01,19.65,19.97,4893899
2017-11-17 16:00:00,19.82,20.02,19.82,19.89,4336398
2017-11-20 16:00:00,19.92,19.9499,19.67,19.7,4945846
2017-11-21 16:00:00,19.82,19.92,19.74,19.79,6317909
2017-11-22 16:00:00,19.78,19.925,19.66,19.78,4822275
2017-11-24 13:00:00,19.85,19.86,19.75,19.8,1425846
