,Open,High,Low,Close,Volume
2017-09-14 16:00:00,109.18,109.51,108.92,109.32,537870
2017-09-15 16:00:00,109.43,110.55,109.43,110.5,1224543
2017-09-18 16:00:00,110.53,110.69,109.55,109.75,923492
2017-09-19 16:00:00,109.67,109.81,109.15,109.41,945956
2017-09-20 16:00:00,108.93,109.24,107.73,108.42,691287
2017-09-21 16:00:00,108.5,108.64,107.08,107.55,959339
2017-09-22 16:00:00,107.63,107.86,106.0,106.48,1148751
2017-09-25 16:00:00,106.6,106.885,105.94,106.83,1483330
2017-09-26 16:00:00,107.01,107.41,106.61,107.21,835645
2017-09-27 16:00:00,107.25,108.29,107.2,108.22,1206376
2017-09-28 16:00:00,107.61,108.75,107.4,107.82,896529
2017-09-29 16:00:00,108.08,109.48,107.78,109.17,1200773
2017-10-02 16:00:00,109.2,109.68,108.69,108.84,878476
2017-10-03 16:00:00,108.95,109.11,107.36,107.66,948575
2017-10-04 16:00:00,107.95,109.0,107.12,108.24,851047
2017-10-05 16:00:00,108.38,108.98,108.07,108.92,876436
2017-10-06 16:00:00,108.86,109.23,108.31,108.65,994377
2017-10-09 16:00:00,108.73,108.94,107.72,107.89,600966
2017-10-10 16:00:00,108.13,109.09,107.38,109.03,655393
2017-10-11 16:00:00,109.09,110.1,109.09,110.09,55406
2017-10-12 16:00:00,109.46,110.64,109.46,109.97,1167497
2017-10-13 16:00:00,110.2,110.36,109.49,110.07,1042176
2017-10-16 16:00:00,110.22,110.99,109.75,110.94,604230
2017-10-17 16:00:00,110.77,110.89,110.0,110.82,559418
2017-10-18 16:00:00,110.92,110.92,109.99,110.05,671964
2017-10-19 16:00:00,110.01,110.23,109.09,109.35,683494
2017-10-20 16:00:00,109.49,109.99,108.86,109.02,717112
2017-10-23 16:00:00,109.13,109.2799,107.95,109.12,949206
2017-10-24 16:00:00,109.39,109.76,109.23,109.36,789430
2017-10-25 16:00:00,108.7,109.06,107.75,108.6,1192544
2017-10-26 16:00:00,107.47,107.5,102.52,102.87,2601844
2017-10-27 16:00:00,102.76,104.12,102.62,104.08,1844349
2017-10-30 16:00:00,104.33,105.63,104.19,104.73,1449685
2017-10-31 16:00:00,105.21,106.39,105.02,106.18,1312766
2017-11-01 16:00:00,106.57,106.87,105.61,106.73,811130
2017-11-02 16:00:00,106.41,106.79,105.6601,106.59,874065
2017-11-03 16:00:00,106.42,106.79,105.83,105.92,809373
2017-11-06 16:00:00,106.04,106.04,104.14,104.38,780540
2017-11-07 16:00:00,104.18,106.09,104.09,105.97,955174
2017-11-08 16:00:00,105.95,107.92,105.94,107.75,798460
2017-11-09 16:00:00,107.47,108.34,107.3,107.77,854022
2017-11-10 16:00:00,107.34,108.87,107.34,108.6,751677
2017-11-13 16:00:00,108.77,109.55,108.05,108.18,939889
2017-11-14 16:00:00,108.0,110.31,107.65,109.86,997781
2017-11-15 16:00:00,109.45,110.95,107.06,107.42,924124
2017-11-16 16:00:00,108.04,110.115,107.56,109.7,1202677
2017-11-17 16:00:00,109.28,110.64,108.98,109.1,1993358
2017-11-20 16:00:00,109.1,110.75,108.83,110.1,922091
2017-11-21 16:00:00,109.3,109.99,108.39,108.51,1060778
2017-11-22 16:00:00,108.51,108.905,107.86,108.12,957652
2017-11-24 13:00:00,108.34,108.46,107.43,107.45,291197
2017-11-27 16:00:00,107.75,108.6975,107.14,108.37,634626
2017-11-28 16:00:00,108.6,109.87,108.01,109.84,916347
2017-11-29 16:00:00,109.87,111.59,109.22,110.5,843905
2017-11-30 16:00:00,110.7,111.89,110.26,110.93,1732688
2017-12-01 16:00:00,111.04,111.04,108.981,111.01,723898
2017-12-04 16:00:00,111.44,113.135,111.36,112.82,1172102
2017-12-05 16:00:00,112.85,113.56,112.02,112.76,1010135
2017-12-06 16:00:00,112.74,113.9,112.49,113.76,795397
2017-12-07 16:00:00,113.47,113.94,112.95,113.56,689838
2017-12-08 16:00:00,113.57,113.71,112.85,113.2,590326
2017-12-11 16:00:00,113.0,113.06,112.0,112.8,599894
2017-12-12 16:00:00,113.4,113.56,112.18,113.4,901337
2017-12-13 16:00:00,113.27,113.67,112.89,113.16,974282
