,Open,High,Low,Close,Volume
2017-09-14 16:00:00,145.86,146.38,145.51,145.54,3756861
2017-09-15 16:00:00,144.82,145.17,144.08,144.82,7397233
2017-09-18 16:00:00,144.81,145.4799,144.27,144.55,3019514
2017-09-19 16:00:00,144.79,144.98,144.22,144.39,3464383
2017-09-20 16:00:00,144.93,145.88,144.42,145.88,5447519
2017-09-21 16:00:00,145.65,145.8911,145.1,145.26,2555596
2017-09-22 16:00:00,145.59,145.59,144.59,145.13,2792323
2017-09-25 16:00:00,145.12,146.03,144.91,145.87,5213144
2017-09-26 16:00:00,146.36,147.42,145.94,146.56,4488620
2017-09-27 16:00:00,146.68,146.9,145.03,145.66,3486610
2017-09-28 16:00:00,145.33,145.86,144.21,145.66,2774788
2017-09-29 16:00:00,145.45,145.69,144.92,145.08,2654731
2017-10-02 16:00:00,145.35,146.865,145.21,146.66,2973224
2017-10-03 16:00:00,146.69,147.1999,146.34,146.78,2302724
2017-10-04 16:00:00,147.0,147.02,146.11,146.48,2244433
2017-10-05 16:00:00,146.68,147.54,146.48,146.72,2686539
2017-10-06 16:00:00,146.64,146.85,146.32,146.48,2623184
2017-10-09 16:00:00,146.5,147.79,146.35,147.39,2682556
2017-10-10 16:00:00,147.71,148.95,147.65,148.5,4032601
2017-10-11 16:00:00,148.4,148.47,148.01,148.04,254256
2017-10-12 16:00:00,147.56,147.89,146.77,147.03,3264344
2017-10-13 16:00:00,147.48,147.85,146.94,147.1,2506584
2017-10-16 16:00:00,147.22,147.67,146.51,146.83,3052091
2017-10-17 16:00:00,146.63,147.12,146.18,146.54,6372393
2017-10-18 16:00:00,157.12,161.23,156.95,159.53,30490192
2017-10-19 16:00:00,159.8,160.96,159.085,160.9,9914169
2017-10-20 16:00:00,161.07,162.48,159.77,162.07,7868803
2017-10-23 16:00:00,162.05,162.51,159.54,159.55,5779378
2017-10-24 16:00:00,159.65,159.7,155.171,155.88,8194690
2017-10-25 16:00:00,156.01,156.37,153.06,153.5,6921137
2017-10-26 16:00:00,154.31,155.12,153.54,153.6,4300543
2017-10-27 16:00:00,154.54,154.63,152.911,153.68,4895186
2017-10-30 16:00:00,153.76,154.59,152.71,154.36,4210402
2017-10-31 16:00:00,154.33,154.93,152.93,154.06,4328258
2017-11-01 16:00:00,154.1,154.9,153.83,154.03,3240246
2017-11-02 16:00:00,154.18,154.49,152.91,153.35,3397628
2017-11-03 16:00:00,153.42,153.47,151.49,151.58,4431825
2017-11-06 16:00:00,151.77,151.82,150.28,150.84,4498871
2017-11-07 16:00:00,151.37,151.51,150.5,151.35,3701052
2017-11-08 16:00:00,151.6,151.7944,150.28,151.57,4634439
2017-11-09 16:00:00,149.93,151.8,149.86,150.3,4776532
2017-11-10 16:00:00,150.65,150.89,149.14,149.16,4307276
2017-11-13 16:00:00,148.88,149.0,147.92,148.4,5107546
2017-11-14 16:00:00,147.95,148.97,147.49,148.89,3757951
2017-11-15 16:00:00,148.0,148.705,146.211,147.1,4773328
2017-11-16 16:00:00,147.73,149.65,147.5,149.12,5446453
2017-11-17 16:00:00,149.34,150.15,148.83,148.97,4916500
2017-11-20 16:00:00,150.64,151.95,149.9,150.51,5676495
2017-11-21 16:00:00,151.3,152.45,151.2,151.95,3756184
2017-11-22 16:00:00,152.0,152.39,151.33,151.77,3213596
2017-11-24 13:00:00,151.95,152.2,151.33,151.84,1193025
2017-11-27 16:00:00,152.06,152.49,151.62,151.98,3374042
2017-11-28 16:00:00,152.35,152.93,151.7,152.47,3973670
2017-11-29 16:00:00,152.81,153.61,152.17,153.55,5098702
2017-11-30 16:00:00,153.65,154.41,153.08,153.97,6500769
2017-12-01 16:00:00,154.4,155.02,152.9125,154.76,5567852
2017-12-04 16:00:00,155.9597,156.8,155.07,156.46,4664316
2017-12-05 16:00:00,156.45,156.74,154.68,155.35,5068043
2017-12-06 16:00:00,154.1,156.22,154.09,154.1,3410728
2017-12-07 16:00:00,153.59,154.45,153.26,153.57,3771429
2017-12-08 16:00:00,154.81,155.03,153.55,154.81,3520281
2017-12-11 16:00:00,155.455,155.89,154.57,155.41,4102719
2017-12-12 16:00:00,156.74,157.85,155.16,156.74,6321801
2017-12-13 16:00:00,156.6,156.73,153.89,153.91,5661618
