,Open,High,Low,Close,Volume
2017-10-25 16:00:00,162.03,162.94,160.2401,162.04,407046
2017-10-26 16:00:00,162.78,164.46,162.21,164.25,351827
2017-10-27 16:00:00,163.61,168.66,162.9,168.37,447737
2017-10-30 16:00:00,167.76,168.63,163.23,164.41,543078
2017-10-31 16:00:00,163.76,168.09,161.01,166.17,909816
2017-11-01 16:00:00,167.79,167.79,159.15,159.24,535588
2017-11-02 16:00:00,159.23,159.23,151.13,151.83,1447817
2017-11-03 16:00:00,150.69,155.82,150.6,155.49,810196
2017-11-06 16:00:00,154.81,154.95,149.0,151.49,1032749
2017-11-07 16:00:00,149.81,151.48,147.05,150.08,835722
2017-11-08 16:00:00,149.83,151.41,149.13,150.07,526561
2017-11-09 16:00:00,149.45,150.74,149.0,150.19,462573
2017-11-10 16:00:00,149.15,149.83,146.76,147.68,525079
2017-11-13 16:00:00,146.91,148.04,146.09,147.79,681144
2017-11-14 16:00:00,146.91,149.73,146.91,149.54,668633
2017-11-15 16:00:00,149.49,151.91,148.5,151.4,660520
2017-11-16 16:00:00,151.77,154.79,151.53,154.08,746292
2017-11-17 16:00:00,153.8,155.66,153.36,154.88,512765
2017-11-20 16:00:00,154.7,155.84,154.24,155.4,395450
2017-11-21 16:00:00,156.48,156.48,154.41,155.59,404742
2017-11-22 16:00:00,155.93,157.065,153.95,154.06,285382
2017-11-24 13:00:00,153.72,155.19,153.7,154.81,148782
