,Open,High,Low,Close,Volume
2017-10-25 16:00:00,149.07,150.2,148.15,149.2,263017
2017-10-26 16:00:00,149.63,150.3,148.7,150.0,171280
2017-10-27 16:00:00,149.67,150.22,148.4,148.56,228059
2017-10-30 16:00:00,148.09,148.3783,146.43,146.77,214834
2017-10-31 16:00:00,146.82,147.48,146.21,147.42,259782
2017-11-01 16:00:00,147.74,148.935,147.51,148.32,266554
2017-11-02 16:00:00,148.68,148.93,147.02,148.2,299752
2017-11-03 16:00:00,147.96,149.02,147.45,148.31,280607
2017-11-06 16:00:00,148.6,148.6,146.43,146.45,342118
2017-11-07 16:00:00,153.0,153.9699,149.51,149.99,782848
2017-11-08 16:00:00,149.85,149.87,147.25,147.53,435163
2017-11-09 16:00:00,147.2,147.55,146.31,146.74,235119
2017-11-10 16:00:00,145.45,147.65,145.45,146.77,282230
2017-11-13 16:00:00,146.58,149.8,146.48,149.72,202199
2017-11-14 16:00:00,148.95,150.71,148.34,150.65,233805
2017-11-15 16:00:00,149.61,149.61,147.87,147.95,192006
2017-11-16 16:00:00,148.63,149.36,148.0,148.59,265167
2017-11-17 16:00:00,148.04,148.95,147.51,148.75,210245
2017-11-20 16:00:00,149.13,150.0,148.48,149.94,245636
2017-11-21 16:00:00,150.72,152.22,150.55,151.71,209605
2017-11-22 16:00:00,151.73,152.18,150.45,150.98,204252
2017-11-24 13:00:00,151.22,152.65,151.22,152.38,138608
