,Open,High,Low,Close,Volume
2017-09-14 16:00:00,212.59,212.61,210.6,211.04,676355
2017-09-15 16:00:00,211.0,211.87,208.96,210.72,942620
2017-09-18 16:00:00,211.37,211.94,208.8,209.4,561229
2017-09-19 16:00:00,210.36,210.64,204.8,204.95,1045834
2017-09-20 16:00:00,204.94,205.82,201.05,203.09,1071887
2017-09-21 16:00:00,203.34,203.91,199.6,200.24,896536
2017-09-22 16:00:00,199.69,201.94,199.69,201.41,986743
2017-09-25 16:00:00,200.21,202.58,199.87,201.38,926853
2017-09-26 16:00:00,202.06,202.765,197.63,198.44,767429
2017-09-27 16:00:00,199.16,200.37,197.6,197.76,500505
2017-09-28 16:00:00,197.2,199.365,196.0,199.0,541301
2017-09-29 16:00:00,199.18,199.67,197.45,199.2,581659
2017-10-02 16:00:00,199.45,203.07,199.24,202.23,828700
2017-10-03 16:00:00,202.23,204.03,201.31,202.46,647928
2017-10-04 16:00:00,202.39,205.9999,202.39,205.77,550028
2017-10-05 16:00:00,205.98,206.61,204.86,205.78,494189
2017-10-06 16:00:00,205.97,206.62,203.82,204.18,602746
2017-10-09 16:00:00,204.92,205.645,202.93,203.27,527528
2017-10-10 16:00:00,203.5,204.39,202.0007,204.15,537443
2017-10-11 16:00:00,203.55,206.83,203.47,206.69,548224
2017-10-12 16:00:00,207.21,211.49,207.0976,208.24,657641
2017-10-13 16:00:00,208.87,209.88,205.62,206.92,422227
2017-10-16 16:00:00,207.25,208.11,205.7,206.23,485564
2017-10-17 16:00:00,206.21,206.88,205.025,206.48,545410
2017-10-18 16:00:00,206.64,207.99,205.3,205.62,470677
2017-10-19 16:00:00,205.68,206.51,204.011,205.18,432670
2017-10-20 16:00:00,205.58,211.66,204.01,209.88,727020
2017-10-23 16:00:00,214.0,214.5,210.9,211.55,1325944
2017-10-24 16:00:00,211.0,212.92,208.0652,210.82,1704447
2017-10-25 16:00:00,214.03,214.03,198.21,204.85,2632227
2017-10-26 16:00:00,205.0,209.01,202.2,208.31,1082088
2017-10-27 16:00:00,205.5,210.21,203.36,210.04,963868
2017-10-30 16:00:00,209.55,210.6,203.03,203.81,671916
2017-10-31 16:00:00,204.13,205.86,203.39,205.19,848247
2017-11-01 16:00:00,206.49,208.27,205.2,207.74,750564
2017-11-02 16:00:00,207.26,210.3,207.26,208.82,440423
2017-11-03 16:00:00,207.88,214.18,207.225,213.99,635172
2017-11-06 16:00:00,214.0,214.44,208.86,209.19,545187
2017-11-07 16:00:00,209.63,212.395,208.66,211.74,696481
2017-11-08 16:00:00,211.31,211.35,208.942,211.2,379124
2017-11-09 16:00:00,209.0,210.56,207.72,209.61,347559
2017-11-10 16:00:00,208.34,209.47,207.7,208.94,598598
2017-11-13 16:00:00,207.78,209.39,206.73,209.14,372804
2017-11-14 16:00:00,207.8,209.6028,204.09,206.05,485931
2017-11-15 16:00:00,206.21,207.0,203.83,205.42,497344
2017-11-16 16:00:00,205.41,209.1,205.41,208.51,563729
2017-11-17 16:00:00,208.69,209.97,208.08,209.02,545558
2017-11-20 16:00:00,210.02,211.74,209.83,210.67,585423
2017-11-21 16:00:00,211.23,212.33,209.72,212.05,503191
2017-11-22 16:00:00,212.68,215.96,212.19,215.35,692166
2017-11-24 13:00:00,214.5,216.08,214.5,214.86,218144
2017-11-27 16:00:00,215.0,224.245,213.33,223.84,1472243
2017-11-28 16:00:00,224.69,226.42,221.11,226.28,1398018
2017-11-29 16:00:00,226.92,227.85,223.8557,227.48,1144648
2017-11-30 16:00:00,227.75,230.72,227.47,230.03,937591
2017-12-01 16:00:00,226.55,230.24,222.34,225.24,972083
2017-12-04 16:00:00,225.33,226.86,213.0,213.45,1246069
2017-12-05 16:00:00,212.99,215.74,210.05,211.06,1050098
2017-12-06 16:00:00,211.66,214.745,210.31,213.98,656573
2017-12-07 16:00:00,214.08,216.37,211.32,214.67,682331
2017-12-08 16:00:00,215.28,218.97,215.16,217.65,618493
2017-12-11 16:00:00,218.11,218.52,212.1153,214.11,906025
2017-12-12 16:00:00,214.7,215.0,211.832,212.64,751471
2017-12-13 16:00:00,213.61,215.23,213.0,214.55,502754
