,Open,High,Low,Close,Volume
2017-10-25 16:00:00,43.53,43.55,42.93,42.95,1556096
2017-10-26 16:00:00,42.9,43.44,42.651,42.99,3132302
2017-10-27 16:00:00,42.89,43.38,42.8,43.32,4119165
2017-10-30 16:00:00,43.21,43.21,42.42,42.45,2246075
2017-10-31 16:00:00,42.59,42.79,42.4,42.61,2670873
2017-11-01 16:00:00,42.81,43.13,42.52,42.7,1966405
2017-11-02 16:00:00,42.63,43.09,42.57,42.93,1841551
2017-11-03 16:00:00,43.0,43.51,42.66,43.49,1720741
2017-11-06 16:00:00,43.38,43.875,43.3,43.61,1150540
2017-11-07 16:00:00,43.53,43.83,43.38,43.43,2128326
2017-11-08 16:00:00,43.7,44.44,43.345,43.93,2106676
2017-11-09 16:00:00,43.74,43.79,43.19,43.2,1258031
2017-11-10 16:00:00,43.14,43.16,42.79,42.93,1643192
2017-11-13 16:00:00,42.9,43.14,42.84,42.99,2300208
2017-11-14 16:00:00,43.51,44.23,43.03,43.89,4098990
2017-11-15 16:00:00,43.24,43.83,42.755,43.53,2253209
2017-11-16 16:00:00,43.23,43.9,43.23,43.46,1517876
2017-11-17 16:00:00,43.34,43.78,43.31,43.62,5397196
2017-11-20 16:00:00,43.59,43.97,42.55,43.85,1616239
2017-11-21 16:00:00,44.0,44.0,43.19,43.23,1653276
2017-11-22 16:00:00,43.21,43.85,43.18,43.43,1470878
2017-11-24 13:00:00,43.46,43.8,43.34,43.77,590447
