,Open,High,Low,Close,Volume
2017-10-25 16:00:00,40.89,41.055,40.49,40.78,24031660
2017-10-26 16:00:00,40.91,41.575,40.71,41.35,38247395
2017-10-27 16:00:00,43.3,45.0,43.1,44.4,90028300
2017-10-30 16:00:00,44.48,45.19,43.88,44.37,48161518
2017-10-31 16:00:00,45.2,45.8,44.65,45.49,47000920
2017-11-01 16:00:00,45.97,46.71,45.59,46.71,47813724
2017-11-02 16:00:00,46.61,47.23,46.213,47.1,44602250
2017-11-03 16:00:00,47.2,47.3,45.6,46.34,39298110
2017-11-06 16:00:00,46.6,46.74,46.09,46.7,34034971
2017-11-07 16:00:00,46.7,47.09,46.39,46.78,24461371
2017-11-08 16:00:00,46.62,46.7,46.28,46.7,21565759
2017-11-09 16:00:00,46.05,46.39,45.65,46.3,25570358
2017-11-10 16:00:00,46.04,46.09,45.38,45.58,24095354
2017-11-13 16:00:00,45.26,45.94,45.25,45.75,18999002
2017-11-14 16:00:00,45.7,45.92,45.32,45.86,22201170
2017-11-15 16:00:00,45.39,45.805,45.1725,45.46,17157204
2017-11-16 16:00:00,45.63,46.07,45.46,45.65,26439406
2017-11-17 16:00:00,45.5,45.62,44.62,44.63,63798040
2017-11-20 16:00:00,44.73,45.115,44.5,44.62,22420003
2017-11-21 16:00:00,44.72,45.22,44.71,44.94,21871027
2017-11-22 16:00:00,44.94,44.95,44.535,44.65,19538331
2017-11-24 13:00:00,44.55,44.775,44.43,44.75,6465815
