,Open,High,Low,Close,Volume
2017-10-25 16:00:00,148.35,149.74,147.97,149.46,1460655
2017-10-26 16:00:00,150.05,151.95,149.43,151.33,1124783
2017-10-27 16:00:00,151.4,153.86,150.82,153.46,1173081
2017-10-30 16:00:00,153.22,153.26,150.385,151.45,953949
2017-10-31 16:00:00,151.78,151.99,150.51,151.02,859132
2017-11-01 16:00:00,151.85,152.215,150.55,151.36,892377
2017-11-02 16:00:00,151.34,152.32,150.6,152.15,925527
2017-11-03 16:00:00,151.89,154.04,151.04,153.64,962437
2017-11-06 16:00:00,153.86,154.19,152.04,152.68,671201
2017-11-07 16:00:00,153.25,153.33,151.58,152.51,662897
2017-11-08 16:00:00,152.61,153.19,151.67,152.96,734279
2017-11-09 16:00:00,152.01,152.59,150.58,152.41,954744
2017-11-10 16:00:00,151.66,153.45,151.56,153.3,712019
2017-11-13 16:00:00,153.01,155.37,153.01,154.89,1091381
2017-11-14 16:00:00,154.05,155.775,153.52,155.21,946529
2017-11-15 16:00:00,155.22,156.46,153.36,153.86,1659010
2017-11-16 16:00:00,154.09,156.04,153.59,155.65,1143738
2017-11-17 16:00:00,155.99,156.709,155.2701,156.55,1247697
2017-11-20 16:00:00,157.22,158.9,156.53,157.78,1871096
2017-11-21 16:00:00,152.5,156.39,151.18,151.79,2533369
2017-11-22 16:00:00,151.94,152.375,150.72,151.63,1821750
2017-11-24 13:00:00,151.1,153.98,151.02,153.91,1055044
