,Open,High,Low,Close,Volume
2017-10-25 16:00:00,39.76,40.16,39.01,39.81,1868605
2017-10-26 16:00:00,39.95,40.1123,39.65,39.66,948932
2017-10-27 16:00:00,39.37,40.02,39.3298,40.0,1064967
2017-10-30 16:00:00,39.92,40.14,39.76,40.11,1037169
2017-10-31 16:00:00,40.03,40.05,39.59,40.0,1151028
2017-11-01 16:00:00,40.18,40.33,39.76,39.81,826974
2017-11-02 16:00:00,39.92,40.28,39.74,39.89,913459
2017-11-03 16:00:00,39.67,40.14,39.56,40.12,594150
2017-11-06 16:00:00,40.14,40.87,40.14,40.64,929558
2017-11-07 16:00:00,40.63,40.96,40.39,40.6,1007005
2017-11-08 16:00:00,40.6,40.9231,40.6,40.77,993302
2017-11-09 16:00:00,40.59,41.0,40.53,40.63,614042
2017-11-10 16:00:00,40.41,40.83,40.41,40.66,932012
2017-11-13 16:00:00,40.74,41.03,40.66,40.99,752193
2017-11-14 16:00:00,40.82,41.18,40.63,41.0,1164771
2017-11-15 16:00:00,41.0,41.0,40.51,40.53,812493
2017-11-16 16:00:00,40.59,40.99,40.0,40.82,1517559
2017-11-17 16:00:00,40.67,40.78,40.3,40.77,1352801
2017-11-20 16:00:00,40.75,40.92,40.46,40.92,765847
2017-11-21 16:00:00,41.0,41.53,40.79,41.35,1840057
2017-11-22 16:00:00,41.29,41.3344,40.49,41.14,980240
2017-11-24 13:00:00,41.25,41.51,41.15,41.44,511930
