,Open,High,Low,Close,Volume
2017-09-14 16:00:00,32.64,33.01,32.545,32.79,2331130
2017-09-15 16:00:00,32.77,33.09,32.59,33.08,3894860
2017-09-18 16:00:00,33.12,33.6,33.12,33.44,2836290
2017-09-19 16:00:00,33.44,33.63,33.25,33.51,2551683
2017-09-20 16:00:00,33.55,33.6,33.26,33.45,2140873
2017-09-21 16:00:00,33.48,33.65,33.18,33.56,1556539
2017-09-22 16:00:00,33.49,34.235,33.35,34.2,2657637
2017-09-25 16:00:00,34.11,34.415,33.925,34.23,1485311
2017-09-26 16:00:00,34.29,34.4,34.07,34.09,1161131
2017-09-27 16:00:00,34.47,34.575,34.1,34.4,1718060
2017-09-28 16:00:00,34.0,34.29,33.65,34.28,2716965
2017-09-29 16:00:00,34.46,35.44,34.46,35.04,3333879
2017-10-02 16:00:00,35.01,35.545,34.63,35.53,3008884
2017-10-03 16:00:00,35.51,35.83,35.355,35.76,2235521
2017-10-04 16:00:00,35.67,35.91,35.45,35.59,1915645
2017-10-05 16:00:00,35.61,36.17,35.58,35.8,2686812
2017-10-06 16:00:00,35.89,35.89,35.6,35.77,2369505
2017-10-09 16:00:00,35.9,35.92,35.67,35.73,1745446
2017-10-10 16:00:00,35.88,36.21,35.8,36.08,3105596
2017-10-11 16:00:00,36.11,36.56,36.11,36.32,278982
2017-10-12 16:00:00,36.28,36.685,36.19,36.29,4511378
2017-10-13 16:00:00,36.27,36.55,36.12,36.15,3281535
2017-10-16 16:00:00,36.24,36.39,36.085,36.32,2255479
2017-10-17 16:00:00,36.34,36.3425,36.025,36.19,1979425
2017-10-18 16:00:00,36.34,36.83,36.27,36.79,2773095
2017-10-19 16:00:00,36.5,36.88,36.48,36.88,2214735
2017-10-20 16:00:00,37.33,37.42,37.13,37.34,3484867
2017-10-23 16:00:00,37.32,37.51,37.17,37.26,2170087
2017-10-24 16:00:00,37.5,37.585,37.28,37.41,1988683
2017-10-25 16:00:00,37.4,37.4,36.37,36.84,3314106
2017-10-26 16:00:00,37.7,37.75,36.42,37.15,2334045
2017-10-27 16:00:00,37.2,37.379,36.75,36.89,1788348
2017-10-30 16:00:00,36.63,36.78,35.94,36.04,2693893
2017-10-31 16:00:00,36.04,36.167,35.73,35.79,2737728
2017-11-01 16:00:00,36.05,36.25,35.74,35.76,1734602
2017-11-02 16:00:00,35.81,36.31,35.71,36.16,3305226
2017-11-03 16:00:00,36.16,36.19,35.73,36.05,2448831
2017-11-06 16:00:00,35.99,36.12,35.8,35.87,1496624
2017-11-07 16:00:00,35.93,36.09,35.38,35.61,1630999
2017-11-08 16:00:00,35.59,35.72,35.41,35.69,2081504
2017-11-09 16:00:00,35.42,35.57,35.19,35.5,1865481
2017-11-10 16:00:00,35.46,35.54,35.03,35.15,1598172
2017-11-13 16:00:00,34.63,34.68,34.351,34.52,1896646
2017-11-14 16:00:00,34.29,34.525,34.26,34.47,2247757
2017-11-15 16:00:00,34.21,34.8,33.95,34.48,4631776
2017-11-16 16:00:00,34.71,34.87,34.5,34.57,2280142
2017-11-17 16:00:00,34.43,35.07,34.365,34.98,2899321
2017-11-20 16:00:00,35.05,35.81,35.01,35.46,2941111
2017-11-21 16:00:00,35.63,35.88,35.44,35.63,2075362
2017-11-22 16:00:00,35.67,35.85,35.16,35.23,1426824
2017-11-24 13:00:00,35.35,35.4,35.045,35.09,687914
2017-11-27 16:00:00,35.14,35.32,35.0,35.2,2960694
2017-11-28 16:00:00,35.37,36.205,35.2,36.0,3293950
2017-11-29 16:00:00,36.23,36.48,35.67,36.1,3489230
2017-11-30 16:00:00,36.35,36.68,36.04,36.17,2611079
2017-12-01 16:00:00,36.28,36.42,35.09,36.21,3226443
2017-12-04 16:00:00,36.88,37.12,36.67,36.88,2979380
2017-12-05 16:00:00,36.715,36.95,36.53,36.63,1550318
2017-12-06 16:00:00,36.6,37.35,36.54,37.09,2394200
2017-12-07 16:00:00,36.97,37.82,36.82,37.34,2101638
2017-12-08 16:00:00,37.46,37.77,37.28,37.67,1489286
2017-12-11 16:00:00,37.38,37.8464,37.22,37.39,2494330
2017-12-12 16:00:00,37.17,37.4,36.81,37.17,2837867
2017-12-13 16:00:00,37.24,37.72,36.92,36.96,3618145
