,Open,High,Low,Close,Volume
2017-09-14 16:00:00,39.76,40.11,39.61,40.1,4057174
2017-09-15 16:00:00,40.02,40.1,39.665,39.81,6186135
2017-09-18 16:00:00,39.88,39.88,39.28,39.57,5758707
2017-09-19 16:00:00,39.64,39.64,38.95,39.04,5653598
2017-09-20 16:00:00,39.18,40.32,39.18,39.75,5681526
2017-09-21 16:00:00,39.82,40.03,39.51,39.98,3170836
2017-09-22 16:00:00,39.79,39.95,39.49,39.89,2617293
2017-09-25 16:00:00,39.89,40.13,39.73,40.12,3752547
2017-09-26 16:00:00,40.02,41.12,39.92,40.94,6581989
2017-09-27 16:00:00,41.1,41.19,40.39,40.45,6176951
2017-09-28 16:00:00,40.3,40.4,39.305,40.06,6972866
2017-09-29 16:00:00,40.0,40.35,39.76,40.29,3899303
2017-10-02 16:00:00,40.42,40.76,40.31,40.45,3492387
2017-10-03 16:00:00,40.5,40.74,40.21,40.47,3773887
2017-10-04 16:00:00,40.55,41.0,40.29,40.95,3854077
2017-10-05 16:00:00,40.91,41.46,40.793,41.2,3645930
2017-10-06 16:00:00,41.17,41.3,40.99,41.07,3167745
2017-10-09 16:00:00,41.11,41.2,40.52,40.6,2932312
2017-10-10 16:00:00,40.66,41.93,40.66,41.49,8196063
2017-10-11 16:00:00,41.5,41.65,41.18,41.3,272876
2017-10-12 16:00:00,41.15,41.48,41.01,41.39,2884427
2017-10-13 16:00:00,41.45,41.77,41.35,41.69,3202348
2017-10-16 16:00:00,41.82,41.86,41.41,41.75,2965096
2017-10-17 16:00:00,41.62,41.73,41.095,41.2,3429232
2017-10-18 16:00:00,40.87,41.18,40.63,40.66,3736411
2017-10-19 16:00:00,40.67,41.35,40.6,41.24,3588609
2017-10-20 16:00:00,41.46,41.93,41.35,41.62,4016738
2017-10-23 16:00:00,41.63,41.78,41.45,41.61,3016201
2017-10-24 16:00:00,41.59,42.185,41.45,41.96,4193570
2017-10-25 16:00:00,41.96,42.12,40.78,41.2,4505147
2017-10-26 16:00:00,41.49,42.31,41.41,42.17,5360756
2017-10-27 16:00:00,42.12,42.6,42.03,42.41,3886394
2017-10-30 16:00:00,42.18,42.45,41.835,42.14,4778245
2017-10-31 16:00:00,41.98,41.98,41.24,41.39,5013394
2017-11-01 16:00:00,41.76,41.85,41.1,41.2,3969590
2017-11-02 16:00:00,41.15,41.4,40.56,40.65,3376948
2017-11-03 16:00:00,40.51,40.98,40.33,40.68,3561173
2017-11-06 16:00:00,40.84,41.35,40.73,41.09,3468374
2017-11-07 16:00:00,41.22,41.56,40.77,40.99,4198097
2017-11-08 16:00:00,40.88,41.175,40.68,41.0,3617333
2017-11-09 16:00:00,40.21,41.26,38.28,38.51,10586364
2017-11-10 16:00:00,37.8,37.8,36.48,36.93,13793684
2017-11-13 16:00:00,36.63,36.66,35.8497,36.0,11405109
2017-11-14 16:00:00,35.85,36.17,35.62,35.89,12358421
2017-11-15 16:00:00,35.49,35.81,34.51,35.73,10840306
2017-11-16 16:00:00,35.82,36.22,35.36,36.14,5557164
2017-11-17 16:00:00,35.96,36.54,35.73,36.39,5414720
2017-11-20 16:00:00,36.74,36.79,35.9,36.06,4311627
2017-11-21 16:00:00,36.01,36.35,35.73,36.0,4548518
2017-11-22 16:00:00,36.0,36.825,36.0,36.79,5848244
2017-11-24 13:00:00,36.81,36.94,36.565,36.91,1935552
2017-11-27 16:00:00,36.93,37.25,36.69,37.09,6357792
2017-11-28 16:00:00,37.25,38.53,37.04,38.42,6661308
2017-11-29 16:00:00,38.36,38.5,37.9,38.09,4917409
2017-11-30 16:00:00,38.21,38.31,37.453,37.64,8348304
2017-12-01 16:00:00,37.73,37.82,36.77,37.42,6359751
2017-12-04 16:00:00,37.72,37.79,37.31,37.43,8025307
2017-12-05 16:00:00,37.42,37.455,37.02,37.13,6577667
2017-12-06 16:00:00,37.13,37.69,37.0761,37.24,5860811
2017-12-07 16:00:00,37.68,37.91,37.21,37.36,5506556
2017-12-08 16:00:00,37.41,37.45,36.52,37.41,7141668
2017-12-11 16:00:00,37.29,38.03,37.2856,37.71,4515693
2017-12-12 16:00:00,38.25,38.29,37.45,38.25,6617588
2017-12-13 16:00:00,38.09,38.22,37.65,37.66,5143601
