,Open,High,Low,Close,Volume
2017-10-25 16:00:00,141.16,143.23,140.9594,142.36,6563580
2017-10-26 16:00:00,142.51,143.75,141.38,141.81,5841067
2017-10-27 16:00:00,141.0,142.7,140.2,141.78,5140654
2017-10-30 16:00:00,141.08,141.21,139.32,140.0,6034336
2017-10-31 16:00:00,140.02,140.26,138.98,139.41,4832136
2017-11-01 16:00:00,139.83,140.59,139.34,139.98,5006771
2017-11-02 16:00:00,140.11,140.29,139.11,139.93,3494055
2017-11-03 16:00:00,139.73,140.4,139.3,140.08,2736951
2017-11-06 16:00:00,140.01,140.49,139.72,139.76,4220666
2017-11-07 16:00:00,140.08,140.15,138.91,139.77,4201853
2017-11-08 16:00:00,139.7,141.87,139.4601,141.32,4440729
2017-11-09 16:00:00,140.86,141.41,139.8,140.35,3517130
2017-11-10 16:00:00,140.13,140.13,138.61,139.56,4240786
2017-11-13 16:00:00,139.01,140.02,138.42,139.76,4322275
2017-11-14 16:00:00,139.57,140.2843,138.92,139.49,4078239
2017-11-15 16:00:00,139.23,139.83,138.75,139.1,4811462
2017-11-16 16:00:00,139.42,139.68,138.64,138.87,4193806
2017-11-17 16:00:00,138.3,138.86,137.89,138.0,4247381
2017-11-20 16:00:00,138.15,138.56,137.74,137.93,4266264
2017-11-21 16:00:00,138.45,139.26,138.19,138.34,5660581
2017-11-22 16:00:00,138.3,138.38,136.6,137.29,3917467
2017-11-24 13:00:00,137.5,138.38,137.31,138.01,2606832
