,Open,High,Low,Close,Volume
2017-10-25 16:00:00,24.07,25.1,23.87,24.56,14040931
2017-10-26 16:00:00,24.56,24.93,24.5,24.86,9890881
2017-10-27 16:00:00,24.94,25.28,24.78,25.2,7826341
2017-10-30 16:00:00,25.21,25.23,24.73,24.92,7205337
2017-10-31 16:00:00,24.92,25.175,24.8,24.83,6696941
2017-11-01 16:00:00,25.0,25.0,24.51,24.86,6596901
2017-11-02 16:00:00,24.79,24.82,24.37,24.4,5532312
2017-11-03 16:00:00,24.5,24.68,24.34,24.55,4562486
2017-11-06 16:00:00,24.47,24.86,24.42,24.74,6048552
2017-11-07 16:00:00,24.73,24.82,24.46,24.5,5097050
2017-11-08 16:00:00,24.48,24.86,24.33,24.79,5457897
2017-11-09 16:00:00,24.59,25.47,24.55,25.35,13396804
2017-11-10 16:00:00,25.1,25.18,24.74,25.0,7274371
2017-11-13 16:00:00,24.89,25.5,24.869,25.36,6157133
2017-11-14 16:00:00,25.35,26.67,25.33,26.43,12604996
2017-11-15 16:00:00,26.26,26.91,25.9,25.95,8717868
2017-11-16 16:00:00,26.13,26.46,26.05,26.19,5920523
2017-11-17 16:00:00,26.13,26.42,26.0,26.3,4505621
2017-11-20 16:00:00,26.05,27.09,26.01,26.97,6868467
2017-11-21 16:00:00,27.2,27.28,26.79,26.98,5201740
2017-11-22 16:00:00,27.1,27.41,26.965,27.01,4819518
2017-11-24 13:00:00,27.01,27.44,26.91,27.34,2489966
