,Open,High,Low,Close,Volume
2017-09-14 16:00:00,47.7,47.72,46.36,46.74,3298150
2017-09-15 16:00:00,46.66,47.29,46.51,46.74,3005112
2017-09-18 16:00:00,46.76,47.18,46.61,46.64,1550342
2017-09-19 16:00:00,46.85,47.08,46.21,46.22,1803859
2017-09-20 16:00:00,46.1,46.28,45.83,46.22,1492460
2017-09-21 16:00:00,46.3,46.46,45.86,46.28,1108746
2017-09-22 16:00:00,46.42,46.935,46.32,46.88,1552685
2017-09-25 16:00:00,46.68,47.76,46.57,47.32,1545038
2017-09-26 16:00:00,47.46,47.71,47.05,47.53,1600996
2017-09-27 16:00:00,47.55,47.81,46.9432,47.44,1338061
2017-09-28 16:00:00,47.51,47.72,47.18,47.4,1663231
2017-09-29 16:00:00,47.53,47.6,47.05,47.15,1455297
2017-10-02 16:00:00,45.04,45.04,43.5,44.18,7689725
2017-10-03 16:00:00,44.0,44.31,43.3,44.2,4014892
2017-10-04 16:00:00,44.349,44.449,43.8,44.25,3490822
2017-10-05 16:00:00,44.26,44.97,43.9,44.8,2171114
2017-10-06 16:00:00,44.63,44.93,44.15,44.31,1391002
2017-10-09 16:00:00,44.44,44.67,43.221,43.54,1266152
2017-10-10 16:00:00,43.59,43.97,43.23,43.38,1323752
2017-10-11 16:00:00,43.4,43.51,43.03,43.03,102709
2017-10-12 16:00:00,42.71,42.8,42.12,42.59,2938790
2017-10-13 16:00:00,42.48,42.88,42.17,42.65,1424273
2017-10-16 16:00:00,40.54,41.4,39.63,40.4,10612625
2017-10-17 16:00:00,40.34,41.47,40.0958,41.45,3992928
2017-10-18 16:00:00,41.45,42.5,41.38,42.01,3962222
2017-10-19 16:00:00,41.76,42.25,41.57,41.73,1123742
2017-10-20 16:00:00,41.99,42.19,41.695,42.15,1777846
2017-10-23 16:00:00,42.15,42.56,41.74,41.77,1350632
2017-10-24 16:00:00,41.84,42.09,41.46,41.61,1461712
2017-10-25 16:00:00,41.6,41.67,41.05,41.52,2209301
2017-10-26 16:00:00,41.67,42.69,41.35,42.21,2793651
2017-10-27 16:00:00,41.37,41.57,40.62,40.97,2331480
2017-10-30 16:00:00,40.75,40.88,39.66,40.0,3010956
2017-10-31 16:00:00,39.95,40.24,39.36,39.65,2143316
2017-11-01 16:00:00,39.77,40.5,39.57,39.94,1891380
2017-11-02 16:00:00,40.1,40.42,39.28,39.35,1885960
2017-11-03 16:00:00,39.2,39.405,38.43,38.5,1642140
2017-11-06 16:00:00,38.5,39.36,38.16,39.26,2701750
2017-11-07 16:00:00,39.12,39.16,38.14,38.31,2364945
2017-11-08 16:00:00,38.13,38.66,37.7924,38.3,1866151
2017-11-09 16:00:00,38.85,40.8,38.39,40.03,6859643
2017-11-10 16:00:00,39.41,40.5,38.4,40.03,7114824
2017-11-13 16:00:00,39.71,40.19,38.47,38.72,2871834
2017-11-14 16:00:00,38.42,39.37,38.42,39.16,1968910
2017-11-15 16:00:00,38.8,39.77,38.56,39.19,2158775
2017-11-16 16:00:00,39.56,40.5,39.03,39.97,2033639
2017-11-17 16:00:00,40.86,41.22,40.32,40.86,2346833
2017-11-20 16:00:00,40.91,41.465,40.37,41.44,1899757
2017-11-21 16:00:00,41.37,41.46,40.41,41.3,1458947
2017-11-22 16:00:00,41.27,41.88,41.045,41.16,1607744
2017-11-24 13:00:00,41.23,41.48,40.71,40.96,974197
2017-11-27 16:00:00,41.08,41.8999,40.61,41.34,2857388
2017-11-28 16:00:00,41.39,42.72,41.11,42.67,2103450
2017-11-29 16:00:00,42.87,46.35,42.78,45.76,7680403
2017-11-30 16:00:00,45.61,46.96,45.151,45.45,4559270
2017-12-01 16:00:00,45.38,45.94,44.4,45.5,2450236
2017-12-04 16:00:00,46.14,47.85,46.13,47.26,3982844
2017-12-05 16:00:00,47.19,47.19,45.62,46.15,2109495
2017-12-06 16:00:00,46.2,46.55,45.11,45.32,2354876
2017-12-07 16:00:00,45.81,46.01,44.69,44.98,2123782
2017-12-08 16:00:00,45.02,45.83,44.68,45.78,1483419
2017-12-11 16:00:00,45.96,46.11,45.37,45.84,1683980
2017-12-12 16:00:00,45.74,46.39,45.08,45.74,1653300
2017-12-13 16:00:00,45.89,46.49,45.56,46.27,1383989
