,Open,High,Low,Close,Volume
2017-09-14 16:00:00,67.84,68.03,67.2,67.62,2732582
2017-09-15 16:00:00,67.67,68.32,67.62,68.32,2579089
2017-09-18 16:00:00,68.31,68.65,68.09,68.61,1876393
2017-09-19 16:00:00,67.87,68.03,65.6,65.87,5904370
2017-09-20 16:00:00,64.89,65.59,63.7,64.72,6004059
2017-09-21 16:00:00,64.72,64.99,63.72,63.92,2341994
2017-09-22 16:00:00,64.08,64.38,63.11,63.36,1962218
2017-09-25 16:00:00,63.32,64.23,63.0,64.03,2996721
2017-09-26 16:00:00,63.93,63.95,62.97,63.42,2929146
2017-09-27 16:00:00,63.42,63.48,62.41,63.04,3074644
2017-09-28 16:00:00,62.94,63.77,62.3,62.81,3940227
2017-09-29 16:00:00,63.05,63.175,62.11,62.37,4069148
2017-10-02 16:00:00,62.22,63.12,61.7,62.72,4200248
2017-10-03 16:00:00,62.71,62.82,61.99,62.02,2831708
2017-10-04 16:00:00,61.98,62.82,61.96,62.42,2804130
2017-10-05 16:00:00,62.56,63.15,62.3701,62.7,2251529
2017-10-06 16:00:00,62.91,63.185,62.33,62.4,3205758
2017-10-09 16:00:00,62.42,62.48,61.03,61.04,4129701
2017-10-10 16:00:00,61.27,61.73,61.12,61.47,3694088
2017-10-11 16:00:00,61.54,61.88,61.31,61.61,371872
2017-10-12 16:00:00,61.19,62.59,61.19,62.39,3105660
2017-10-13 16:00:00,62.44,62.4623,61.64,61.96,2875791
2017-10-16 16:00:00,61.89,62.26,61.82,61.91,1755148
2017-10-17 16:00:00,61.87,62.09,61.59,61.74,2032225
2017-10-18 16:00:00,61.75,61.955,61.53,61.79,2688807
2017-10-19 16:00:00,61.72,61.97,61.41,61.7,2222035
2017-10-20 16:00:00,61.66,61.75,60.96,61.45,3907968
2017-10-23 16:00:00,61.55,61.92,61.32,61.48,3461663
2017-10-24 16:00:00,61.46,61.74,60.97,61.2,3030512
2017-10-25 16:00:00,60.96,61.06,60.005,60.48,4314769
2017-10-26 16:00:00,60.76,60.89,60.03,60.55,3217503
2017-10-27 16:00:00,60.42,60.49,59.82,60.26,3143504
2017-10-30 16:00:00,60.07,60.16,58.76,58.87,6126042
2017-10-31 16:00:00,62.49,63.93,61.77,62.53,11598383
2017-11-01 16:00:00,62.64,63.72,61.81,63.01,4620455
2017-11-02 16:00:00,62.84,63.07,62.335,62.38,3334790
2017-11-03 16:00:00,62.44,62.4899,61.65,61.96,3072355
2017-11-06 16:00:00,61.85,61.85,60.19,60.2,3584785
2017-11-07 16:00:00,60.25,61.39,60.13,60.84,6320077
2017-11-08 16:00:00,61.0,62.97,60.86,62.82,4624456
2017-11-09 16:00:00,62.69,63.42,62.485,63.28,4600699
2017-11-10 16:00:00,63.04,65.19,62.91,64.7,6215498
2017-11-13 16:00:00,64.6,65.0,63.62,63.76,3419122
2017-11-14 16:00:00,63.75,65.25,63.6,65.18,4270135
2017-11-15 16:00:00,65.0,65.06,63.0,63.74,4553501
2017-11-16 16:00:00,64.05,65.34,63.88,65.28,2948829
2017-11-17 16:00:00,64.98,65.84,64.93,65.36,4617495
2017-11-20 16:00:00,65.28,66.22,65.25,65.56,4112934
2017-11-21 16:00:00,65.27,65.27,64.07,64.35,3875627
2017-11-22 16:00:00,64.94,64.94,64.16,64.71,1771319
2017-11-24 13:00:00,64.96,65.03,64.5,64.93,797500
2017-11-27 16:00:00,64.9,65.34,64.4,65.07,1877952
2017-11-28 16:00:00,65.23,65.96,64.78,65.94,2060681
2017-11-29 16:00:00,65.59,67.74,65.59,66.8,3235385
2017-11-30 16:00:00,66.79,67.225,65.74,66.16,4505857
2017-12-01 16:00:00,66.02,66.53,65.09,65.99,3329835
2017-12-04 16:00:00,66.15,67.72,65.97,67.54,4200559
2017-12-05 16:00:00,67.65,68.29,67.28,67.97,4446173
2017-12-06 16:00:00,67.97,68.29,67.635,68.13,1890699
2017-12-07 16:00:00,68.0,68.13,67.24,67.27,1758892
2017-12-08 16:00:00,67.07,67.23,66.36,66.53,2361225
2017-12-11 16:00:00,66.46,66.625,66.03,66.55,1767436
2017-12-12 16:00:00,65.95,66.62,65.93,65.95,2145728
2017-12-13 16:00:00,66.22,66.32,65.79,65.83,3051268
