,Open,High,Low,Close,Volume
2017-10-25 16:00:00,18.66,18.755,18.14,18.49,5631469
2017-10-26 16:00:00,18.5,18.75,17.775,18.33,7425953
2017-10-27 16:00:00,18.16,18.36,17.76,18.36,4537909
2017-10-30 16:00:00,18.34,18.48,18.205,18.43,3431820
2017-10-31 16:00:00,18.43,18.43,17.76,18.16,5938921
2017-11-01 16:00:00,18.22,18.73,18.12,18.55,4479287
2017-11-02 16:00:00,18.69,19.11,18.63,18.96,4950688
2017-11-03 16:00:00,18.85,18.98,18.51,18.57,4446933
2017-11-06 16:00:00,18.36,18.87,18.35,18.62,3173263
2017-11-07 16:00:00,18.66,19.07,18.64,18.82,4657433
2017-11-08 16:00:00,18.78,19.29,18.78,18.93,3299138
2017-11-09 16:00:00,18.84,19.36,18.805,19.07,4627088
2017-11-10 16:00:00,18.96,19.28,18.96,19.15,3425325
2017-11-13 16:00:00,19.19,19.47,18.86,18.95,2493757
2017-11-14 16:00:00,18.96,19.15,18.65,18.92,3586513
2017-11-15 16:00:00,18.89,19.22,18.8,19.1,2516449
2017-11-16 16:00:00,19.02,19.38,18.94,19.3,2539963
2017-11-17 16:00:00,19.31,19.53,19.29,19.35,4279155
2017-11-20 16:00:00,19.36,19.37,18.94,18.99,2786538
2017-11-21 16:00:00,19.01,19.01,18.67,18.74,7392048
2017-11-22 16:00:00,18.71,19.0,18.67,18.78,4784072
2017-11-24 13:00:00,18.82,18.87,18.7,18.8,1305410
