,Open,High,Low,Close,Volume
2017-10-25 16:00:00,112.29,113.05,111.43,112.4,3326573
2017-10-26 16:00:00,113.04,114.4,113.02,113.59,2142898
2017-10-27 16:00:00,112.98,113.14,111.49,112.41,2461298
2017-10-30 16:00:00,111.82,112.5,111.07,111.27,1923974
2017-10-31 16:00:00,111.52,112.8407,111.08,112.51,2298970
2017-11-01 16:00:00,111.9,113.46,111.1,112.05,2595824
2017-11-02 16:00:00,112.06,112.46,110.515,111.55,2148628
2017-11-03 16:00:00,111.5,112.3,110.6,110.79,1900439
2017-11-06 16:00:00,111.14,111.14,109.69,109.87,1983514
2017-11-07 16:00:00,109.9,112.135,109.67,111.93,2205849
2017-11-08 16:00:00,112.57,114.4,112.57,113.23,2005313
2017-11-09 16:00:00,112.92,114.12,112.75,113.29,1572442
2017-11-10 16:00:00,113.06,114.46,113.04,114.14,1690839
2017-11-13 16:00:00,113.92,115.62,113.92,115.41,1751626
2017-11-14 16:00:00,115.11,115.48,114.04,114.55,1881498
2017-11-15 16:00:00,114.52,115.0,113.29,113.43,1753350
2017-11-16 16:00:00,113.81,115.33,113.63,114.9,1454037
2017-11-17 16:00:00,114.14,115.36,113.87,114.32,1488033
2017-11-20 16:00:00,114.65,115.74,114.22,115.35,2127722
2017-11-21 16:00:00,115.82,117.93,115.58,117.0,3337461
2017-11-22 16:00:00,116.54,117.0225,115.67,116.05,1482690
2017-11-24 13:00:00,116.33,117.0676,116.08,116.48,1013034
