,Open,High,Low,Close,Volume
2017-09-14 16:00:00,19.38,19.58,19.32,19.34,7746436
2017-09-15 16:00:00,19.4,19.41,19.23,19.36,9389560
2017-09-18 16:00:00,19.36,19.48,19.28,19.39,8201304
2017-09-19 16:00:00,19.44,19.6,19.36,19.56,7370833
2017-09-20 16:00:00,19.6,19.85,19.56,19.77,11068704
2017-09-21 16:00:00,19.75,19.75,19.23,19.32,9822515
2017-09-22 16:00:00,19.29,19.365,19.12,19.27,7744187
2017-09-25 16:00:00,19.36,19.75,19.29,19.69,9568877
2017-09-26 16:00:00,19.61,19.67,19.45,19.52,8493856
2017-09-27 16:00:00,19.53,19.535,19.24,19.33,6784466
2017-09-28 16:00:00,19.29,19.31,19.16,19.31,8348992
2017-09-29 16:00:00,19.28,19.35,19.11,19.18,8608119
2017-10-02 16:00:00,19.06,19.15,18.96,19.1,9306097
2017-10-03 16:00:00,19.1,19.1146,18.85,18.85,12888499
2017-10-04 16:00:00,18.85,18.91,18.67,18.82,10162858
2017-10-05 16:00:00,18.85,19.13,18.82,19.1,11233870
2017-10-06 16:00:00,18.95,19.06,18.795,19.02,10325037
2017-10-09 16:00:00,19.02,19.17,19.0,19.03,5475360
2017-10-10 16:00:00,19.1,19.15,18.94,18.95,7105756
2017-10-11 16:00:00,18.98,19.04,18.96,19.0,580018
2017-10-12 16:00:00,18.92,19.0,18.79,18.88,7513859
2017-10-13 16:00:00,19.0,19.005,18.75,18.76,7515689
2017-10-16 16:00:00,18.91,18.94,18.74,18.81,7374783
2017-10-17 16:00:00,18.64,18.75,18.53,18.68,13074780
2017-10-18 16:00:00,18.62,18.74,18.47,18.58,18359242
2017-10-19 16:00:00,18.51,18.77,18.42,18.65,16578722
2017-10-20 16:00:00,18.75,18.76,18.38,18.42,10159715
2017-10-23 16:00:00,18.36,18.4,18.04,18.12,14055093
2017-10-24 16:00:00,18.17,18.31,18.045,18.27,18149340
2017-10-25 16:00:00,18.19,18.29,17.84,17.96,17815336
2017-10-26 16:00:00,18.01,18.11,17.87,18.0,14522506
2017-10-27 16:00:00,17.9,18.305,17.821,18.03,17199946
2017-10-30 16:00:00,17.97,18.25,17.92,18.1,10822293
2017-10-31 16:00:00,18.07,18.15,17.91,18.11,14474456
2017-11-01 16:00:00,18.25,18.38,18.05,18.13,10526296
2017-11-02 16:00:00,18.07,18.12,17.73,17.8,12594890
2017-11-03 16:00:00,17.8,17.84,17.59,17.74,13227381
2017-11-06 16:00:00,17.81,18.13,17.8,18.08,12685266
2017-11-07 16:00:00,18.12,18.205,17.96,18.04,9192759
2017-11-08 16:00:00,18.01,18.0868,17.905,18.0,10239456
2017-11-09 16:00:00,17.9,18.03,17.82,17.91,10060314
2017-11-10 16:00:00,17.86,17.9,17.65,17.67,9152133
2017-11-13 16:00:00,17.64,17.69,17.41,17.46,9465183
2017-11-14 16:00:00,17.42,17.54,17.27,17.43,15039849
2017-11-15 16:00:00,17.25,17.3,17.0,17.03,18971842
2017-11-16 16:00:00,17.05,17.1,16.81,16.83,15395940
2017-11-17 16:00:00,16.83,17.03,16.7,17.01,12236931
2017-11-20 16:00:00,16.98,17.17,16.93,17.06,9987619
2017-11-21 16:00:00,17.15,17.17,16.81,16.87,10450287
2017-11-22 16:00:00,16.92,17.2,16.92,17.1,9398540
2017-11-24 13:00:00,17.18,17.385,17.16,17.19,5146138
2017-11-27 16:00:00,17.15,17.17,16.84,16.96,11961856
2017-11-28 16:00:00,17.0,17.2,16.92,17.03,16091923
2017-11-29 16:00:00,17.0,17.08,16.68,16.76,21742557
2017-11-30 16:00:00,16.77,17.26,16.77,17.23,28363262
2017-12-01 16:00:00,17.3,17.45,17.19,17.41,15082283
2017-12-04 16:00:00,17.4,17.5,17.24,17.25,16108310
2017-12-05 16:00:00,17.13,17.35,17.07,17.14,13974212
2017-12-06 16:00:00,17.09,17.24,16.89,17.11,15331070
2017-12-07 16:00:00,17.11,17.44,17.0599,17.36,17648880
2017-12-08 16:00:00,17.42,17.85,17.38,17.79,21169498
2017-12-11 16:00:00,17.76,18.12,17.75,17.96,14200191
2017-12-12 16:00:00,17.75,18.025,17.72,17.75,13881156
2017-12-13 16:00:00,17.76,17.93,17.73,17.85,13765167
