,Open,High,Low,Close,Volume
2017-10-25 16:00:00,74.47,74.64,73.525,74.17,1487196
2017-10-26 16:00:00,74.26,74.91,73.891,74.86,1319743
2017-10-27 16:00:00,74.64,74.64,73.65,74.36,1128506
2017-10-30 16:00:00,74.16,75.14,74.16,74.95,847122
2017-10-31 16:00:00,75.0,76.04,74.82,75.1,1135762
2017-11-01 16:00:00,75.3,75.505,74.16,74.46,1035302
2017-11-02 16:00:00,74.78,76.88,74.69,75.98,1270781
2017-11-03 16:00:00,75.98,76.14,75.07,75.19,699156
2017-11-06 16:00:00,75.3,75.79,74.86,74.91,720078
2017-11-07 16:00:00,74.73,74.9,72.92,73.42,1600286
2017-11-08 16:00:00,73.11,73.8,72.82,73.44,1357853
2017-11-09 16:00:00,72.96,73.35,71.8,72.18,1453482
2017-11-10 16:00:00,72.0,73.27,71.93,72.68,1336660
2017-11-13 16:00:00,72.66,73.02,72.21,72.35,1337530
2017-11-14 16:00:00,71.73,72.41,70.79,70.94,2539484
2017-11-15 16:00:00,70.46,71.32,69.75,70.72,2152405
2017-11-16 16:00:00,70.81,71.285,70.32,70.55,1643182
2017-11-17 16:00:00,69.08,69.93,68.66,69.45,2627179
2017-11-20 16:00:00,69.55,69.75,69.37,69.62,2879429
2017-11-21 16:00:00,69.67,69.67,68.46,68.75,2362284
2017-11-22 16:00:00,68.68,69.32,67.59,67.99,4742335
2017-11-24 13:00:00,68.24,68.7999,67.75,68.05,1226091
