,Open,High,Low,Close,Volume
2017-09-14 16:00:00,21.75,21.87,21.16,21.26,11905706
2017-09-15 16:00:00,21.28,21.61,21.24,21.57,15154036
2017-09-18 16:00:00,21.52,21.675,21.335,21.44,8370498
2017-09-19 16:00:00,21.49,21.59,21.08,21.13,9687599
2017-09-20 16:00:00,21.08,21.1425,20.75,20.8,13242476
2017-09-21 16:00:00,20.83,20.85,20.22,20.22,20307646
2017-09-22 16:00:00,20.26,20.44,20.04,20.15,14232972
2017-09-25 16:00:00,20.05,20.24,19.885,19.94,16857864
2017-09-26 16:00:00,19.95,20.36,19.95,20.19,22762354
2017-09-27 16:00:00,20.36,20.57,20.13,20.23,12445354
2017-09-28 16:00:00,20.19,20.52,20.15,20.26,12922656
2017-09-29 16:00:00,20.33,20.41,20.04,20.06,12285719
2017-10-02 16:00:00,20.04,20.23,19.69,19.96,18788343
2017-10-03 16:00:00,20.02,20.73,20.0,20.56,25519351
2017-10-04 16:00:00,20.56,20.77,20.43,20.53,16921886
2017-10-05 16:00:00,20.48,20.955,20.48,20.7,18826650
2017-10-06 16:00:00,20.51,20.75,20.39,20.63,21257570
2017-10-09 16:00:00,20.75,20.82,20.21,20.29,16952291
2017-10-10 16:00:00,20.36,20.68,19.99,20.53,20709643
2017-10-11 16:00:00,21.5,21.9,21.3,21.715,8099725
2017-10-12 16:00:00,20.77,21.36,20.53,21.0,20201961
2017-10-13 16:00:00,21.16,21.56,20.83,21.3,16914749
2017-10-16 16:00:00,21.29,21.3,20.39,20.44,21368438
2017-10-17 16:00:00,20.41,20.67,20.25,20.48,16759023
2017-10-18 16:00:00,20.53,20.76,20.45,20.67,11931270
2017-10-19 16:00:00,20.63,20.96,20.59,20.89,10713896
2017-10-20 16:00:00,20.96,21.05,20.715,21.02,14104769
2017-10-23 16:00:00,21.04,21.61,20.96,21.35,17999274
2017-10-24 16:00:00,21.34,21.57,21.32,21.47,16429459
2017-10-25 16:00:00,21.46,21.55,21.04,21.13,13845148
2017-10-26 16:00:00,21.25,21.35,20.635,20.82,8778048
2017-10-27 16:00:00,20.6,20.715,20.36,20.57,13210348
2017-10-30 16:00:00,20.41,20.77,20.41,20.64,7202336
2017-10-31 16:00:00,20.7,20.81,20.56,20.7,9003941
2017-11-01 16:00:00,20.76,21.29,20.76,20.9,9975186
2017-11-02 16:00:00,21.31,21.36,20.735,21.18,13979493
2017-11-03 16:00:00,21.3,21.78,21.22,21.5,11235313
2017-11-06 16:00:00,21.7,21.76,21.31,21.33,10996319
2017-11-07 16:00:00,21.4,21.44,21.15,21.31,8983801
2017-11-08 16:00:00,21.31,21.89,21.27,21.85,8955086
2017-11-09 16:00:00,21.81,22.095,21.77,21.95,10807720
2017-11-10 16:00:00,21.98,22.39,21.95,22.08,8591395
2017-11-13 16:00:00,22.0,22.25,21.98,22.14,8041461
2017-11-14 16:00:00,22.0,22.07,21.53,22.02,10357969
2017-11-15 16:00:00,21.49,22.2,21.25,21.61,11638535
2017-11-16 16:00:00,21.81,22.44,21.75,22.28,15694898
2017-11-17 16:00:00,22.33,23.47,22.27,23.41,19798675
2017-11-20 16:00:00,23.08,23.52,22.92,23.2,16452965
2017-11-21 16:00:00,23.24,23.31,22.7,22.78,9436295
2017-11-22 16:00:00,22.87,23.27,22.821,23.14,9755628
2017-11-24 13:00:00,23.25,23.43,22.945,22.98,3379880
2017-11-27 16:00:00,23.0,23.33,22.95,23.18,9671603
2017-11-28 16:00:00,23.2,23.61,23.04,23.56,9464631
2017-11-29 16:00:00,23.65,24.4,23.62,24.38,20966468
2017-11-30 16:00:00,27.32,27.7,25.53,25.86,64064413
2017-12-01 16:00:00,25.62,25.96,25.2,25.67,20546412
2017-12-04 16:00:00,26.0,26.985,25.99,26.88,18123049
2017-12-05 16:00:00,26.91,27.0,26.12,26.22,11321569
2017-12-06 16:00:00,26.475,26.56,26.23,26.41,8174251
2017-12-07 16:00:00,26.46,26.68,26.37,26.53,6903514
2017-12-08 16:00:00,26.68,26.8034,26.48,26.68,6171507
2017-12-11 16:00:00,26.8,26.96,26.35,26.58,6914764
2017-12-12 16:00:00,26.33,26.965,26.2834,26.33,7762686
2017-12-13 16:00:00,26.36,26.89,26.04,26.69,10837918
