,Open,High,Low,Close,Volume
2017-10-25 16:00:00,43.94,44.195,43.54,43.79,3097829
2017-10-26 16:00:00,43.99,44.9,43.6,44.64,4536255
2017-10-27 16:00:00,42.62,43.0,42.15,42.58,6194237
2017-10-30 16:00:00,42.36,42.75,41.25,41.5,4064416
2017-10-31 16:00:00,41.37,42.24,41.3,41.76,3574428
2017-11-01 16:00:00,41.95,42.81,41.52,41.9,2970703
2017-11-02 16:00:00,42.5,42.5,41.56,42.24,3327414
2017-11-03 16:00:00,42.3,42.98,41.87,42.03,4864169
2017-11-06 16:00:00,42.15,42.83,41.65,42.62,3691326
2017-11-07 16:00:00,42.54,42.59,40.32,40.69,6736179
2017-11-08 16:00:00,40.87,41.62,40.42,40.79,5923212
2017-11-09 16:00:00,38.25,41.68,37.97,41.17,24189893
2017-11-10 16:00:00,41.79,43.14,41.71,43.04,7091659
2017-11-13 16:00:00,42.89,43.28,40.9,41.18,4955535
2017-11-14 16:00:00,40.94,42.21,40.94,42.2,3312527
2017-11-15 16:00:00,41.69,42.59,41.36,42.27,3493265
2017-11-16 16:00:00,42.56,42.64,41.81,42.25,2499698
2017-11-17 16:00:00,42.99,43.94,42.81,43.72,4185421
2017-11-20 16:00:00,43.67,44.45,43.31,44.32,3200924
2017-11-21 16:00:00,44.32,44.4,43.68,44.21,3021466
2017-11-22 16:00:00,44.29,45.19,44.08,44.63,2709710
2017-11-24 13:00:00,45.15,45.89,44.99,45.09,2063293
