,Open,High,Low,Close,Volume
2017-09-14 16:00:00,105.53,106.62,105.0,106.31,619790
2017-09-15 16:00:00,106.11,107.26,105.93,107.26,1169503
2017-09-18 16:00:00,107.26,107.47,106.0462,106.28,522768
2017-09-19 16:00:00,106.29,106.76,105.98,106.36,625604
2017-09-20 16:00:00,106.35,107.66,106.35,107.52,484954
2017-09-21 16:00:00,107.53,108.24,106.92,107.91,544442
2017-09-22 16:00:00,107.89,108.01,107.26,107.74,392248
2017-09-25 16:00:00,107.75,108.355,107.38,107.62,722844
2017-09-26 16:00:00,107.84,108.0475,106.93,107.51,555809
2017-09-27 16:00:00,107.51,108.43,107.25,108.22,565917
2017-09-28 16:00:00,108.09,108.44,107.9,108.19,692435
2017-09-29 16:00:00,107.97,108.85,107.65,108.68,515334
2017-10-02 16:00:00,108.27,108.5,106.3,107.04,1317268
2017-10-03 16:00:00,106.9,107.36,106.65,106.8,1290035
2017-10-04 16:00:00,106.62,107.39,106.1301,107.02,634176
2017-10-05 16:00:00,106.71,107.72,106.48,107.41,699807
2017-10-06 16:00:00,106.52,107.33,103.21,103.74,2136739
2017-10-09 16:00:00,103.75,104.34,103.69,104.16,533422
2017-10-10 16:00:00,105.97,105.99,104.06,104.79,695643
2017-10-11 16:00:00,104.68,105.06,104.52,104.52,32551
2017-10-12 16:00:00,104.9,105.98,104.9,105.46,1033502
2017-10-13 16:00:00,105.69,105.845,103.99,104.17,825720
2017-10-16 16:00:00,104.35,104.555,101.82,101.9,1364937
2017-10-17 16:00:00,101.25,101.7,99.7,101.47,2083529
2017-10-18 16:00:00,101.79,103.54,101.48,102.81,1805406
2017-10-19 16:00:00,102.51,103.8,101.31,103.78,1453935
2017-10-20 16:00:00,106.12,107.28,104.43,105.19,1734623
2017-10-23 16:00:00,106.57,107.69,105.53,106.01,1304845
2017-10-24 16:00:00,106.28,106.76,103.59,104.11,1392578
2017-10-25 16:00:00,104.73,104.73,102.03,102.2,1218817
2017-10-26 16:00:00,102.67,105.24,102.0,104.68,918080
2017-10-27 16:00:00,104.68,105.24,103.42,104.26,775111
2017-10-30 16:00:00,103.93,105.42,103.81,104.97,990441
2017-10-31 16:00:00,105.05,105.05,103.2601,104.22,1086507
2017-11-01 16:00:00,104.77,105.72,104.46,105.46,952870
2017-11-02 16:00:00,105.67,106.13,105.11,105.75,870523
2017-11-03 16:00:00,105.75,106.745,104.84,104.86,1498873
2017-11-06 16:00:00,104.86,106.14,104.3106,105.99,943646
2017-11-07 16:00:00,105.93,106.9,105.2403,106.06,787626
2017-11-08 16:00:00,105.88,106.11,104.72,105.74,605991
2017-11-09 16:00:00,105.26,106.36,104.25,105.25,854660
2017-11-10 16:00:00,104.87,105.24,103.84,104.8,628986
2017-11-13 16:00:00,104.55,105.19,103.82,105.12,691866
2017-11-14 16:00:00,104.5,104.81,104.0,104.25,624771
2017-11-15 16:00:00,104.04,104.04,102.11,102.17,822292
2017-11-16 16:00:00,102.6,104.05,102.17,103.52,629090
2017-11-17 16:00:00,102.9,103.53,102.03,102.67,451427
2017-11-20 16:00:00,102.93,103.82,102.18,103.79,691013
2017-11-21 16:00:00,103.94,105.43,103.53,104.94,700330
2017-11-22 16:00:00,105.15,106.38,104.94,105.95,487559
2017-11-24 13:00:00,106.55,107.09,106.0,106.42,261447
2017-11-27 16:00:00,106.4,107.34,105.34,106.15,973986
2017-11-28 16:00:00,106.66,107.0663,105.655,106.87,991066
2017-11-29 16:00:00,107.32,110.99,107.12,110.12,1337437
2017-11-30 16:00:00,110.12,112.88,109.58,112.14,1506814
2017-12-01 16:00:00,112.42,112.42,109.331,110.39,1097725
2017-12-04 16:00:00,113.51,114.85,112.56,113.44,1533863
2017-12-05 16:00:00,114.0,114.0,111.24,112.09,1281309
2017-12-06 16:00:00,112.07,112.92,111.21,111.42,873341
2017-12-07 16:00:00,110.76,112.14,110.52,111.59,1694285
2017-12-08 16:00:00,112.36,112.74,111.46,111.74,804320
2017-12-11 16:00:00,111.56,111.805,110.22,110.63,1327624
2017-12-12 16:00:00,110.3,110.77,109.19,110.3,1056926
2017-12-13 16:00:00,110.16,111.69,109.945,110.96,957758
