,Open,High,Low,Close,Volume
2017-10-25 16:00:00,44.17,44.53,43.24,44.29,2230905
2017-10-26 16:00:00,43.48,44.77,43.2,44.23,3807717
2017-10-27 16:00:00,43.36,44.79,42.79,44.71,3823670
2017-10-30 16:00:00,44.43,44.43,42.54,42.83,6092591
2017-10-31 16:00:00,42.83,43.6,42.735,43.04,3848163
2017-11-01 16:00:00,43.46,44.39,42.535,43.61,5355223
2017-11-02 16:00:00,46.7,48.44,46.11,47.1,9628195
2017-11-03 16:00:00,47.0,47.41,46.26,46.72,5643074
2017-11-06 16:00:00,47.08,48.49,46.9,47.58,4223938
2017-11-07 16:00:00,47.64,48.23,46.3701,46.94,3724780
2017-11-08 16:00:00,46.87,47.53,46.5,47.38,2897584
2017-11-09 16:00:00,47.02,48.54,46.83,48.25,3650986
2017-11-10 16:00:00,48.21,50.19,48.12,49.66,4457756
2017-11-13 16:00:00,49.4,50.23,48.34,48.95,4324341
2017-11-14 16:00:00,48.3,49.31,48.3,49.27,2193293
2017-11-15 16:00:00,48.97,49.69,48.34,49.26,6355591
2017-11-16 16:00:00,46.65,49.34,46.65,49.12,6387204
2017-11-17 16:00:00,50.91,51.78,49.91,50.48,4732639
2017-11-20 16:00:00,50.52,50.86,49.185,50.06,3450001
2017-11-21 16:00:00,50.12,50.14,49.34,49.69,2794475
2017-11-22 16:00:00,49.28,49.62,48.79,48.8,2617699
2017-11-24 13:00:00,49.29,49.64,48.29,48.36,2075271
