,Open,High,Low,Close,Volume
2017-10-25 16:00:00,48.57,48.63,47.49,47.9,1079528
2017-10-26 16:00:00,48.34,48.41,47.79,48.23,1365758
2017-10-27 16:00:00,49.68,51.99,49.0,49.45,2676100
2017-10-30 16:00:00,48.5,48.78,47.135,47.2,2079551
2017-10-31 16:00:00,47.32,47.48,46.96,47.26,2797923
2017-11-01 16:00:00,47.15,47.53,46.0,46.5,1717092
2017-11-02 16:00:00,46.49,46.75,45.77,46.11,1056341
2017-11-03 16:00:00,46.0,46.44,45.91,46.0,698466
2017-11-06 16:00:00,46.03,46.23,45.81,45.86,719238
2017-11-07 16:00:00,46.02,46.09,45.6,45.94,790600
2017-11-08 16:00:00,45.89,46.06,45.38,45.72,796335
2017-11-09 16:00:00,45.33,45.91,45.21,45.88,773772
2017-11-10 16:00:00,45.79,46.15,45.79,45.94,688101
2017-11-13 16:00:00,45.96,46.1,45.41,45.81,741106
2017-11-14 16:00:00,45.5,45.77,45.03,45.57,1614100
2017-11-15 16:00:00,45.26,45.58,44.76,45.38,944471
2017-11-16 16:00:00,45.4,46.23,45.4,45.99,809239
2017-11-17 16:00:00,45.74,46.53,45.74,46.45,689515
2017-11-20 16:00:00,46.51,46.62,46.255,46.34,698267
2017-11-21 16:00:00,46.45,46.65,46.08,46.4,918321
2017-11-22 16:00:00,46.4,46.78,46.29,46.65,623721
2017-11-24 13:00:00,46.85,46.85,46.42,46.49,206632
