,Open,High,Low,Close,Volume
2017-10-25 16:00:00,58.59,58.96,57.84,57.94,3177340
2017-10-26 16:00:00,58.21,58.61,57.99,58.46,1687269
2017-10-27 16:00:00,58.44,58.64,57.88,58.01,1781965
2017-10-30 16:00:00,56.16,57.25,55.52,55.68,13277049
2017-10-31 16:00:00,55.84,56.0,54.91,55.67,8679009
2017-11-01 16:00:00,56.09,56.98,55.46,56.96,6869410
2017-11-02 16:00:00,57.02,57.12,54.9,55.1,6657435
2017-11-03 16:00:00,55.01,55.44,54.44,54.62,4466648
2017-11-06 16:00:00,55.83,56.26,54.55,56.14,3136948
2017-11-07 16:00:00,56.3,57.09,56.19,56.48,3111084
2017-11-08 16:00:00,56.28,58.57,55.86,58.56,5484176
2017-11-09 16:00:00,57.48,59.0692,57.19,58.93,7262275
2017-11-10 16:00:00,58.67,59.32,58.32,58.71,5263781
2017-11-13 16:00:00,58.36,58.69,58.02,58.22,3921703
2017-11-14 16:00:00,57.81,58.58,57.75,58.56,3250592
2017-11-15 16:00:00,58.27,58.48,57.74,58.02,2462978
2017-11-16 16:00:00,58.12,58.505,57.88,58.09,2942840
2017-11-17 16:00:00,57.92,59.1,57.81,58.89,3718195
2017-11-20 16:00:00,58.88,59.31,58.73,59.12,3729171
2017-11-21 16:00:00,59.52,60.86,59.32,60.53,3510694
2017-11-22 16:00:00,60.36,60.81,60.05,60.61,2669399
2017-11-24 13:00:00,60.74,61.35,60.69,61.02,1290840
