,Open,High,Low,Close,Volume
2017-09-14 16:00:00,35.44,35.63,35.3,35.61,1398254
2017-09-15 16:00:00,35.58,35.62,35.215,35.35,1565619
2017-09-18 16:00:00,35.47,35.5,35.17,35.23,1315495
2017-09-19 16:00:00,35.34,35.38,34.71,34.73,1073868
2017-09-20 16:00:00,34.76,35.21,34.7,35.12,1456308
2017-09-21 16:00:00,35.07,35.08,34.45,34.59,1362830
2017-09-22 16:00:00,34.61,34.97,34.48,34.91,1149201
2017-09-25 16:00:00,34.93,35.25,34.84,35.08,1299576
2017-09-26 16:00:00,34.99,35.45,34.98,35.0,1204720
2017-09-27 16:00:00,35.11,35.875,35.06,35.69,1311661
2017-09-28 16:00:00,35.59,35.78,35.0331,35.75,982161
2017-09-29 16:00:00,35.79,36.05,35.61,35.99,1099197
2017-10-02 16:00:00,36.08,36.32,35.82,36.26,1592944
2017-10-03 16:00:00,36.6,36.699,36.29,36.43,892046
2017-10-04 16:00:00,36.38,36.76,36.38,36.76,855731
2017-10-05 16:00:00,36.86,36.89,36.62,36.79,1292121
2017-10-06 16:00:00,36.68,36.99,36.675,36.88,991344
2017-10-09 16:00:00,36.86,36.98,36.54,36.63,809888
2017-10-10 16:00:00,36.64,36.85,36.59,36.74,1018869
2017-10-11 16:00:00,36.84,37.02,36.68,36.96,1010093
2017-10-12 16:00:00,36.88,37.19,36.59,37.17,1437236
2017-10-13 16:00:00,37.67,37.6768,37.23,37.27,1330976
2017-10-16 16:00:00,37.6,37.6,37.12,37.455,1370440
2017-10-17 16:00:00,37.41,37.533,37.25,37.41,858143
2017-10-18 16:00:00,37.5,37.7,37.38,37.54,1698863
2017-10-19 16:00:00,37.32,37.47,36.86,37.23,847427
2017-10-20 16:00:00,37.42,37.44,37.23,37.34,739604
2017-10-23 16:00:00,37.38,37.47,37.02,37.06,1029424
2017-10-24 16:00:00,37.26,37.38,36.99,37.1,1100122
2017-10-25 16:00:00,36.88,37.01,36.32,36.54,2061014
2017-10-26 16:00:00,36.58,37.4,35.78,37.1,3059423
2017-10-27 16:00:00,37.01,37.095,36.16,36.74,1362507
2017-10-30 16:00:00,36.61,36.66,36.26,36.52,1014678
2017-10-31 16:00:00,36.55,37.72,36.41,37.69,2472042
2017-11-01 16:00:00,37.88,38.16,37.27,37.42,4668798
2017-11-02 16:00:00,37.54,38.07,37.34,37.74,1508439
2017-11-03 16:00:00,36.61,37.91,36.61,37.71,1258314
2017-11-06 16:00:00,37.66,37.91,37.47,37.63,1313382
2017-11-07 16:00:00,37.99,37.99,36.94,36.97,1568982
2017-11-08 16:00:00,36.97,37.07,36.68,36.91,1377319
2017-11-09 16:00:00,36.76,36.965,36.49,36.93,914236
2017-11-10 16:00:00,36.77,37.195,36.64,37.16,760762
2017-11-13 16:00:00,37.02,37.24,36.85,37.22,1105400
2017-11-14 16:00:00,37.05,37.48,36.89,37.46,729400
2017-11-15 16:00:00,37.32,37.49,37.01,37.15,746889
2017-11-16 16:00:00,37.24,37.74,37.22,37.67,834858
2017-11-17 16:00:00,37.59,37.97,37.5,37.75,1556892
2017-11-20 16:00:00,37.82,37.95,37.7,37.79,821186
2017-11-21 16:00:00,37.93,38.01,37.5,37.75,1238858
2017-11-22 16:00:00,37.76,38.17,37.72,38.14,1206254
2017-11-24 13:00:00,38.34,38.49,37.895,38.05,326606
2017-11-27 16:00:00,38.21,38.49,38.0,38.38,1080207
2017-11-28 16:00:00,38.37,39.03,38.37,38.92,983738
2017-11-29 16:00:00,39.0,39.58,38.88,39.5,1500712
2017-11-30 16:00:00,39.61,39.63,38.8689,39.42,1584083
2017-12-01 16:00:00,39.53,39.94,38.85,39.32,1749107
2017-12-04 16:00:00,39.47,39.69,39.25,39.28,1214463
2017-12-05 16:00:00,39.58,39.67,38.965,39.24,1153805
2017-12-06 16:00:00,39.2,39.4624,39.08,39.32,1096063
2017-12-07 16:00:00,39.35,39.76,39.21,39.75,1467580
2017-12-08 16:00:00,39.83,40.26,39.71,40.22,1972178
2017-12-11 16:00:00,40.31,41.25,40.21,40.34,2622127
2017-12-12 16:00:00,40.79,41.42,40.44,40.59,2816345
2017-12-13 16:00:00,40.53,40.7,39.82,40.07,2894738
