,Open,High,Low,Close,Volume
2017-10-25 16:00:00,187.61,188.58,187.27,188.45,460867
2017-10-26 16:00:00,188.4,190.0,182.89,185.45,1005454
2017-10-27 16:00:00,186.01,191.21,186.01,189.1,584455
2017-10-30 16:00:00,189.32,189.82,187.44,187.77,420816
2017-10-31 16:00:00,187.97,189.48,186.86,187.18,559706
2017-11-01 16:00:00,187.8,188.17,185.28,185.55,485973
2017-11-02 16:00:00,185.5,188.5,185.5,187.56,665842
2017-11-03 16:00:00,187.15,187.6,185.96,186.52,525424
2017-11-06 16:00:00,186.08,186.965,185.92,186.4,510624
2017-11-07 16:00:00,186.41,187.9,185.57,186.1,503375
2017-11-08 16:00:00,185.8,187.7,185.64,187.05,477222
2017-11-09 16:00:00,186.17,186.9,184.61,184.76,365269
2017-11-10 16:00:00,184.41,185.48,184.02,184.22,354804
2017-11-13 16:00:00,183.95,185.5364,183.125,185.12,267194
2017-11-14 16:00:00,184.51,185.6,183.79,184.71,481007
2017-11-15 16:00:00,184.7,185.18,183.04,183.09,334063
2017-11-16 16:00:00,183.31,186.53,183.21,185.19,659738
2017-11-17 16:00:00,184.36,186.25,184.09,184.39,345146
2017-11-20 16:00:00,184.84,189.7,184.685,189.22,913373
2017-11-21 16:00:00,189.79,191.18,188.31,190.48,566066
2017-11-22 16:00:00,190.6,190.6,188.6296,189.2,388831
2017-11-24 13:00:00,189.83,190.99,189.32,190.02,201035
