,Open,High,Low,Close,Volume
2017-09-14 16:00:00,82.33,83.99,82.12,83.07,3370406
2017-09-15 16:00:00,83.3,83.57,82.18,82.44,5374504
2017-09-18 16:00:00,82.55,82.67,82.07,82.52,2200254
2017-09-19 16:00:00,82.64,82.84,81.5501,81.73,2259159
2017-09-20 16:00:00,82.06,82.42,81.39,82.02,2849924
2017-09-21 16:00:00,82.01,83.7,81.88,83.33,4426651
2017-09-22 16:00:00,83.34,84.03,82.74,83.91,3148723
2017-09-25 16:00:00,83.87,84.65,83.8,84.64,4223772
2017-09-26 16:00:00,84.43,85.13,84.01,84.22,2347234
2017-09-27 16:00:00,84.34,84.8,83.97,84.65,3071495
2017-09-28 16:00:00,84.59,85.58,84.15,85.0,2840987
2017-09-29 16:00:00,85.17,85.61,84.391,85.54,3506102
2017-10-02 16:00:00,85.78,86.68,85.7384,86.35,3071084
2017-10-03 16:00:00,86.24,86.56,85.93,86.45,2128845
2017-10-04 16:00:00,86.5,87.16,86.28,86.96,2317698
2017-10-05 16:00:00,86.77,89.09,86.39,87.65,5220964
2017-10-06 16:00:00,87.31,87.49,86.64,87.08,2297204
2017-10-09 16:00:00,87.14,87.28,86.46,87.05,1701368
2017-10-10 16:00:00,85.38,86.7,85.25,86.16,4943660
2017-10-11 16:00:00,86.35,86.66,86.17,86.25,327771
2017-10-12 16:00:00,86.1,86.45,85.91,86.43,1941143
2017-10-13 16:00:00,86.4,86.7,85.71,86.55,3027228
2017-10-16 16:00:00,86.48,86.735,85.78,85.95,3800680
2017-10-17 16:00:00,85.94,86.5,85.42,86.06,3643748
2017-10-18 16:00:00,86.33,86.56,85.52,85.73,4002151
2017-10-19 16:00:00,85.69,86.38,85.51,86.36,3233622
2017-10-20 16:00:00,86.52,87.38,86.33,87.23,3223192
2017-10-23 16:00:00,87.47,88.19,87.12,87.18,4909816
2017-10-24 16:00:00,87.42,88.33,83.75,85.17,8696104
2017-10-25 16:00:00,85.91,86.37,84.68,84.85,3916037
2017-10-26 16:00:00,84.67,85.11,83.83,84.16,3821119
2017-10-27 16:00:00,84.07,84.81,83.59,83.86,2892945
2017-10-30 16:00:00,83.76,83.76,82.43,82.65,4667838
2017-10-31 16:00:00,82.76,83.1,81.72,81.94,3853276
2017-11-01 16:00:00,82.17,83.82,82.0,82.89,3309260
2017-11-02 16:00:00,82.55,83.92,82.31,83.13,2716050
2017-11-03 16:00:00,82.71,83.59,82.66,83.51,1535373
2017-11-06 16:00:00,83.29,83.43,82.92,82.94,1861744
2017-11-07 16:00:00,83.04,83.415,82.77,83.28,2851917
2017-11-08 16:00:00,83.0,84.39,83.0,84.01,2329113
2017-11-09 16:00:00,83.82,84.26,83.63,83.99,2098634
2017-11-10 16:00:00,83.67,83.87,82.57,83.29,2692486
2017-11-13 16:00:00,83.33,83.33,82.53,82.86,2479441
2017-11-14 16:00:00,82.69,83.11,82.21,82.49,2685020
2017-11-15 16:00:00,82.51,83.14,81.42,82.19,1838054
2017-11-16 16:00:00,82.41,83.63,81.84,83.44,2599667
2017-11-17 16:00:00,83.0,83.48,82.8,82.89,4097811
2017-11-20 16:00:00,83.09,83.32,82.82,83.18,2205863
2017-11-21 16:00:00,83.65,84.53,83.37,83.51,3529945
2017-11-22 16:00:00,83.67,84.26,83.48,83.68,2230876
2017-11-24 13:00:00,83.87,84.17,83.58,84.03,817624
2017-11-27 16:00:00,84.15,85.25,84.03,84.81,2980900
2017-11-28 16:00:00,85.07,85.36,84.74,85.05,2659440
2017-11-29 16:00:00,84.79,85.24,84.45,84.96,2316034
2017-11-30 16:00:00,85.25,85.48,84.32,84.64,5002100
2017-12-01 16:00:00,84.98,85.41,84.18,85.32,2736331
2017-12-04 16:00:00,85.49,86.78,85.36,85.58,4228281
2017-12-05 16:00:00,85.59,86.58,85.21,86.06,3876786
2017-12-06 16:00:00,86.04,86.39,84.53,85.32,3130937
2017-12-07 16:00:00,85.21,85.87,84.65,85.87,4344910
2017-12-08 16:00:00,85.66,86.46,85.47,86.45,3777102
2017-12-11 16:00:00,86.61,86.84,86.07,86.67,3336804
2017-12-12 16:00:00,86.71,86.9,85.991,86.71,4252536
2017-12-13 16:00:00,86.41,89.0899,86.34,87.89,5786811
