,Open,High,Low,Close,Volume
2017-10-25 16:00:00,77.29,77.34,76.03,76.46,1306338
2017-10-26 16:00:00,76.63,77.36,76.63,76.99,1139086
2017-10-27 16:00:00,76.78,77.335,76.258,77.33,911673
2017-10-30 16:00:00,76.62,77.34,76.39,76.4,993032
2017-10-31 16:00:00,76.25,76.8,75.74,75.78,1466671
2017-11-01 16:00:00,76.02,76.75,74.66,75.56,1997889
2017-11-02 16:00:00,76.09,77.455,74.39,76.72,2085841
2017-11-03 16:00:00,76.03,76.72,75.4,75.64,1187817
2017-11-06 16:00:00,75.56,76.7,75.52,76.64,846067
2017-11-07 16:00:00,76.84,77.13,74.9403,75.4,1158171
2017-11-08 16:00:00,75.19,75.7,74.76,75.33,896502
2017-11-09 16:00:00,74.72,75.2,73.77,74.33,1058157
2017-11-10 16:00:00,74.43,75.05,73.32,73.49,1112173
2017-11-13 16:00:00,73.11,74.14,73.01,73.9,1060482
2017-11-14 16:00:00,73.26,73.51,72.76,73.44,1150065
2017-11-15 16:00:00,72.68,74.4,72.54,73.95,1484159
2017-11-16 16:00:00,74.58,74.97,73.57,74.01,1418682
2017-11-17 16:00:00,73.47,74.74,73.47,74.28,1100412
2017-11-20 16:00:00,74.55,74.83,74.0,74.18,1066348
2017-11-21 16:00:00,74.39,74.39,73.49,73.5,1130206
2017-11-22 16:00:00,73.56,74.0,73.38,73.59,704327
2017-11-24 13:00:00,73.95,73.95,73.12,73.14,574158
