,Open,High,Low,Close,Volume
2017-09-14 16:00:00,42.43,42.95,42.27,42.92,840705
2017-09-15 16:00:00,42.98,43.03,42.65,42.9,1954500
2017-09-18 16:00:00,42.89,42.91,42.15,42.49,1059532
2017-09-19 16:00:00,42.52,42.67,42.31,42.53,1605507
2017-09-20 16:00:00,42.67,42.71,41.99,42.15,1507796
2017-09-21 16:00:00,42.19,42.46,42.03,42.06,653364
2017-09-22 16:00:00,42.31,42.31,41.72,41.73,684369
2017-09-25 16:00:00,41.68,42.31,41.58,42.25,974972
2017-09-26 16:00:00,42.19,42.32,42.01,42.25,1091030
2017-09-27 16:00:00,42.02,42.17,41.3,41.58,1469281
2017-09-28 16:00:00,41.54,41.78,41.16,41.7,1295720
2017-09-29 16:00:00,41.63,41.77,41.43,41.57,1249016
2017-10-02 16:00:00,41.21,41.79,41.21,41.6,1419814
2017-10-03 16:00:00,41.55,41.57,41.05,41.38,1883671
2017-10-04 16:00:00,41.52,42.07,41.33,41.95,2053094
2017-10-05 16:00:00,41.97,42.04,41.77,41.9,2063802
2017-10-06 16:00:00,41.77,42.14,41.6,41.92,1453356
2017-10-09 16:00:00,42.0,42.18,41.9,41.99,1748714
2017-10-10 16:00:00,42.02,42.36,41.84,42.34,870510
2017-10-11 16:00:00,42.32,42.915,42.32,42.81,65017
2017-10-12 16:00:00,42.65,43.03,42.65,43.01,1483856
2017-10-13 16:00:00,43.09,43.46,42.93,43.05,1689981
2017-10-16 16:00:00,43.09,43.2,42.78,43.12,1061618
2017-10-17 16:00:00,43.05,43.45,42.98,43.44,985007
2017-10-18 16:00:00,43.32,43.45,43.13,43.38,1013979
2017-10-19 16:00:00,43.5,43.885,43.45,43.85,939937
2017-10-20 16:00:00,43.79,43.97,43.64,43.87,871606
2017-10-23 16:00:00,43.87,43.95,43.72,43.77,784209
2017-10-24 16:00:00,43.74,43.83,43.36,43.48,1167801
2017-10-25 16:00:00,43.39,43.43,42.72,43.25,1438783
2017-10-26 16:00:00,43.43,43.76,43.31,43.38,1020452
2017-10-27 16:00:00,43.31,43.79,43.2,43.75,914267
2017-10-30 16:00:00,43.36,43.64,43.08,43.18,1277772
2017-10-31 16:00:00,43.14,43.39,43.06,43.26,1404850
2017-11-01 16:00:00,43.24,43.35,42.9,43.07,1454699
2017-11-02 16:00:00,43.12,43.59,42.9808,43.06,2169151
2017-11-03 16:00:00,43.0,44.39,42.88,43.83,2344866
2017-11-06 16:00:00,43.78,43.92,43.53,43.59,1337235
2017-11-07 16:00:00,43.69,44.21,43.51,44.17,1063389
2017-11-08 16:00:00,44.07,44.29,43.69,44.07,1296319
2017-11-09 16:00:00,43.85,44.18,43.81,44.1,902533
2017-11-10 16:00:00,43.94,43.99,43.66,43.68,1485482
2017-11-13 16:00:00,43.69,44.31,43.69,44.3,1757823
2017-11-14 16:00:00,44.22,45.23,44.205,45.18,1523235
2017-11-15 16:00:00,45.3,45.55,44.64,44.71,1386030
2017-11-16 16:00:00,44.66,44.75,44.46,44.63,1204401
2017-11-17 16:00:00,44.51,44.71,44.1669,44.4,3561091
2017-11-20 16:00:00,44.43,44.49,44.125,44.26,1220337
2017-11-21 16:00:00,44.31,44.4,44.04,44.15,1290962
2017-11-22 16:00:00,44.13,44.33,44.01,44.19,949838
2017-11-24 13:00:00,44.22,44.41,44.15,44.22,339715
2017-11-27 16:00:00,44.33,44.64,44.11,44.61,934064
2017-11-28 16:00:00,44.67,44.85,44.3,44.78,959640
2017-11-29 16:00:00,44.75,45.31,44.63,44.9,1131360
2017-11-30 16:00:00,44.94,45.225,44.87,45.11,2355172
2017-12-01 16:00:00,45.26,45.38,44.525,44.83,1500238
2017-12-04 16:00:00,45.03,45.22,44.61,44.69,963898
2017-12-05 16:00:00,44.76,44.785,43.96,44.34,1260196
2017-12-06 16:00:00,44.38,44.685,44.3,44.54,1374812
2017-12-07 16:00:00,44.57,44.64,44.27,44.64,1081231
2017-12-08 16:00:00,44.53,44.95,44.41,44.94,752588
2017-12-11 16:00:00,44.89,45.1,44.5,45.08,922899
2017-12-12 16:00:00,44.01,44.99,44.0,44.01,983020
2017-12-13 16:00:00,44.24,44.59,44.02,44.29,1387936
