,Open,High,Low,Close,Volume
2017-09-14 16:00:00,170.84,174.37,170.29,172.58,1942248
2017-09-15 16:00:00,172.61,174.13,171.85,172.99,2691091
2017-09-18 16:00:00,174.41,178.18,173.95,177.31,2820005
2017-09-19 16:00:00,177.57,178.03,176.0,177.12,2147120
2017-09-20 16:00:00,177.41,177.64,170.4,173.02,2341879
2017-09-21 16:00:00,173.17,173.5445,170.13,172.28,2165677
2017-09-22 16:00:00,171.71,176.96,171.4,176.73,1582779
2017-09-25 16:00:00,176.0,176.0,170.0,170.17,2212987
2017-09-26 16:00:00,172.32,172.66,167.52,169.44,2549772
2017-09-27 16:00:00,175.1,180.625,173.055,179.39,3022728
2017-09-28 16:00:00,178.59,182.0789,177.69,181.82,2061667
2017-09-29 16:00:00,182.9,185.23,181.42,185.04,1789347
2017-10-02 16:00:00,185.04,187.57,183.4457,185.95,2101473
2017-10-03 16:00:00,186.51,186.7,182.8184,184.87,1482641
2017-10-04 16:00:00,183.97,185.27,182.1,185.02,2364630
2017-10-05 16:00:00,185.27,185.569,180.792,182.82,1589801
2017-10-06 16:00:00,182.58,185.03,182.36,184.83,1016805
2017-10-09 16:00:00,185.0,185.95,183.73,184.66,1113140
2017-10-10 16:00:00,186.13,186.35,181.95,184.9,1570843
2017-10-11 16:00:00,184.22,186.21,183.95,186.18,1627862
2017-10-12 16:00:00,186.11,189.11,186.11,186.99,2138747
2017-10-13 16:00:00,188.64,190.305,187.52,189.9,1557143
2017-10-16 16:00:00,191.0,193.85,190.34,192.36,2836340
2017-10-17 16:00:00,195.09,195.49,191.9,194.55,3836983
2017-10-18 16:00:00,197.08,200.9108,193.12,200.49,5396264
2017-10-19 16:00:00,198.39,201.0,194.93,200.98,3019452
2017-10-20 16:00:00,202.5,206.34,202.44,205.34,3105205
2017-10-23 16:00:00,206.22,208.41,204.05,205.89,2842628
2017-10-24 16:00:00,206.67,206.76,203.2701,205.84,1975592
2017-10-25 16:00:00,205.8,205.8,199.0,203.07,2662569
2017-10-26 16:00:00,204.7,208.65,204.28,206.78,1869202
2017-10-27 16:00:00,208.06,208.4,204.5,208.0,1984702
2017-10-30 16:00:00,206.87,208.2,204.5,206.2,1389609
2017-10-31 16:00:00,207.33,210.09,206.52,208.57,1646447
2017-11-01 16:00:00,210.45,210.45,200.5438,202.92,2806359
2017-11-02 16:00:00,203.0,207.02,201.51,206.82,2365764
2017-11-03 16:00:00,207.2,207.95,205.02,207.07,1883632
2017-11-06 16:00:00,207.57,207.87,204.4,206.67,2248804
2017-11-07 16:00:00,206.58,209.85,206.5,209.19,1360933
2017-11-08 16:00:00,209.2,211.41,206.88,211.24,1565032
2017-11-09 16:00:00,209.38,209.83,203.25,206.29,2125065
2017-11-10 16:00:00,205.86,207.65,204.5601,207.39,1715631
2017-11-13 16:00:00,205.37,209.37,204.56,209.23,1457631
2017-11-14 16:00:00,208.76,209.4,206.55,208.64,1005242
2017-11-15 16:00:00,210.0,210.85,206.05,207.86,2177795
2017-11-16 16:00:00,208.51,214.72,208.5001,213.22,2259486
2017-11-17 16:00:00,216.87,217.0,209.55,210.47,1960154
2017-11-20 16:00:00,211.72,216.21,211.55,215.1,1949387
2017-11-21 16:00:00,217.15,219.7,216.54,218.91,2149387
2017-11-22 16:00:00,219.2,219.5,214.24,215.17,1883727
2017-11-24 13:00:00,216.08,217.52,215.63,216.83,808728
2017-11-27 16:00:00,212.57,213.46,208.0,210.93,2732691
2017-11-28 16:00:00,211.63,215.39,209.73,213.14,2496619
2017-11-29 16:00:00,211.65,211.865,189.2601,194.64,7980992
2017-11-30 16:00:00,197.41,198.7336,191.31,192.33,5047672
2017-12-01 16:00:00,190.0,191.27,180.69,187.81,5659574
2017-12-04 16:00:00,189.69,189.84,179.5,180.74,5351766
2017-12-05 16:00:00,180.0,186.77,175.8,180.53,5164761
2017-12-06 16:00:00,179.05,184.32,177.5,184.23,3991602
2017-12-07 16:00:00,187.09,190.12,185.77,189.16,3334609
2017-12-08 16:00:00,191.25,193.0,186.03,186.46,3476281
2017-12-11 16:00:00,187.72,188.2,184.0,185.56,2803037
2017-12-12 16:00:00,184.55,185.37,181.14,181.57,2207180
2017-12-13 16:00:00,181.75,184.8222,181.28,181.31,3228685
