,Open,High,Low,Close,Volume
2017-10-25 16:00:00,25.77,25.78,25.07,25.44,1321044
2017-10-26 16:00:00,25.67,25.78,25.53,25.53,1166863
2017-10-27 16:00:00,25.38,25.77,25.01,25.76,1515822
2017-10-30 16:00:00,25.6,25.77,25.2,25.32,1051905
2017-10-31 16:00:00,25.3,25.59,25.18,25.3,1027131
2017-11-01 16:00:00,25.5,25.75,25.17,25.33,1054261
2017-11-02 16:00:00,25.27,25.49,25.01,25.45,1063576
2017-11-03 16:00:00,25.48,25.87,25.33,25.75,1323078
2017-11-06 16:00:00,25.78,26.05,25.64,25.98,1280146
2017-11-07 16:00:00,25.99,26.31,25.73,25.88,1425098
2017-11-08 16:00:00,25.78,26.04,25.61,26.03,1713747
2017-11-09 16:00:00,25.87,26.1,25.77,26.06,1110931
2017-11-10 16:00:00,26.03,26.15,25.66,25.66,903420
2017-11-13 16:00:00,25.49,25.69,25.27,25.65,1083367
2017-11-14 16:00:00,25.54,25.71,25.251,25.32,1073266
2017-11-15 16:00:00,25.15,25.38,24.96,25.27,1436715
2017-11-16 16:00:00,25.38,25.54,24.99,25.05,1916711
2017-11-17 16:00:00,24.94,25.315,24.92,25.13,1544105
2017-11-20 16:00:00,25.22,25.81,25.17,25.62,1761442
2017-11-21 16:00:00,25.69,25.97,25.63,25.67,1148822
2017-11-22 16:00:00,25.66,25.7,25.36,25.36,967527
2017-11-24 13:00:00,25.54,25.78,25.52,25.68,819539
