,Open,High,Low,Close,Volume
2017-09-14 16:00:00,54.48,54.83,54.1353,54.35,7722113
2017-09-15 16:00:00,54.44,54.75,53.81,54.72,14576105
2017-09-18 16:00:00,54.82,54.94,53.8534,54.09,6110739
2017-09-19 16:00:00,54.02,54.53,53.435,53.54,4664402
2017-09-20 16:00:00,53.91,54.28,53.43,54.25,4609053
2017-09-21 16:00:00,54.16,54.77,53.71,54.63,3276562
2017-09-22 16:00:00,54.64,55.03,54.2401,54.93,3053770
2017-09-25 16:00:00,54.84,55.2158,54.425,55.12,3498113
2017-09-26 16:00:00,55.39,55.96,55.1,55.72,4115803
2017-09-27 16:00:00,55.99,56.5611,55.37,55.88,6928007
2017-09-28 16:00:00,55.8,56.49,55.6,56.17,5718345
2017-09-29 16:00:00,56.21,56.65,55.87,55.98,3751346
2017-10-02 16:00:00,56.02,56.27,55.6,55.99,4316613
2017-10-03 16:00:00,55.94,58.555,55.8,58.51,7545001
2017-10-04 16:00:00,58.51,59.57,58.34,58.38,6477491
2017-10-05 16:00:00,58.5,58.5,57.82,58.29,3704234
2017-10-06 16:00:00,58.16,59.45,57.99,58.44,3984212
2017-10-09 16:00:00,58.5,58.84,57.39,57.66,3789057
2017-10-10 16:00:00,58.73,59.18,57.9,58.01,5023268
2017-10-11 16:00:00,58.01,58.72,58.01,58.53,483091
2017-10-12 16:00:00,58.78,59.4,58.59,58.81,3509897
2017-10-13 16:00:00,58.83,59.155,58.51,59.12,3138689
2017-10-16 16:00:00,58.95,59.18,58.49,58.88,4839954
2017-10-17 16:00:00,59.0,59.81,58.64,58.73,3673771
2017-10-18 16:00:00,58.72,58.9869,58.54,58.83,2580754
2017-10-19 16:00:00,58.45,59.09,57.45,58.63,5945450
2017-10-20 16:00:00,58.83,59.54,58.81,59.37,4905769
2017-10-23 16:00:00,59.5,59.89,58.57,58.76,4580235
2017-10-24 16:00:00,58.84,59.1,58.34,58.8,4289300
2017-10-25 16:00:00,58.82,58.82,56.46,57.16,10577600
2017-10-26 16:00:00,57.42,58.72,54.19,55.11,14331674
2017-10-27 16:00:00,55.13,55.53,53.54,54.11,8995849
2017-10-30 16:00:00,54.04,55.1,53.78,54.73,4518766
2017-10-31 16:00:00,54.66,54.66,53.83,53.86,4230349
2017-11-01 16:00:00,54.03,54.46,53.54,53.99,4230275
2017-11-02 16:00:00,54.0,54.09,53.45,53.99,3080692
2017-11-03 16:00:00,53.99,54.245,53.6075,54.14,3057635
2017-11-06 16:00:00,54.09,55.15,54.09,54.52,3693962
2017-11-07 16:00:00,54.6,54.6,53.8,53.87,3278013
2017-11-08 16:00:00,53.74,54.37,53.46,54.01,3093445
2017-11-09 16:00:00,53.72,54.1399,53.27,53.46,3896904
2017-11-10 16:00:00,53.4,53.74,53.24,53.49,2485915
2017-11-13 16:00:00,53.38,53.48,52.78,53.25,2982027
2017-11-14 16:00:00,52.96,53.85,52.92,53.75,3061323
2017-11-15 16:00:00,53.65,54.8,53.0,54.63,4895653
2017-11-16 16:00:00,55.02,55.5,54.65,55.27,4550302
2017-11-17 16:00:00,55.01,55.17,54.3,54.71,3104575
2017-11-20 16:00:00,54.85,54.92,54.2,54.65,4087448
2017-11-21 16:00:00,54.66,55.48,54.61,55.43,4025549
2017-11-22 16:00:00,55.28,55.55,54.92,55.09,3257975
2017-11-24 13:00:00,55.03,55.33,54.93,55.14,1374039
2017-11-27 16:00:00,55.14,55.23,54.49,54.6,3129130
2017-11-28 16:00:00,54.66,56.22,54.51,56.17,6663917
2017-11-29 16:00:00,56.55,59.65,56.51,58.88,9702563
2017-11-30 16:00:00,58.91,61.51,58.9,60.67,13382152
2017-12-01 16:00:00,60.51,61.64,59.51,59.92,6185509
2017-12-04 16:00:00,61.66,62.89,60.84,62.03,9064386
2017-12-05 16:00:00,62.2,62.3,61.22,61.72,4509003
2017-12-06 16:00:00,61.68,61.87,61.0,61.12,2886666
2017-12-07 16:00:00,60.9,63.08,60.66,63.02,5778817
2017-12-08 16:00:00,63.41,63.955,63.15,63.33,4377584
2017-12-11 16:00:00,63.48,63.73,62.92,63.32,4372054
2017-12-12 16:00:00,63.43,63.945,63.28,63.43,3218768
2017-12-13 16:00:00,63.7,63.72,63.02,63.14,4194119
