,Open,High,Low,Close,Volume
2017-09-14 16:00:00,22.29,22.33,21.85,22.0,8557214
2017-09-15 16:00:00,22.0,22.685,21.99,22.58,16286500
2017-09-18 16:00:00,22.58,22.73,22.09,22.1,8159955
2017-09-19 16:00:00,22.26,22.52,21.63,21.78,11802390
2017-09-20 16:00:00,21.69,21.69,21.32,21.48,9665564
2017-09-21 16:00:00,21.52,21.55,20.91,21.16,10284080
2017-09-22 16:00:00,21.18,21.65,21.18,21.53,7187059
2017-09-25 16:00:00,21.37,22.0758,21.36,21.81,6769390
2017-09-26 16:00:00,21.88,21.985,21.65,21.87,5342105
2017-09-27 16:00:00,21.88,22.22,21.73,22.14,6918834
2017-09-28 16:00:00,22.15,22.42,22.01,22.02,6800689
2017-09-29 16:00:00,22.06,22.34,21.76,21.82,7400534
2017-10-02 16:00:00,21.72,21.72,20.37,20.89,22638652
2017-10-03 16:00:00,20.99,21.06,20.48,21.05,10003797
2017-10-04 16:00:00,21.0,21.01,20.585,20.63,9526335
2017-10-05 16:00:00,20.64,21.27,20.54,21.03,9463790
2017-10-06 16:00:00,20.89,21.08,20.58,20.81,13235022
2017-10-09 16:00:00,20.98,20.99,20.32,20.35,12815477
2017-10-10 16:00:00,20.52,20.78,20.46,20.66,8440641
2017-10-11 16:00:00,20.65,20.66,20.51,20.5538,564961
2017-10-12 16:00:00,20.42,20.42,20.05,20.24,9618596
2017-10-13 16:00:00,20.31,20.5,20.1001,20.2,8414118
2017-10-16 16:00:00,20.02,20.05,19.46,19.89,21666687
2017-10-17 16:00:00,19.88,19.99,19.68,19.95,8497399
2017-10-18 16:00:00,20.0,20.33,19.93,20.15,6793376
2017-10-19 16:00:00,20.07,20.32,19.94,20.19,5317780
2017-10-20 16:00:00,20.39,21.23,20.37,21.17,13356122
2017-10-23 16:00:00,21.27,21.7854,21.27,21.33,12171911
2017-10-24 16:00:00,21.47,21.62,21.15,21.4,8563491
2017-10-25 16:00:00,21.35,21.53,21.13,21.24,8364703
2017-10-26 16:00:00,21.28,21.47,20.92,21.34,7825241
2017-10-27 16:00:00,20.36,20.5,19.6,19.69,25437159
2017-10-30 16:00:00,19.2418,19.59,18.62,18.84,24134224
2017-10-31 16:00:00,18.78,18.91,18.51,18.76,12870296
2017-11-01 16:00:00,18.85,19.62,18.7548,18.95,14932235
2017-11-02 16:00:00,19.08,19.345,18.75,18.78,11041651
2017-11-03 16:00:00,18.8,18.82,18.33,18.36,14959864
2017-11-06 16:00:00,18.32,18.36,17.94,18.16,14676504
2017-11-07 16:00:00,18.16,18.17,17.405,17.53,20434262
2017-11-08 16:00:00,17.51,17.93,17.42,17.57,19900157
2017-11-09 16:00:00,18.01,20.1,17.8,19.5,60766899
2017-11-10 16:00:00,19.51,20.4,19.5,19.98,28654541
2017-11-13 16:00:00,19.99,20.1,18.8,19.33,21387161
2017-11-14 16:00:00,19.15,19.73,19.09,19.7,10707200
2017-11-15 16:00:00,19.44,20.24,19.3332,19.98,15102064
2017-11-16 16:00:00,20.0,20.42,19.611,20.25,11564777
2017-11-17 16:00:00,20.68,20.94,20.235,20.35,14008138
2017-11-20 16:00:00,20.34,20.92,20.115,20.8,11268249
2017-11-21 16:00:00,20.81,20.82,20.35,20.42,10126402
2017-11-22 16:00:00,20.54,21.14,20.31,20.63,10326197
2017-11-24 13:00:00,21.3,21.65,21.01,21.07,12860843
2017-11-27 16:00:00,21.14,21.3617,20.6,21.21,16701516
2017-11-28 16:00:00,21.41,22.23,21.12,22.17,16163501
2017-11-29 16:00:00,22.28,24.19,22.23,23.98,30789807
2017-11-30 16:00:00,24.15,24.9,23.73,23.8,26021812
2017-12-01 16:00:00,23.84,24.4,23.39,24.19,14783061
2017-12-04 16:00:00,24.65,26.26,24.65,25.8,27017682
2017-12-05 16:00:00,25.8,25.84,24.76,25.22,16185571
2017-12-06 16:00:00,25.15,25.4,24.61,25.09,12347650
2017-12-07 16:00:00,25.53,25.9586,25.18,25.28,13003258
2017-12-08 16:00:00,25.8,25.84,24.83,25.8,13582075
2017-12-11 16:00:00,26.1,26.18,25.637,25.89,10524929
2017-12-12 16:00:00,25.69,26.365,25.67,25.69,9436107
2017-12-13 16:00:00,25.72,26.23,25.48,25.83,9430828
