,Open,High,Low,Close,Volume
2017-09-14 16:00:00,139.5,141.8,139.37,141.47,4179357
2017-09-15 16:00:00,142.32,142.69,139.81,141.58,6152491
2017-09-18 16:00:00,141.66,141.69,140.51,141.4,2843463
2017-09-19 16:00:00,141.93,143.59,141.87,142.49,4179040
2017-09-20 16:00:00,142.25,143.0719,141.42,142.24,2749706
2017-09-21 16:00:00,141.69,142.18,141.19,141.72,2835347
2017-09-22 16:00:00,141.5,142.4,141.5,141.89,1860351
2017-09-25 16:00:00,142.07,142.1,138.44,138.57,5541218
2017-09-26 16:00:00,139.02,139.38,137.75,138.37,3162640
2017-09-27 16:00:00,138.8,140.18,138.55,139.67,3710713
2017-09-28 16:00:00,139.44,140.21,138.84,140.2,2731952
2017-09-29 16:00:00,140.83,141.74,140.42,141.2,2603199
2017-10-02 16:00:00,141.9,142.93,141.47,141.82,2300684
2017-10-03 16:00:00,141.99,143.18,141.7,143.02,2514544
2017-10-04 16:00:00,142.73,143.0,141.32,142.09,3245735
2017-10-05 16:00:00,142.56,143.78,142.43,143.75,2723016
2017-10-06 16:00:00,143.5,143.78,142.77,143.52,3067386
2017-10-09 16:00:00,143.48,145.18,142.9,144.55,2557710
2017-10-10 16:00:00,144.78,146.37,144.78,145.65,2593440
2017-10-11 16:00:00,145.6,146.55,145.6,146.26,271137
2017-10-12 16:00:00,146.83,148.16,146.44,146.74,3226234
2017-10-13 16:00:00,147.51,148.45,147.29,147.34,2337347
2017-10-16 16:00:00,148.04,148.04,145.16,146.22,2590059
2017-10-17 16:00:00,146.33,146.46,145.53,145.93,3002445
2017-10-18 16:00:00,145.83,146.77,145.6001,146.19,2526345
2017-10-19 16:00:00,145.39,146.12,144.66,144.98,4169928
2017-10-20 16:00:00,145.63,145.73,144.57,145.38,3547286
2017-10-23 16:00:00,146.0,146.5,145.3,145.56,2514509
2017-10-24 16:00:00,146.19,146.49,145.35,145.8,2918359
2017-10-25 16:00:00,146.5,146.98,145.21,146.24,3439657
2017-10-26 16:00:00,147.0,147.365,146.35,146.59,2574878
2017-10-27 16:00:00,146.83,148.52,146.06,148.52,3491886
2017-10-30 16:00:00,151.3,151.48,148.58,148.95,6555734
2017-10-31 16:00:00,150.63,152.0,146.15,148.77,7613691
2017-11-01 16:00:00,149.95,151.49,148.78,148.89,4531690
2017-11-02 16:00:00,148.33,149.21,147.47,148.25,3883582
2017-11-03 16:00:00,148.41,149.36,147.71,149.29,2338707
2017-11-06 16:00:00,149.21,150.46,148.96,150.09,3142946
2017-11-07 16:00:00,150.31,150.475,148.92,149.97,2683446
2017-11-08 16:00:00,149.47,150.24,148.2,149.97,3786823
2017-11-09 16:00:00,149.27,149.87,147.59,149.29,2716816
2017-11-10 16:00:00,149.0,149.76,148.71,149.54,1795938
2017-11-13 16:00:00,148.76,150.2,148.74,149.69,1750469
2017-11-14 16:00:00,149.28,150.49,149.05,149.95,3062900
2017-11-15 16:00:00,149.37,149.51,148.1,148.33,3058093
2017-11-16 16:00:00,149.0,150.54,148.6,150.33,2715352
2017-11-17 16:00:00,149.33,149.52,148.28,149.02,3186417
2017-11-20 16:00:00,149.36,150.29,149.2261,149.56,2048695
2017-11-21 16:00:00,149.97,152.63,149.93,152.51,3998960
2017-11-22 16:00:00,152.41,152.55,150.95,151.25,2658577
2017-11-24 13:00:00,151.4,153.0,151.2,152.74,1577489
2017-11-27 16:00:00,153.07,153.94,152.72,152.97,3260192
2017-11-28 16:00:00,153.51,154.65,153.36,154.19,3874506
2017-11-29 16:00:00,154.35,154.47,145.28,148.35,7216992
2017-11-30 16:00:00,149.32,151.17,148.21,150.47,6943713
2017-12-01 16:00:00,150.4,150.99,147.35,149.69,3932964
2017-12-04 16:00:00,149.92,150.59,143.38,143.43,7490097
2017-12-05 16:00:00,143.7,146.32,140.61,145.13,6807147
2017-12-06 16:00:00,145.07,148.07,144.62,147.42,3751988
2017-12-07 16:00:00,147.51,150.41,147.51,149.45,3417928
2017-12-08 16:00:00,150.42,150.44,149.17,149.89,2521530
2017-12-11 16:00:00,150.22,151.25,150.1,150.88,3394826
2017-12-12 16:00:00,152.5,153.73,150.61,152.5,3360260
2017-12-13 16:00:00,152.5,153.44,151.66,151.69,3618746
