,Open,High,Low,Close,Volume
2017-09-14 16:00:00,106.34,106.96,105.65,106.39,3517535
2017-09-15 16:00:00,105.97,105.97,104.39,105.39,2790640
2017-09-18 16:00:00,105.77,106.48,105.45,105.54,2297007
2017-09-19 16:00:00,105.58,107.43,105.072,107.35,2148335
2017-09-20 16:00:00,107.3,108.24,106.84,107.69,3489445
2017-09-21 16:00:00,107.84,108.5,107.33,107.57,1911898
2017-09-22 16:00:00,107.18,108.07,107.0,107.88,1179138
2017-09-25 16:00:00,107.85,109.97,107.43,108.87,3713216
2017-09-26 16:00:00,109.07,109.65,107.96,108.07,2825731
2017-09-27 16:00:00,108.36,108.96,107.43,108.36,3518713
2017-09-28 16:00:00,108.15,110.06,107.96,110.0,1821601
2017-09-29 16:00:00,109.67,111.32,109.2,110.26,3558745
2017-10-02 16:00:00,110.35,111.46,109.7,110.53,1545494
2017-10-03 16:00:00,110.39,110.84,108.99,109.4,2224872
2017-10-04 16:00:00,109.25,109.54,108.31,108.82,2720428
2017-10-05 16:00:00,109.22,111.5,108.87,111.27,3459229
2017-10-06 16:00:00,111.24,111.77,110.74,111.76,1872486
2017-10-09 16:00:00,111.96,112.79,111.7,112.76,1309980
2017-10-10 16:00:00,112.88,114.11,112.46,114.08,1921419
2017-10-11 16:00:00,113.89,114.41,113.69,114.13,1338586
2017-10-12 16:00:00,114.07,114.87,113.65,114.46,1739112
2017-10-13 16:00:00,115.0,115.305,114.4,115.11,1690312
2017-10-16 16:00:00,115.0,115.4,113.815,114.75,4016200
2017-10-17 16:00:00,114.55,115.08,114.17,115.04,744002
2017-10-18 16:00:00,115.32,116.67,115.05,115.77,2472821
2017-10-19 16:00:00,115.35,115.41,114.54,115.2,1695186
2017-10-20 16:00:00,115.49,115.61,114.4,115.02,2545237
2017-10-23 16:00:00,115.06,115.52,114.71,115.31,1409337
2017-10-24 16:00:00,115.77,117.09,115.44,116.81,1703103
2017-10-25 16:00:00,116.11,117.04,115.57,116.33,2885591
2017-10-26 16:00:00,117.53,119.36,116.4,118.81,2637754
2017-10-27 16:00:00,117.41,119.425,117.27,118.87,2067384
2017-10-30 16:00:00,118.67,118.97,117.52,118.52,1841346
2017-10-31 16:00:00,118.62,119.91,118.32,119.48,1712807
2017-11-01 16:00:00,120.51,120.92,119.6,120.16,1381031
2017-11-02 16:00:00,120.44,121.253,119.02,119.64,3713451
2017-11-03 16:00:00,119.69,121.58,119.61,121.55,4043277
2017-11-06 16:00:00,121.34,123.03,120.85,121.98,2838685
2017-11-07 16:00:00,122.21,123.31,120.66,120.89,5253665
2017-11-08 16:00:00,121.0,124.34,119.19,119.98,6163025
2017-11-09 16:00:00,119.26,120.12,118.13,118.81,3317664
2017-11-10 16:00:00,119.04,120.87,118.01,120.11,3377034
2017-11-13 16:00:00,119.67,120.88,119.599,120.39,2387311
2017-11-14 16:00:00,120.08,123.1,119.95,123.06,2141797
2017-11-15 16:00:00,122.91,122.96,121.38,122.26,3043260
2017-11-16 16:00:00,121.94,124.42,121.5001,124.38,3493489
2017-11-17 16:00:00,123.98,125.64,123.77,125.48,4660679
2017-11-20 16:00:00,125.33,126.24,125.06,125.91,1937760
2017-11-21 16:00:00,126.33,128.37,126.33,127.62,3477970
2017-11-22 16:00:00,127.96,128.0,126.07,126.39,2323935
2017-11-24 13:00:00,126.51,127.1,126.38,126.5,729350
2017-11-27 16:00:00,126.33,127.37,126.33,126.93,2560256
2017-11-28 16:00:00,127.25,127.55,126.56,126.9,3065670
2017-11-29 16:00:00,127.25,127.43,125.61,126.49,2721723
2017-11-30 16:00:00,126.14,127.97,125.65,127.0,3102675
2017-12-01 16:00:00,126.03,127.34,124.45,126.86,2371086
2017-12-04 16:00:00,127.71,129.56,127.67,127.73,2128509
2017-12-05 16:00:00,127.92,129.47,127.38,127.53,2065942
2017-12-06 16:00:00,127.74,128.05,127.15,127.3,1698364
2017-12-07 16:00:00,127.21,127.98,126.9042,127.85,1464967
2017-12-08 16:00:00,128.41,129.99,128.39,129.32,4325149
2017-12-11 16:00:00,128.84,129.25,128.0,128.57,1432705
2017-12-12 16:00:00,128.6,129.02,127.93,128.76,1529245
2017-12-13 16:00:00,128.88,129.64,128.35,128.47,2119587
