,Open,High,Low,Close,Volume
2017-09-14 16:00:00,37.37,37.45,36.98,37.38,1704590
2017-09-15 16:00:00,37.27,37.5,37.13,37.31,2178802
2017-09-18 16:00:00,37.39,37.58,37.19,37.25,2000233
2017-09-19 16:00:00,37.29,37.48,37.24,37.39,2184258
2017-09-20 16:00:00,37.34,37.58,37.15,37.52,3552021
2017-09-21 16:00:00,37.54,37.75,37.285,37.72,1335407
2017-09-22 16:00:00,37.63,38.22,37.63,38.09,1711439
2017-09-25 16:00:00,38.07,38.295,37.935,38.21,1653561
2017-09-26 16:00:00,38.25,38.481,38.2,38.4,1668324
2017-09-27 16:00:00,38.44,38.73,38.24,38.57,1631033
2017-09-28 16:00:00,38.47,38.9,38.37,38.78,1369804
2017-09-29 16:00:00,38.75,39.12,38.75,39.01,1604965
2017-10-02 16:00:00,38.99,39.62,38.99,39.59,2292825
2017-10-03 16:00:00,39.46,39.5,38.82,39.21,2411710
2017-10-04 16:00:00,39.28,39.38,38.965,39.25,1932617
2017-10-05 16:00:00,39.28,39.34,38.91,38.98,2178355
2017-10-06 16:00:00,38.88,39.25,38.8,39.23,1755644
2017-10-09 16:00:00,39.23,39.31,38.89,38.94,2400273
2017-10-10 16:00:00,38.95,39.035,38.69,38.75,1806385
2017-10-11 16:00:00,38.87,38.94,38.8,38.86,82076
2017-10-12 16:00:00,38.81,39.08,38.73,39.04,2381804
2017-10-13 16:00:00,39.15,39.2,38.795,38.92,2096348
2017-10-16 16:00:00,38.99,39.09,38.71,38.96,1180111
2017-10-17 16:00:00,38.95,39.13,38.83,38.9,1547740
2017-10-18 16:00:00,38.97,39.1,38.64,38.66,1552386
2017-10-19 16:00:00,38.59,39.15,38.42,39.06,2587947
2017-10-20 16:00:00,39.2,40.11,39.17,40.09,3232459
2017-10-23 16:00:00,40.1,40.76,40.04,40.11,4450193
2017-10-24 16:00:00,39.82,41.1,39.47,40.83,4978516
2017-10-25 16:00:00,39.91,40.49,39.1,39.67,4213865
2017-10-26 16:00:00,39.96,40.31,39.92,40.11,3241628
2017-10-27 16:00:00,40.06,40.31,39.71,40.16,2408481
2017-10-30 16:00:00,40.04,40.31,39.45,39.49,1868233
2017-10-31 16:00:00,39.54,39.94,39.5,39.82,2683322
2017-11-01 16:00:00,40.02,40.02,39.11,39.37,1985308
2017-11-02 16:00:00,39.33,39.53,38.51,38.89,3178490
2017-11-03 16:00:00,38.91,39.505,38.9,39.02,2131804
2017-11-06 16:00:00,38.91,39.27,38.81,39.22,1402222
2017-11-07 16:00:00,39.23,39.53,38.97,39.08,1630015
2017-11-08 16:00:00,38.99,39.285,38.595,39.13,3395859
2017-11-09 16:00:00,38.84,39.0,38.34,38.62,1607360
2017-11-10 16:00:00,38.49,38.76,38.44,38.61,2038408
2017-11-13 16:00:00,38.48,39.015,38.48,38.89,2039043
2017-11-14 16:00:00,38.63,39.11,38.61,39.04,1665375
2017-11-15 16:00:00,38.78,39.08,38.52,38.81,2106381
2017-11-16 16:00:00,39.03,39.69,38.95,39.14,2129280
2017-11-17 16:00:00,38.99,39.62,38.87,39.36,1394765
2017-11-20 16:00:00,39.51,40.015,39.32,39.84,1849924
2017-11-21 16:00:00,39.95,40.08,39.75,40.01,1819950
2017-11-22 16:00:00,40.01,40.17,39.89,39.94,993715
2017-11-24 13:00:00,40.15,40.23,39.55,39.58,981869
2017-11-27 16:00:00,39.6,40.11,39.6,40.06,1701885
2017-11-28 16:00:00,40.14,41.01,40.08,40.93,3322694
2017-11-29 16:00:00,41.04,42.08,40.98,42.03,2895905
2017-11-30 16:00:00,42.14,43.09,42.14,42.91,4491283
2017-12-01 16:00:00,42.9,43.18,41.921,42.5,4231265
2017-12-04 16:00:00,43.02,43.79,42.84,43.3,3870470
2017-12-05 16:00:00,43.35,43.77,42.92,42.98,2942647
2017-12-06 16:00:00,42.24,43.05,42.12,42.15,3054301
2017-12-07 16:00:00,42.15,42.65,42.15,42.31,2805980
2017-12-08 16:00:00,42.56,42.72,42.26,42.72,3848494
2017-12-11 16:00:00,42.76,42.76,42.26,42.42,1749683
2017-12-12 16:00:00,42.19,42.66,42.16,42.19,2506373
2017-12-13 16:00:00,42.18,42.33,42.02,42.02,2653348
