,Open,High,Low,Close,Volume
2017-10-25 16:00:00,15.43,15.47,15.205,15.45,15612258
2017-10-26 16:00:00,15.46,15.62,15.29,15.37,16017764
2017-10-27 16:00:00,12.9,14.05,12.71,14.0,66440742
2017-10-30 16:00:00,13.87,15.68,13.74,15.58,37044402
2017-10-31 16:00:00,15.51,15.54,14.02,14.12,26014527
2017-11-01 16:00:00,14.18,14.34,13.54,13.55,14145191
2017-11-02 16:00:00,13.6,13.6,12.99,13.04,16249772
2017-11-03 16:00:00,13.17,13.29,12.95,13.12,12914824
2017-11-06 16:00:00,13.21,13.81,13.02,13.06,18258145
2017-11-07 16:00:00,13.01,13.18,12.94,13.06,7787562
2017-11-08 16:00:00,13.06,13.415,12.93,13.3,6871153
2017-11-09 16:00:00,13.24,14.335,13.24,13.93,11472888
2017-11-10 16:00:00,13.91,14.69,13.63,14.62,11129164
2017-11-13 16:00:00,17.9,18.04,17.27,17.64,49586436
2017-11-14 16:00:00,17.56,18.82,17.51,18.54,28173319
2017-11-15 16:00:00,18.4,18.86,17.775,18.32,13479951
2017-11-16 16:00:00,18.02,18.54,18.0,18.22,13334886
2017-11-17 16:00:00,18.18,18.805,18.11,18.68,10395992
2017-11-20 16:00:00,18.56,19.21,18.43,18.73,6352726
2017-11-21 16:00:00,18.74,18.75,18.205,18.53,5716645
2017-11-22 16:00:00,18.5,19.0,18.48,18.81,8135402
2017-11-24 13:00:00,18.98,18.98,18.43,18.51,2573172
