,Open,High,Low,Close,Volume
2017-09-14 16:00:00,157.0,157.35,156.05,157.0,3109655
2017-09-15 16:00:00,157.79,158.0,156.88,156.92,7425112
2017-09-18 16:00:00,157.72,157.79,156.35,156.68,3832243
2017-09-19 16:00:00,157.27,157.9,156.33,157.43,3554601
2017-09-20 16:00:00,157.9,159.89,157.765,159.88,3641093
2017-09-21 16:00:00,159.87,160.09,158.51,159.03,2503437
2017-09-22 16:00:00,158.88,159.74,158.56,158.91,2442658
2017-09-25 16:00:00,158.47,158.687,156.1,156.26,3661538
2017-09-26 16:00:00,156.25,156.84,153.27,153.35,6420043
2017-09-27 16:00:00,153.51,154.69,153.44,154.05,3892677
2017-09-28 16:00:00,156.16,158.31,155.48,157.49,4210238
2017-09-29 16:00:00,157.51,158.04,156.12,156.68,3670057
2017-10-02 16:00:00,156.0,157.18,155.8009,156.96,2406969
2017-10-03 16:00:00,156.75,157.459,156.36,156.86,2188429
2017-10-04 16:00:00,156.83,157.42,156.65,157.21,1823061
2017-10-05 16:00:00,157.3,158.92,157.3,158.8,2796033
2017-10-06 16:00:00,158.58,160.1342,158.58,159.6,3548478
2017-10-09 16:00:00,159.61,160.49,159.5,160.12,2120035
2017-10-10 16:00:00,159.69,161.58,159.59,160.58,2910445
2017-10-11 16:00:00,160.9,163.24,160.58,162.7278,648618
2017-10-12 16:00:00,162.99,164.4,162.77,163.91,3023607
2017-10-13 16:00:00,164.45,165.51,164.08,165.37,2957929
2017-10-16 16:00:00,165.44,165.74,164.44,165.01,2133063
2017-10-17 16:00:00,164.92,166.02,164.75,165.4,2379725
2017-10-18 16:00:00,165.29,166.25,163.89,165.77,2798259
2017-10-19 16:00:00,165.82,166.95,164.92,166.5,2478221
2017-10-20 16:00:00,167.23,167.9,165.5,166.3,5577713
2017-10-23 16:00:00,166.1,166.1,163.09,163.34,6214780
2017-10-24 16:00:00,165.26,166.485,163.59,163.88,7855167
2017-10-25 16:00:00,163.41,165.12,163.0,163.58,3716202
2017-10-26 16:00:00,164.14,164.65,163.75,164.01,2934412
2017-10-27 16:00:00,164.09,165.85,163.77,165.39,2298244
2017-10-30 16:00:00,165.0,166.56,164.665,166.23,2050964
2017-10-31 16:00:00,166.25,167.41,166.1295,166.91,2873004
2017-11-01 16:00:00,165.72,167.99,165.57,166.37,2186059
2017-11-02 16:00:00,166.99,168.47,166.5,168.1,2290972
2017-11-03 16:00:00,168.0,169.45,167.6008,168.65,1960340
2017-11-06 16:00:00,168.9,170.42,168.6,170.07,3088388
2017-11-07 16:00:00,170.1,170.82,169.52,170.77,2506006
2017-11-08 16:00:00,170.17,170.92,169.45,170.1,2605530
2017-11-09 16:00:00,168.72,169.2,166.1,167.0,4218989
2017-11-10 16:00:00,166.4,166.8,163.52,165.59,4226775
2017-11-13 16:00:00,165.47,167.95,165.08,167.37,2605607
2017-11-14 16:00:00,166.84,168.42,166.5701,168.11,2180883
2017-11-15 16:00:00,167.69,168.69,167.15,167.32,2019256
2017-11-16 16:00:00,167.68,168.89,167.53,168.09,2293402
2017-11-17 16:00:00,167.54,167.7001,166.16,166.72,2221422
2017-11-20 16:00:00,167.33,167.85,166.76,166.93,2442260
2017-11-21 16:00:00,167.55,169.26,167.51,168.3,2653109
2017-11-22 16:00:00,169.27,170.35,168.6692,169.05,2719456
2017-11-24 13:00:00,168.88,169.56,168.82,169.11,963233
2017-11-27 16:00:00,168.9,169.18,168.09,168.96,2082561
2017-11-28 16:00:00,169.23,171.38,169.04,171.34,2909928
2017-11-29 16:00:00,171.7,172.02,169.05,170.43,4590301
2017-11-30 16:00:00,170.24,173.17,169.34,171.97,6023705
2017-12-01 16:00:00,172.77,173.15,170.39,172.87,4279176
2017-12-04 16:00:00,173.27,173.48,170.43,170.65,3943113
2017-12-05 16:00:00,173.6399,174.25,172.46,172.99,3228719
2017-12-06 16:00:00,173.48,174.44,173.0,173.48,2619230
2017-12-07 16:00:00,172.55,173.29,171.92,172.91,2284815
2017-12-08 16:00:00,173.04,173.5429,172.51,173.15,2241149
2017-12-11 16:00:00,172.94,173.25,172.22,173.25,2340780
2017-12-12 16:00:00,172.23,173.2,171.85,172.23,2805872
2017-12-13 16:00:00,172.44,173.96,172.4,173.55,2554009
