,Open,High,Low,Close,Volume
2017-09-14 16:00:00,88.21,89.73,88.18,89.24,3188852
2017-09-15 16:00:00,89.78,90.57,89.33,89.62,4076926
2017-09-18 16:00:00,90.0,91.24,89.93,91.01,2328442
2017-09-19 16:00:00,91.11,91.83,90.4,90.98,2196567
2017-09-20 16:00:00,90.82,90.91,86.77,88.32,3303915
2017-09-21 16:00:00,88.47,88.77,87.39,88.38,1771957
2017-09-22 16:00:00,88.09,89.79,88.09,89.69,1296538
2017-09-25 16:00:00,89.05,89.38,87.5901,88.07,1605163
2017-09-26 16:00:00,88.8,89.29,87.19,87.76,1781286
2017-09-27 16:00:00,88.49,89.52,88.2401,88.92,1768003
2017-09-28 16:00:00,88.63,89.28,88.29,89.14,1935634
2017-09-29 16:00:00,89.11,89.99,88.87,89.78,2194082
2017-10-02 16:00:00,90.37,91.23,90.15,90.55,1954893
2017-10-03 16:00:00,90.55,90.95,90.26,90.72,1720884
2017-10-04 16:00:00,90.67,91.61,90.021,91.6,2559229
2017-10-05 16:00:00,91.81,91.82,90.75,91.3,1834299
2017-10-06 16:00:00,90.91,91.59,90.29,91.55,1349550
2017-10-09 16:00:00,91.85,91.99,91.26,91.49,1098871
2017-10-10 16:00:00,92.0,92.33,91.1,91.92,1097457
2017-10-11 16:00:00,91.73,92.13,91.37,91.93,1122045
2017-10-12 16:00:00,91.47,92.4,91.47,91.78,1119525
2017-10-13 16:00:00,92.24,92.51,91.41,91.76,1053119
2017-10-16 16:00:00,92.23,92.29,91.6,91.89,834050
2017-10-17 16:00:00,91.79,91.87,91.17,91.7,960040
2017-10-18 16:00:00,91.59,92.36,90.39,92.12,1662984
2017-10-19 16:00:00,91.6,93.11,90.55,93.05,1541938
2017-10-20 16:00:00,93.89,94.66,92.5,92.73,1808958
2017-10-23 16:00:00,93.11,93.39,92.29,92.61,1687136
2017-10-24 16:00:00,92.63,93.41,92.53,93.31,877122
2017-10-25 16:00:00,92.87,93.1994,91.57,92.32,1637698
2017-10-26 16:00:00,92.84,93.64,92.84,93.12,1255153
2017-10-27 16:00:00,93.81,94.81,92.73,94.72,1969380
2017-10-30 16:00:00,94.21,95.49,93.96,95.21,1985884
2017-10-31 16:00:00,95.23,95.69,94.62,94.8,1233505
2017-11-01 16:00:00,94.3,95.14,92.52,92.99,2946491
2017-11-02 16:00:00,92.38,93.91,92.13,93.46,1399922
2017-11-03 16:00:00,93.72,94.02,92.53,93.66,1392573
2017-11-06 16:00:00,94.31,95.62,94.17,95.36,3069895
2017-11-07 16:00:00,95.0,95.92,90.5,91.44,4745727
2017-11-08 16:00:00,91.35,93.12,90.9062,92.81,4605102
2017-11-09 16:00:00,92.33,92.44,89.58,90.81,3317149
2017-11-10 16:00:00,90.88,91.67,90.36,91.56,1827117
2017-11-13 16:00:00,91.01,91.33,90.47,91.02,1399306
2017-11-14 16:00:00,90.67,91.12,90.01,91.01,1509214
2017-11-15 16:00:00,90.46,90.7,89.28,89.59,1491396
2017-11-16 16:00:00,89.76,91.06,89.63,90.78,1785840
2017-11-17 16:00:00,91.02,91.59,90.64,91.3,2099233
2017-11-20 16:00:00,91.48,91.89,91.14,91.39,1460496
2017-11-21 16:00:00,91.94,92.6247,91.61,91.87,1568048
2017-11-22 16:00:00,91.66,92.2552,90.39,90.4,1634678
2017-11-24 13:00:00,90.29,91.04,90.22,90.97,727935
2017-11-27 16:00:00,90.47,90.62,88.63,88.93,2571393
2017-11-28 16:00:00,89.15,90.68,88.85,90.58,2168114
2017-11-29 16:00:00,90.21,90.295,85.95,86.58,4389771
2017-11-30 16:00:00,87.19,88.75,86.67,86.99,3665364
2017-12-01 16:00:00,86.4,87.31,85.1,87.0,3099369
2017-12-04 16:00:00,87.43,87.935,85.71,86.3,2514452
2017-12-05 16:00:00,85.97,88.62,85.5583,86.21,2434032
2017-12-06 16:00:00,86.08,86.83,85.29,86.31,1511660
2017-12-07 16:00:00,86.41,87.65,86.134,87.39,1830634
2017-12-08 16:00:00,88.1,88.4775,87.26,87.41,1856919
2017-12-11 16:00:00,87.46,88.43,86.92,87.39,1626303
2017-12-12 16:00:00,86.79,87.04,85.66,85.84,1898172
2017-12-13 16:00:00,86.41,86.94,85.94,86.4,1482452
