,Open,High,Low,Close,Volume
2017-09-14 16:00:00,135.17,135.835,134.42,134.96,523349
2017-09-15 16:00:00,135.01,136.82,134.94,136.33,936915
2017-09-18 16:00:00,136.42,136.99,136.045,136.76,523934
2017-09-19 16:00:00,137.17,137.23,136.52,136.74,480661
2017-09-20 16:00:00,136.8,137.32,135.71,136.77,633703
2017-09-21 16:00:00,136.61,136.93,135.815,136.65,421202
2017-09-22 16:00:00,136.81,138.28,136.81,138.03,704264
2017-09-25 16:00:00,138.2,139.03,136.82,138.78,1075592
2017-09-26 16:00:00,138.74,138.925,137.77,138.35,556216
2017-09-27 16:00:00,139.12,139.94,138.345,138.71,580495
2017-09-28 16:00:00,138.5,138.64,137.68,138.61,460034
2017-09-29 16:00:00,138.41,139.3,138.05,139.21,623694
2017-10-02 16:00:00,139.52,140.27,139.33,140.21,868771
2017-10-03 16:00:00,140.01,141.28,139.5,141.0,554985
2017-10-04 16:00:00,141.0,141.75,140.66,141.71,634235
2017-10-05 16:00:00,141.88,142.675,141.35,142.1,607713
2017-10-06 16:00:00,142.43,143.98,142.16,142.49,819969
2017-10-09 16:00:00,142.44,142.83,141.46,141.95,547713
2017-10-10 16:00:00,142.27,142.63,141.64,142.14,562392
2017-10-11 16:00:00,142.22,142.44,141.85,142.22,34642
2017-10-12 16:00:00,142.34,143.93,142.0301,143.93,739675
2017-10-13 16:00:00,144.06,144.81,143.78,144.24,703968
2017-10-16 16:00:00,144.3,144.84,143.77,144.75,492430
2017-10-17 16:00:00,144.83,144.84,143.35,144.13,503221
2017-10-18 16:00:00,144.44,145.83,144.19,145.2,619006
2017-10-19 16:00:00,144.76,145.1,143.22,144.19,515248
2017-10-20 16:00:00,144.99,145.69,144.21,145.66,476751
2017-10-23 16:00:00,145.62,146.22,145.28,146.06,597315
2017-10-24 16:00:00,146.07,147.69,145.2,147.0,714568
2017-10-25 16:00:00,146.98,147.27,144.45,145.58,938283
2017-10-26 16:00:00,146.49,148.0,146.46,147.38,912932
2017-10-27 16:00:00,147.98,147.98,145.9624,146.4,863567
2017-10-30 16:00:00,145.85,145.88,141.365,142.98,809036
2017-10-31 16:00:00,142.99,143.41,141.59,142.41,985948
2017-11-01 16:00:00,143.79,144.27,142.5,143.49,543771
2017-11-02 16:00:00,143.21,144.03,142.145,143.53,823748
2017-11-03 16:00:00,144.39,147.68,140.15,146.29,1953539
2017-11-06 16:00:00,146.45,146.63,144.3,144.51,851792
2017-11-07 16:00:00,144.68,145.665,143.18,143.77,549225
2017-11-08 16:00:00,143.64,144.98,143.17,144.93,552362
2017-11-09 16:00:00,144.47,144.77,141.9,143.09,572660
2017-11-10 16:00:00,142.65,143.38,141.68,142.19,546690
2017-11-13 16:00:00,141.54,142.6234,141.09,142.15,492285
2017-11-14 16:00:00,141.76,143.89,141.311,143.14,424850
2017-11-15 16:00:00,142.61,143.12,141.49,141.96,619551
2017-11-16 16:00:00,142.75,144.98,142.75,144.09,789223
2017-11-17 16:00:00,144.67,147.33,143.61,146.79,942370
2017-11-20 16:00:00,146.86,148.5522,146.71,148.31,831863
2017-11-21 16:00:00,149.0,149.63,148.77,149.46,804906
2017-11-22 16:00:00,149.4,149.89,148.5,149.4,685049
2017-11-24 13:00:00,149.35,150.73,149.35,150.23,290983
2017-11-27 16:00:00,150.24,151.41,149.72,149.87,609103
2017-11-28 16:00:00,150.44,151.08,149.31,150.88,1098332
2017-11-29 16:00:00,151.58,153.415,149.41,149.84,626563
2017-11-30 16:00:00,150.71,152.08,148.31,151.82,1178180
2017-12-01 16:00:00,151.82,151.83,147.81,151.3,769726
2017-12-04 16:00:00,153.31,153.86,151.41,151.75,740233
2017-12-05 16:00:00,152.34,153.66,151.5,152.08,724559
2017-12-06 16:00:00,152.08,152.43,150.881,152.27,605777
2017-12-07 16:00:00,152.05,152.95,151.6,151.73,801918
2017-12-08 16:00:00,152.39,152.84,151.31,152.39,519112
2017-12-11 16:00:00,152.19,153.27,151.67,152.39,869851
2017-12-12 16:00:00,152.57,153.55,151.98,152.57,438832
2017-12-13 16:00:00,152.73,152.92,150.13,150.17,825345
