,Open,High,Low,Close,Volume
2017-09-14 16:00:00,32.75,32.765,31.72,32.06,9834635
2017-09-15 16:00:00,32.0,32.1,31.71,31.92,13413613
2017-09-18 16:00:00,32.05,32.535,31.625,31.68,8663693
2017-09-19 16:00:00,31.81,32.67,31.76,32.56,8376653
2017-09-20 16:00:00,32.56,33.13,32.22,33.08,10057484
2017-09-21 16:00:00,33.09,33.44,32.99,33.06,5732902
2017-09-22 16:00:00,32.97,33.005,32.36,32.38,3936978
2017-09-25 16:00:00,32.22,32.3199,31.8101,31.94,5095976
2017-09-26 16:00:00,32.09,32.32,31.925,32.16,3460301
2017-09-27 16:00:00,32.39,32.7001,32.24,32.46,5398068
2017-09-28 16:00:00,32.36,32.73,32.21,32.34,5023145
2017-09-29 16:00:00,32.34,32.74,32.14,32.59,5414275
2017-10-02 16:00:00,31.35,32.0,30.695,30.77,37692791
2017-10-03 16:00:00,30.89,30.93,30.36,30.85,23273764
2017-10-04 16:00:00,30.95,31.3,30.725,30.75,11191905
2017-10-05 16:00:00,30.84,31.14,30.77,30.9,9709565
2017-10-06 16:00:00,30.71,30.87,30.43,30.81,8093412
2017-10-09 16:00:00,30.71,30.87,30.3,30.81,9086746
2017-10-10 16:00:00,31.05,31.09,30.4,30.43,7783397
2017-10-11 16:00:00,30.4,30.55,30.33,30.335,578973
2017-10-12 16:00:00,30.79,30.83,30.05,30.07,11904533
2017-10-13 16:00:00,30.03,30.21,29.5577,29.74,12380941
2017-10-16 16:00:00,29.66,29.85,29.53,29.69,8127858
2017-10-17 16:00:00,29.69,30.52,29.63,30.49,8612481
2017-10-18 16:00:00,30.2,30.48,29.81,30.44,7658652
2017-10-19 16:00:00,30.11,30.63,30.07,30.48,4995903
2017-10-20 16:00:00,30.9,31.12,30.735,31.03,6788716
2017-10-23 16:00:00,31.0,31.265,30.8,30.9,7146438
2017-10-24 16:00:00,31.0,31.24,30.66,31.22,7448577
2017-10-25 16:00:00,31.2,31.48,30.885,30.97,6308051
2017-10-26 16:00:00,31.13,31.15,30.62,30.83,5564681
2017-10-27 16:00:00,31.09,31.38,30.81,31.25,6137846
2017-10-30 16:00:00,31.08,31.165,30.56,30.57,4614037
2017-10-31 16:00:00,30.88,31.35,30.73,31.35,5223176
2017-11-01 16:00:00,31.9,31.98,30.735,30.82,8933097
2017-11-02 16:00:00,30.83,31.04,30.68,30.71,5477738
2017-11-03 16:00:00,30.73,31.28,30.46,31.26,5308287
2017-11-06 16:00:00,31.28,31.84,31.2097,31.71,5075808
2017-11-07 16:00:00,31.93,31.995,31.21,31.46,7923240
2017-11-08 16:00:00,31.8,33.59,31.74,33.06,17296400
2017-11-09 16:00:00,32.71,33.15,32.15,32.75,8848374
2017-11-10 16:00:00,32.69,33.18,32.58,32.88,5693117
2017-11-13 16:00:00,32.68,33.41,32.63,33.06,6162474
2017-11-14 16:00:00,32.8,33.11,32.68,32.85,6859071
2017-11-15 16:00:00,32.67,32.99,32.3353,32.89,4922068
2017-11-16 16:00:00,33.0,33.17,32.89,33.0,4677744
2017-11-17 16:00:00,32.94,33.1,32.9,33.0,4532212
2017-11-20 16:00:00,33.2,33.41,33.045,33.18,6662938
2017-11-21 16:00:00,33.31,33.59,33.19,33.34,6419222
2017-11-22 16:00:00,33.48,33.52,33.17,33.45,4370382
2017-11-24 13:00:00,33.47,33.9,33.38,33.89,1631432
2017-11-27 16:00:00,33.77,33.83,33.47,33.67,5555870
2017-11-28 16:00:00,33.66,33.81,33.22,33.25,6349120
2017-11-29 16:00:00,33.4,33.745,33.1,33.65,5634489
2017-11-30 16:00:00,33.58,34.235,33.51,34.12,8962441
2017-12-01 16:00:00,34.14,34.31,33.7598,34.02,8100096
2017-12-04 16:00:00,34.37,34.505,34.0499,34.22,6345246
2017-12-05 16:00:00,34.275,34.48,33.78,33.94,8017273
2017-12-06 16:00:00,33.83,34.12,33.025,33.1,9236834
2017-12-07 16:00:00,33.16,33.36,32.515,33.34,8713386
2017-12-08 16:00:00,33.36,33.61,32.97,33.18,8885152
2017-12-11 16:00:00,33.39,33.87,33.31,33.34,7390509
2017-12-12 16:00:00,32.71,33.42,32.64,32.71,7857623
2017-12-13 16:00:00,32.96,33.4,32.86,33.16,9453278
