,Open,High,Low,Close,Volume
2017-09-14 16:00:00,209.15,211.91,208.74,211.43,1984226
2017-09-15 16:00:00,212.59,214.115,210.66,213.35,3636437
2017-09-18 16:00:00,214.0,214.038,212.57,213.76,1272436
2017-09-19 16:00:00,214.23,214.65,212.85,213.56,1429651
2017-09-20 16:00:00,211.77,212.6,208.31,210.51,2987210
2017-09-21 16:00:00,210.9,211.62,210.24,210.44,1382444
2017-09-22 16:00:00,209.64,211.3,209.28,210.76,1493283
2017-09-25 16:00:00,210.98,211.22,209.37,210.73,1609155
2017-09-26 16:00:00,211.26,212.83,210.93,211.03,1224628
2017-09-27 16:00:00,211.09,211.38,208.16,209.48,1841463
2017-09-28 16:00:00,208.3,209.88,208.2519,209.55,2092803
2017-09-29 16:00:00,209.06,209.9,208.73,209.9,1632249
2017-10-02 16:00:00,210.73,212.79,210.03,212.76,1292105
2017-10-03 16:00:00,212.62,214.6,211.38,214.57,1634888
2017-10-04 16:00:00,214.85,216.94,214.5,216.52,1636447
2017-10-05 16:00:00,216.49,217.61,215.9002,216.37,1740484
2017-10-06 16:00:00,216.0,216.54,215.27,216.52,1650834
2017-10-09 16:00:00,215.96,217.21,215.69,216.68,1054620
2017-10-10 16:00:00,217.38,217.6,216.55,216.75,1171324
2017-10-11 16:00:00,216.75,216.86,216.3,216.32,87083
2017-10-12 16:00:00,216.6,217.64,216.29,217.59,1907960
2017-10-13 16:00:00,218.83,219.76,216.8,217.72,1461703
2017-10-16 16:00:00,217.7,218.73,217.2,218.72,1185228
2017-10-17 16:00:00,218.49,218.72,216.47,217.75,2150810
2017-10-18 16:00:00,217.52,218.64,217.37,218.27,1413913
2017-10-19 16:00:00,218.49,219.25,217.47,219.24,1369000
2017-10-20 16:00:00,219.95,221.32,219.19,221.32,1647816
2017-10-23 16:00:00,221.76,222.78,221.2,221.55,2161339
2017-10-24 16:00:00,229.0,238.9,228.99,234.65,6508396
2017-10-25 16:00:00,235.01,237.94,233.94,237.68,4114532
2017-10-26 16:00:00,238.26,238.8,232.31,232.94,3384956
2017-10-27 16:00:00,234.23,234.95,232.55,234.74,2000365
2017-10-30 16:00:00,233.66,233.66,230.64,231.02,2722556
2017-10-31 16:00:00,231.38,231.5975,229.81,230.19,1908157
2017-11-01 16:00:00,231.0,231.76,229.11,230.18,1389916
2017-11-02 16:00:00,230.24,232.8,229.55,232.23,1609484
2017-11-03 16:00:00,231.56,232.58,230.92,232.22,1582704
2017-11-06 16:00:00,232.22,232.63,230.15,230.31,1334883
2017-11-07 16:00:00,230.38,230.77,229.14,230.05,1553571
2017-11-08 16:00:00,229.84,230.65,229.38,229.83,1510323
2017-11-09 16:00:00,228.54,229.4,227.05,228.39,1575764
2017-11-10 16:00:00,227.47,228.44,226.16,227.45,1295822
2017-11-13 16:00:00,226.73,228.43,226.26,228.22,1765322
2017-11-14 16:00:00,228.14,229.96,226.75,229.33,1393185
2017-11-15 16:00:00,228.07,228.51,226.04,227.4,1512124
2017-11-16 16:00:00,227.79,229.99,227.79,229.42,1225143
2017-11-17 16:00:00,228.43,229.92,227.74,229.36,1741844
2017-11-20 16:00:00,229.9,233.59,229.5543,231.49,1699956
2017-11-21 16:00:00,232.21,235.71,232.21,234.09,2122633
2017-11-22 16:00:00,233.06,233.86,231.4,231.58,1371820
2017-11-24 13:00:00,232.03,232.04,230.81,231.38,659116
2017-11-27 16:00:00,231.75,234.5289,231.13,234.0,1780831
2017-11-28 16:00:00,234.12,235.94,233.375,235.63,1871691
2017-11-29 16:00:00,236.05,238.19,235.64,238.01,1754594
2017-11-30 16:00:00,238.86,243.45,237.69,243.14,4003388
2017-12-01 16:00:00,243.19,243.63,239.15,241.15,2232292
2017-12-04 16:00:00,243.05,244.23,238.51,239.26,2468747
2017-12-05 16:00:00,240.22,240.26,237.86,238.26,1543909
2017-12-06 16:00:00,240.3265,241.08,236.97,238.67,1924077
2017-12-07 16:00:00,238.45,241.29,237.93,240.3,1367330
2017-12-08 16:00:00,240.0,241.01,237.49,238.13,1999835
2017-12-11 16:00:00,239.19,240.21,237.86,239.3,1742882
2017-12-12 16:00:00,236.58,241.68,236.12,236.58,2766340
2017-12-13 16:00:00,236.91,239.59,236.63,239.11,2707874
