,Open,High,Low,Close,Volume
2017-10-25 16:00:00,64.2,64.45,63.39,63.79,7114124
2017-10-26 16:00:00,64.34,65.94,63.71,65.79,8939467
2017-10-27 16:00:00,65.55,65.77,64.76,64.92,6473774
2017-10-30 16:00:00,64.75,64.8,63.6638,64.05,6842282
2017-10-31 16:00:00,63.99,64.73,63.83,64.22,7025355
2017-11-01 16:00:00,64.56,65.03,64.34,64.7,5669212
2017-11-02 16:00:00,64.57,64.75,63.35,63.9,8668101
2017-11-03 16:00:00,64.03,64.3,63.63,63.91,7290193
2017-11-06 16:00:00,63.69,63.95,63.26,63.45,6319363
2017-11-07 16:00:00,63.25,64.37,63.25,64.31,6007376
2017-11-08 16:00:00,64.25,65.17,64.12,64.59,5700504
2017-11-09 16:00:00,64.41,64.79,64.12,64.51,3792633
2017-11-10 16:00:00,64.29,65.26,64.29,65.02,4998209
2017-11-13 16:00:00,65.05,66.06,64.86,65.84,8183813
2017-11-14 16:00:00,65.75,66.2841,65.34,65.73,8154101
2017-11-15 16:00:00,65.69,65.99,65.01,65.26,4572699
2017-11-16 16:00:00,65.44,66.105,65.44,65.88,5206389
2017-11-17 16:00:00,65.53,66.5,65.29,66.42,6926815
2017-11-20 16:00:00,66.26,66.74,65.76,65.83,5098693
2017-11-21 16:00:00,65.86,66.36,65.64,65.65,4916353
2017-11-22 16:00:00,65.73,65.85,65.45,65.49,5437693
2017-11-24 13:00:00,65.6,65.6,65.041,65.48,2075649
