,Open,High,Low,Close,Volume
2017-09-14 16:00:00,53.27,53.33,52.31,52.34,5402443
2017-09-15 16:00:00,52.36,53.12,52.26,52.96,9062782
2017-09-18 16:00:00,53.06,53.73,52.93,53.58,4521981
2017-09-19 16:00:00,53.75,54.335,53.38,54.2,4522542
2017-09-20 16:00:00,54.38,54.7,54.03,54.43,4221689
2017-09-21 16:00:00,54.43,54.8917,54.26,54.37,4038035
2017-09-22 16:00:00,54.24,55.015,54.13,54.73,3681410
2017-09-25 16:00:00,55.0,55.81,54.98,55.53,4594587
2017-09-26 16:00:00,55.36,55.65,55.07,55.38,4032771
2017-09-27 16:00:00,54.61,55.78,54.61,55.24,3817765
2017-09-28 16:00:00,55.26,55.7772,55.15,55.47,3762903
2017-09-29 16:00:00,55.46,56.545,55.285,56.08,3723894
2017-10-02 16:00:00,55.94,56.27,55.53,55.89,2712497
2017-10-03 16:00:00,55.53,56.31,55.25,56.14,3199927
2017-10-04 16:00:00,56.16,56.695,55.9,56.31,2804565
2017-10-05 16:00:00,56.48,56.9,56.14,56.25,2886506
2017-10-06 16:00:00,55.8,56.4,55.712,56.02,3917411
2017-10-09 16:00:00,56.13,56.49,56.04,56.14,3281532
2017-10-10 16:00:00,56.72,57.02,56.18,56.25,3621799
2017-10-11 16:00:00,56.31,56.46,56.19,56.25,128661
2017-10-12 16:00:00,56.0,56.9,55.8,56.55,3048423
2017-10-13 16:00:00,56.89,56.92,56.29,56.37,2839241
2017-10-16 16:00:00,56.42,56.57,55.68,55.72,5437894
2017-10-17 16:00:00,55.74,56.525,55.73,56.51,3017914
2017-10-18 16:00:00,56.52,56.86,56.4,56.75,2905912
2017-10-19 16:00:00,56.42,57.14,56.17,57.1,3403697
2017-10-20 16:00:00,57.3,57.74,57.15,57.49,3904883
2017-10-23 16:00:00,57.48,57.49,56.26,56.34,3734715
2017-10-24 16:00:00,56.54,57.27,56.54,56.99,3428911
2017-10-25 16:00:00,56.96,57.14,55.89,56.44,4895522
2017-10-26 16:00:00,57.52,57.92,55.87,57.27,4239542
2017-10-27 16:00:00,57.68,58.93,57.4,58.47,4159870
2017-10-30 16:00:00,58.5,59.57,58.25,59.06,3887715
2017-10-31 16:00:00,59.78,60.1624,58.83,59.74,5157554
2017-11-01 16:00:00,60.24,61.9,60.07,60.89,5609440
2017-11-02 16:00:00,61.06,62.34,60.87,62.17,5216057
2017-11-03 16:00:00,62.26,62.78,61.9,62.2,3660716
2017-11-06 16:00:00,62.34,62.53,62.1,62.35,3695372
2017-11-07 16:00:00,62.58,63.12,62.145,63.11,3725447
2017-11-08 16:00:00,63.29,63.41,62.56,63.22,4834161
2017-11-09 16:00:00,62.62,62.73,60.9,61.66,5014833
2017-11-10 16:00:00,61.98,62.28,61.61,61.72,3220126
2017-11-13 16:00:00,61.79,62.55,61.71,62.2,2823438
2017-11-14 16:00:00,62.32,63.08,61.95,62.87,4490152
2017-11-15 16:00:00,60.45,61.81,60.1,61.5,4743604
2017-11-16 16:00:00,61.51,62.575,61.15,62.01,3981337
2017-11-17 16:00:00,61.85,62.45,61.6401,62.27,3195943
2017-11-20 16:00:00,62.11,62.53,61.75,61.94,2573647
2017-11-21 16:00:00,62.19,62.36,61.8,62.29,2532882
2017-11-22 16:00:00,62.35,62.4,61.26,62.01,2955995
2017-11-24 13:00:00,62.16,62.25,61.58,62.03,1407446
2017-11-27 16:00:00,61.95,62.45,61.6,61.88,6393029
2017-11-28 16:00:00,62.29,62.38,61.655,62.22,2889915
2017-11-29 16:00:00,62.01,62.24,60.95,61.4,4231022
2017-11-30 16:00:00,61.69,62.78,61.44,62.63,4883684
2017-12-01 16:00:00,62.82,63.06,61.59,62.84,5187779
2017-12-04 16:00:00,62.92,64.32,62.613,63.3,4242885
2017-12-05 16:00:00,63.42,65.41,63.155,64.54,4256146
2017-12-06 16:00:00,64.32,64.46,63.27,63.46,2354799
2017-12-07 16:00:00,63.1,64.07,63.0,64.0,3362728
2017-12-08 16:00:00,64.75,64.94,63.95,64.75,3084744
2017-12-11 16:00:00,64.46,65.08,64.33,64.46,2768848
2017-12-12 16:00:00,64.49,65.29,64.27,64.49,2591904
2017-12-13 16:00:00,64.3,64.41,63.8,64.15,2966069
