,Open,High,Low,Close,Volume
2017-10-25 16:00:00,63.1,63.125,62.33,62.45,11016700
2017-10-26 16:00:00,62.29,62.69,61.805,61.99,10744312
2017-10-27 16:00:00,60.55,60.55,57.82,58.24,29561260
2017-10-30 16:00:00,55.75,56.05,54.41,54.71,38989448
2017-10-31 16:00:00,55.17,55.79,55.03,55.09,18429170
2017-11-01 16:00:00,55.54,55.8,55.28,55.34,16418356
2017-11-02 16:00:00,55.48,55.57,55.035,55.37,12318499
2017-11-03 16:00:00,55.3,56.275,55.185,56.06,9810781
2017-11-06 16:00:00,56.04,56.175,55.6,55.88,8718542
2017-11-07 16:00:00,55.88,56.185,55.38,55.59,14321128
2017-11-08 16:00:00,55.5,56.72,55.46,56.58,15132913
2017-11-09 16:00:00,56.55,56.66,55.615,56.21,14140070
2017-11-10 16:00:00,56.29,56.29,55.15,55.48,16743873
2017-11-13 16:00:00,55.31,55.52,55.06,55.1,13488250
2017-11-14 16:00:00,54.97,55.18,54.75,54.99,12705755
2017-11-15 16:00:00,54.76,55.1,54.4,54.8,11727413
2017-11-16 16:00:00,54.86,55.37,54.75,55.17,11996332
2017-11-17 16:00:00,55.0,55.43,54.75,55.2,9884066
2017-11-20 16:00:00,54.04,54.39,53.63,54.1,17178688
2017-11-21 16:00:00,54.36,54.85,54.18,54.27,13711279
2017-11-22 16:00:00,54.23,54.57,54.17,54.37,7376233
2017-11-24 13:00:00,54.5,54.63,54.11,54.35,4341296
