,Open,High,Low,Close,Volume
2017-10-25 16:00:00,13.62,13.765,13.34,13.48,11255916
2017-10-26 16:00:00,13.52,13.61,13.28,13.56,11090876
2017-10-27 16:00:00,13.44,13.81,13.39,13.81,9057961
2017-10-30 16:00:00,13.88,14.24,13.84,14.16,18830332
2017-10-31 16:00:00,14.12,14.34,13.98,14.22,13880305
2017-11-01 16:00:00,14.37,14.89,14.35,14.87,17084309
2017-11-02 16:00:00,14.74,15.535,14.71,15.44,22530148
2017-11-03 16:00:00,15.5,15.68,15.26,15.58,17527056
2017-11-06 16:00:00,15.73,16.35,15.67,16.33,23687448
2017-11-07 16:00:00,16.25,16.59,16.12,16.16,17796789
2017-11-08 16:00:00,16.12,16.12,15.66,15.75,18182248
2017-11-09 16:00:00,15.69,15.9,15.6,15.78,13248795
2017-11-10 16:00:00,15.58,15.76,15.41,15.62,11447588
2017-11-13 16:00:00,15.62,15.71,15.48,15.55,9103704
2017-11-14 16:00:00,15.34,15.35,14.83,14.84,14720666
2017-11-15 16:00:00,14.64,14.915,14.5,14.79,13358198
2017-11-16 16:00:00,14.76,14.83,14.5,14.52,14253342
2017-11-17 16:00:00,14.71,15.19,14.7,15.05,10747254
2017-11-20 16:00:00,14.85,14.87,14.43,14.47,14094732
2017-11-21 16:00:00,14.53,14.68,14.36,14.52,11689607
2017-11-22 16:00:00,14.72,14.97,14.67,14.88,20262840
2017-11-24 13:00:00,14.94,15.29,14.92,15.13,6794234
