,Open,High,Low,Close,Volume
2017-09-14 16:00:00,75.0,75.49,74.52,74.77,15733914
2017-09-15 16:00:00,74.83,75.39,74.07,75.31,38578441
2017-09-18 16:00:00,75.23,75.97,75.04,75.16,23306959
2017-09-19 16:00:00,75.21,75.71,75.01,75.44,16093344
2017-09-20 16:00:00,75.35,75.55,74.31,74.94,21587878
2017-09-21 16:00:00,75.11,75.24,74.11,74.21,19186140
2017-09-22 16:00:00,73.99,74.51,73.85,74.41,14111365
2017-09-25 16:00:00,74.09,74.25,72.92,73.26,24149163
2017-09-26 16:00:00,73.67,73.81,72.99,73.26,18019577
2017-09-27 16:00:00,73.55,74.17,73.17,73.85,19375099
2017-09-28 16:00:00,73.54,73.97,73.31,73.87,10883787
2017-09-29 16:00:00,73.94,74.535,73.88,74.49,17079114
2017-10-02 16:00:00,74.71,75.01,74.295,74.61,15304762
2017-10-03 16:00:00,74.67,74.88,74.195,74.26,12190403
2017-10-04 16:00:00,74.0901,74.72,73.71,74.69,13317681
2017-10-05 16:00:00,75.22,76.12,74.96,75.97,21195261
2017-10-06 16:00:00,75.67,76.03,75.54,76.0,13959814
2017-10-09 16:00:00,75.97,76.55,75.86,76.29,11386502
2017-10-10 16:00:00,76.33,76.63,76.14,76.29,13944545
2017-10-11 16:00:00,76.36,76.46,75.95,76.42,15388898
2017-10-12 16:00:00,76.49,77.29,76.37,77.12,16876538
2017-10-13 16:00:00,77.59,77.87,77.29,77.49,15335742
2017-10-16 16:00:00,77.42,77.81,77.35,77.65,12380093
2017-10-17 16:00:00,77.47,77.62,77.25,77.59,16823989
2017-10-18 16:00:00,77.67,77.85,77.37,77.61,13300701
2017-10-19 16:00:00,77.57,77.93,77.35,77.91,15092758
2017-10-20 16:00:00,78.32,78.97,78.22,78.81,22866426
2017-10-23 16:00:00,78.99,79.34,78.76,78.83,20627173
2017-10-24 16:00:00,78.9,79.2,78.46,78.86,17517182
2017-10-25 16:00:00,78.58,79.1,78.01,78.63,20410808
2017-10-26 16:00:00,79.2,79.42,78.75,78.76,32120717
2017-10-27 16:00:00,84.37,86.2,83.61,83.81,71066729
2017-10-30 16:00:00,83.7,84.325,83.105,83.89,31756653
2017-10-31 16:00:00,84.36,84.36,83.11,83.18,27086575
2017-11-01 16:00:00,83.68,83.76,82.88,83.18,22307371
2017-11-02 16:00:00,83.35,84.46,83.12,84.05,23992945
2017-11-03 16:00:00,84.08,84.54,83.4,84.14,17633543
2017-11-06 16:00:00,84.2,84.7,84.0825,84.47,19860852
2017-11-07 16:00:00,84.77,84.9,83.93,84.27,17939727
2017-11-08 16:00:00,84.14,84.61,83.83,84.56,18034170
2017-11-09 16:00:00,84.11,84.27,82.9,84.09,21178356
2017-11-10 16:00:00,83.79,84.095,83.23,83.87,19397793
2017-11-13 16:00:00,83.66,83.94,83.46,83.93,14196896
2017-11-14 16:00:00,83.5,84.1,82.98,84.05,18801280
2017-11-15 16:00:00,83.47,83.69,82.69,82.98,19383102
2017-11-16 16:00:00,83.1,83.42,82.94,83.2,20962750
2017-11-17 16:00:00,83.12,83.12,82.24,82.4,22078993
2017-11-20 16:00:00,82.4,82.59,82.25,82.53,16314978
2017-11-21 16:00:00,82.74,83.84,82.74,83.72,21237454
2017-11-22 16:00:00,83.83,83.9,83.04,83.11,20553089
2017-11-24 13:00:00,83.01,83.43,82.78,83.26,7425603
2017-11-27 16:00:00,83.31,83.98,83.3,83.87,18265242
2017-11-28 16:00:00,84.07,85.06,84.02,84.88,21925959
2017-11-29 16:00:00,84.71,84.9172,83.175,83.34,27381109
2017-11-30 16:00:00,83.51,84.52,83.34,84.17,33054647
2017-12-01 16:00:00,83.6,84.81,83.22,84.26,29532132
2017-12-04 16:00:00,84.42,84.4299,80.7,81.08,39094880
2017-12-05 16:00:00,81.34,82.68,80.9801,81.59,26152261
2017-12-06 16:00:00,81.55,83.14,81.43,82.78,26162054
2017-12-07 16:00:00,82.54,82.8,82.0,82.49,23184547
2017-12-08 16:00:00,83.63,84.58,83.33,84.16,24489106
2017-12-11 16:00:00,84.29,85.37,84.12,85.23,22857854
2017-12-12 16:00:00,85.31,86.05,85.08,85.58,23924105
2017-12-13 16:00:00,85.74,86.0,85.17,85.35,22062679
