,Open,High,Low,Close,Volume
2017-10-25 16:00:00,89.97,90.5,89.65,90.05,572073
2017-10-26 16:00:00,90.13,90.43,89.31,90.28,410732
2017-10-27 16:00:00,90.45,91.79,90.02,91.19,701110
2017-10-30 16:00:00,91.07,91.17,90.16,90.37,725611
2017-10-31 16:00:00,90.32,90.795,90.03,90.54,750475
2017-11-01 16:00:00,91.14,91.74,90.16,90.56,789830
2017-11-02 16:00:00,90.33,90.6,89.82,90.02,1058399
2017-11-03 16:00:00,91.52,94.94,90.395,94.25,1576912
2017-11-06 16:00:00,94.02,94.06,92.19,92.43,1385596
2017-11-07 16:00:00,92.4,92.65,91.68,92.11,678939
2017-11-08 16:00:00,91.99,93.11,91.4,92.66,672887
2017-11-09 16:00:00,92.0,92.11,91.26,91.61,627848
2017-11-10 16:00:00,91.28,92.0,91.0,91.07,584899
2017-11-13 16:00:00,90.6,91.76,90.6,91.37,782160
2017-11-14 16:00:00,90.87,91.18,90.25,91.02,760718
2017-11-15 16:00:00,90.98,91.62,90.21,90.39,807508
2017-11-16 16:00:00,90.62,91.21,90.05,90.97,947259
2017-11-17 16:00:00,90.6,91.445,90.42,90.95,1162386
2017-11-20 16:00:00,91.37,92.69,91.255,92.33,500526
2017-11-21 16:00:00,92.59,93.43,92.37,92.45,1040234
2017-11-22 16:00:00,92.6,92.6,91.21,91.83,508554
2017-11-24 13:00:00,92.04,92.6025,91.99,92.36,234979
