,Open,High,Low,Close,Volume
2017-10-25 16:00:00,670.27,672.69,661.4,665.43,116350
2017-10-26 16:00:00,667.48,670.89,660.3,667.74,138782
2017-10-27 16:00:00,669.02,679.73,668.21,679.0,100744
2017-10-30 16:00:00,680.5,680.5,671.02,675.22,107914
2017-10-31 16:00:00,675.27,684.78,674.79,682.63,100506
2017-11-01 16:00:00,685.48,694.48,685.48,689.11,126018
2017-11-02 16:00:00,687.18,690.59,670.66,671.6,188056
2017-11-03 16:00:00,649.15,658.685,635.18,646.0,391640
2017-11-06 16:00:00,644.64,644.64,630.355,635.11,213558
2017-11-07 16:00:00,635.49,639.51,621.68,624.58,234314
2017-11-08 16:00:00,625.79,625.79,614.65,623.72,267862
2017-11-09 16:00:00,621.46,627.26,617.99,626.82,167847
2017-11-10 16:00:00,624.01,626.74,618.975,622.66,167847
2017-11-13 16:00:00,619.54,633.19,617.42,630.84,193305
2017-11-14 16:00:00,630.0,632.82,626.15,631.37,114422
2017-11-15 16:00:00,630.44,630.44,622.55,625.19,162479
2017-11-16 16:00:00,626.48,634.13,626.48,630.5,137198
2017-11-17 16:00:00,627.91,631.9,622.7,630.92,97335
2017-11-20 16:00:00,632.11,632.95,629.61,631.92,100046
2017-11-21 16:00:00,633.43,634.3,627.19,627.62,94810
2017-11-22 16:00:00,627.62,629.76,625.38,626.35,81720
2017-11-24 13:00:00,626.0,635.02,625.0,635.02,48812
